timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5429.75,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
7433.43,0,253952,62,8914,587023414,0,615371,0,52,2,2,5068,102,1,567,39458,18,12,3469,11,98175169,1136,1,0,4,487,10941183,5,43700076,10,16,8,193,567,0,0,2918358,245,214872155,0,549,39,18,3,1,14,14,879,0,3,215397483,187560962,3533791,11113497,11113497,1,3,1,0,577901876,73389,73389,14,14,14,11113501,4,3,78080,40375,143201,1818,215397483,39458,2775326,627
9436.57,0,253952,62,20320,1337989972,1,2789245,0,81,3,3,5068,195,1,567,87542,18,12,7977,12,99755815,1136,1,0,4,487,25181965,5,100663184,11,17,8,198,567,0,0,6577765,500,461077338,0,549,39,18,3,1,14,14,879,0,3,461163133,423958117,9366417,25556820,25556820,1,3,1,0,1328954672,73389,73389,14,14,14,25556824,4,3,82153,89688,208187,3889,461163133,87542,6369909,627
11439.74,0,253952,62,29402,1936313018,1,3778028,0,123,4,4,5068,215,1,567,126977,18,12,11512,13,101939761,1136,1,0,4,487,36515452,5,146061808,12,18,8,202,567,0,0,9592209,819,638745046,0,549,39,18,3,1,14,14,879,0,3,639648279,612589760,13369988,37053182,37053182,1,3,1,0,1926765496,73389,73389,14,14,14,37053186,4,3,86713,130088,261305,5302,639648279,126977,9330439,627
13443.43,0,253952,62,40037,2636425538,2,5196983,0,167,4,4,5068,304,1,567,178373,18,12,15720,13,103508341,1136,1,0,4,487,49788915,5,199155660,12,18,8,202,567,0,0,13183267,1384,870554789,0,549,39,18,3,1,14,14,879,0,3,870264183,833101585,18379793,50515624,50515624,1,3,1,0,2626812480,73389,73389,14,14,14,50515628,4,3,91547,182745,322309,7247,870264183,178373,12861558,627
15447.03,0,253952,62,49243,3242609596,3,7030081,0,180,5,5,5068,385,1,567,221073,18,12,19353,13,104799403,1136,1,0,4,487,61256370,5,244969664,12,19,8,202,567,0,0,16368046,1814,1054149410,0,549,39,18,3,1,14,14,879,0,3,1055416637,1024036998,23397783,62161601,62161601,1,3,1,0,3231551316,73389,73389,14,14,14,62145221,4,3,97322,226527,371089,8827,1055416637,221073,15997688,627
17450.68,0,253952,62,60684,3996083428,3,7033557,0,181,5,5,5068,426,1,576,273569,18,12,23829,13,108518450,1154,1,0,4,487,75530394,5,302056968,12,19,8,202,576,0,0,20377856,2170,1295580619,0,558,44,18,3,1,14,14,879,0,3,1295297745,1261083877,27410601,76641566,76657950,1,3,1,0,3985361464,73389,73389,14,14,14,76641570,4,3,101540,280334,446068,10752,1295297745,273569,19932663,645
19454.32,0,253952,62,72075,4746670246,3,7078752,0,190,6,6,5068,522,1,594,325289,18,12,28329,13,113386102,1190,1,0,4,487,89734536,5,358938144,12,20,8,202,594,0,0,24347909,2537,1535837459,0,576,54,18,3,1,14,14,879,0,3,1535261048,1498015968,31427887,91047803,91047803,1,3,1,0,4734485788,73389,73389,14,14,14,91047807,4,3,103490,333450,499527,12781,1535261048,325289,23849416,691
21458.44,0,253952,62,83692,5511754484,3,8996421,0,212,6,6,5068,561,1,594,380837,18,12,32869,13,114942616,1190,1,0,4,487,104230286,5,416921144,12,20,8,202,594,0,0,28493760,2900,1784364079,0,576,54,18,3,1,14,14,879,0,3,1783240216,1738760215,37490995,105767495,105783879,1,3,1,0,5499909772,73389,73389,14,14,14,105767499,4,3,107443,390436,560002,14777,1783240216,380837,27934952,691
23462.52,0,253952,62,95160,6269016484,3,10959621,0,223,6,6,5068,659,1,594,432465,18,12,37401,13,118743406,1190,1,0,4,487,118519810,5,474079240,12,20,8,202,594,0,0,32575896,3236,2016867853,0,576,54,18,3,1,14,14,879,0,3,2015987452,1977764799,43536268,120261241,120261241,1,3,1,0,6253584564,73389,73389,14,14,14,120261245,4,3,109960,443416,623995,16739,2015987452,432465,31953252,691
