timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
408031.55,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
410045.36,1,253952,62,7636,502339324,0,1264651,0,75,3,3,4181,110,0,558,82412,0,6,2981,8,96060507,1118,1,0,4,651,9323372,9,37293488,7,17,4,3509,558,0,0,4473355,193528,193099979,0,558,721,0,3,1,14,14,4510,3,193193190,160755991,5908241,9489766,9489766,1,3,1,492615896,73389,73389,14,14,14,9473386,11,3,81053,84061,264827,1673,193193190,82412,4208694,1895
412054.72,3,253952,62,15418,1015163920,0,2575756,0,164,3,3,4181,141,0,558,148664,0,6,6025,8,97930737,1118,1,0,4,651,19060703,9,76242812,7,17,4,3509,558,0,0,9088167,345569,347629979,0,558,721,0,3,1,14,14,4510,3,347820373,322315446,11954207,19349887,19349887,1,3,1,1006194156,73389,73389,14,14,14,19349891,11,3,85421,151909,352809,2924,347820373,148664,8735695,1895
414064.91,3,253952,62,23330,1536508196,0,3849735,0,245,3,3,4181,211,0,558,219924,0,6,9158,8,99197667,1118,1,0,4,651,28943849,9,115710688,7,17,4,3509,558,0,0,13717815,451934,517876230,0,558,721,0,3,1,14,14,4510,3,518375025,486531636,17926586,29357464,29373848,1,3,1,1526588160,73389,73389,14,14,14,29357468,11,3,92450,224904,440654,4373,518375025,219924,13277652,1895
416076.60,3,253952,62,31315,2062962382,0,5116959,0,335,3,3,4181,254,0,567,285299,0,6,12301,8,102589871,1136,1,0,4,651,38928997,9,155651368,7,17,4,3509,567,0,0,18422429,563283,681287697,0,567,731,0,3,1,14,14,4510,3,680752733,652150121,24016325,39502146,39502146,1,3,1,2054111624,73389,73389,14,14,14,39502150,11,3,99743,291930,540624,5713,680752733,285299,17882463,1929
418084.17,4,253952,62,39361,2591857750,0,6347882,0,427,3,3,4181,291,0,567,357899,0,6,15441,8,103531019,1136,1,0,4,651,48933075,9,195667716,7,17,4,3509,567,0,0,23109895,692793,850654099,0,567,731,0,3,1,14,14,4510,3,850082663,818710816,30033532,49674007,49674007,1,3,1,2583048396,73389,73389,14,14,14,49674011,11,3,104826,366179,659389,7088,850082663,357899,22451331,1929
420097.57,6,253952,62,47639,3136850354,0,7468613,0,522,3,3,4181,371,0,576,432228,0,6,18724,8,105971463,1154,1,0,4,651,59246338,9,236920704,7,17,4,3509,576,0,0,27956022,766183,1018487311,0,576,739,0,3,1,14,14,4510,3,1018517815,990522954,36071778,60142495,60142495,1,3,1,3126557804,73389,73389,14,14,14,60126115,11,3,116371,442284,770364,8537,1018517815,432228,27186660,1962
422115.67,6,253952,62,55970,3686571230,0,8599410,0,620,3,3,4181,407,0,585,508080,0,6,21987,8,109327751,1172,1,0,4,651,69631460,9,278525840,7,17,4,3509,585,0,0,32797083,840723,1199626844,0,585,749,0,3,1,14,14,4510,3,1198576354,1163783966,42097771,70676075,70708843,1,3,1,3675155932,73389,73389,14,14,14,70676079,11,3,118331,519877,870394,9994,1198576354,508080,31927864,1994
424128.56,6,253952,62,64430,4242936350,0,9713185,0,717,3,3,4181,447,0,594,582884,0,6,25289,8,112093842,1190,1,0,4,651,80174828,9,320634632,7,17,4,3509,594,0,0,37670230,923860,1370464595,0,594,762,0,3,1,14,14,4510,3,1369497193,1338852843,48149659,81386449,81402833,1,3,1,4232095380,73389,73389,14,14,14,81386453,11,3,124440,596342,978433,11397,1369497193,582884,36693150,2024
426136.82,6,253952,62,72709,4789852654,0,10791066,0,816,3,3,4181,523,0,594,663137,0,6,28593,8,114591504,1190,1,0,4,651,90532338,9,362129352,7,17,4,3509,594,0,0,42545231,1042268,1540744282,0,594,762,0,3,1,14,14,4510,3,1539967033,1511109939,54197734,91923903,91923903,1,3,1,4779191020,73389,73389,14,14,14,91907523,11,3,133590,678331,1076041,12844,1539967033,663137,41470718,2024
428151.65,6,253952,62,81244,5351724208,0,11877030,0,910,3,3,4181,566,0,594,741049,0,6,31937,8,116172150,1190,1,0,4,651,101192104,9,404768416,7,17,4,3509,594,0,0,47396773,1159898,1718313817,0,594,762,0,3,1,14,14,4510,3,1717880866,1687678268,60222987,102736455,102736455,1,3,1,5340591756,73389,73389,14,14,14,102703691,11,3,139338,757968,1181884,14297,1717880866,741049,46216596,2024
430161.55,7,253952,62,89958,5925239980,0,12875021,0,1014,3,3,4181,636,0,621,824432,0,6,35381,8,122106940,1244,1,0,4,651,112033025,9,448132100,7,17,4,3509,621,0,0,52373140,1255397,1902138061,0,621,802,0,3,1,14,14,4510,3,1900865755,1868838792,66268587,113714562,113730946,1,3,1,5913157256,73389,73389,14,14,14,113714566,11,3,142593,843154,1283926,15847,1900865755,824432,51091102,2112
432166.08,7,253952,62,96067,6327155918,1,15029123,0,1050,3,3,4181,664,0,621,867058,0,6,37763,8,122722306,1244,1,0,4,651,119630641,9,478522564,7,17,4,3509,621,0,0,55340979,1278287,2026574793,0,621,802,0,3,1,14,14,4510,3,2024946905,1995097814,71409114,121486167,121486167,1,3,1,6317280716,73389,73389,14,14,14,121486171,11,3,146672,886763,1345949,16857,2024946905,867058,53997036,2112
434172.32,9,253952,62,103211,6798180612,1,16573472,0,1105,4,4,4181,722,0,621,929696,0,6,40594,9,123977170,1244,1,0,4,651,128576761,9,514307044,8,18,4,3762,621,0,0,59277485,1356413,2185019433,0,621,802,0,3,1,14,14,4510,3,2182986054,2143860855,76957707,130494320,130510704,1,3,1,6785704672,73389,73389,14,14,14,130494324,11,3,154466,950852,1440030,18189,2182986054,929696,57838603,2112
436180.42,10,253952,62,111292,7330021304,1,17718042,0,1196,4,4,4181,763,0,621,1001569,0,6,43748,9,124930384,1244,1,0,4,651,138609724,9,554438896,8,18,4,3762,621,0,0,64070582,1463764,2351465832,0,621,802,0,3,1,14,14,4510,3,2349522556,2311519506,82987184,140702823,140702823,1,3,1,7315694860,73389,73389,14,14,14,140686443,11,3,156694,1024366,1526058,19551,2349522556,1001569,62546845,2112
438191.30,11,253952,62,119514,7872634954,1,18838896,0,1292,4,4,4181,829,0,621,1074125,0,6,47001,9,125557816,1244,1,0,4,651,148890215,9,595496164,8,18,4,3762,621,0,0,68908481,1536968,2522708018,0,621,802,0,3,1,14,14,4510,3,2520843171,2483005592,88996949,151113523,151129907,1,3,1,7857903228,73389,73389,14,14,14,151113527,11,3,161985,1098617,1616912,21004,2520843171,1074125,67294073,2112
440196.70,12,253952,62,127907,8425815762,1,19844917,0,1381,4,4,4181,873,0,621,1145516,0,6,50278,9,125557816,1244,1,0,4,651,159353306,9,637284052,8,18,4,3762,621,0,0,73646740,1575373,2706592804,0,621,802,0,3,1,14,14,4510,3,2704410657,2657412341,94769130,161741533,161741533,1,3,1,8410559748,73389,73389,14,14,14,161741537,11,3,167729,1171689,1705813,22502,2704410657,1145516,71943598,2112
