timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
449663.11,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0
451667.82,0,0,19327,1272188764,0,0,0,0,1,1,4677,117,0,585,122920,18,1804,11,52,120717836,1172,1,0,10,15,14,9,224,585,0,0,0,1976623,7746,417067932,0,585,405,15,1,2,1,14,14,1636,1,419463364,375172161,1985277,28593893,28610277,1,2,1,1258131292,73389,73389,14,14,14,28593893,19,3,366791,124979,805779,3218,419463364,122920,1170937,1737
453672.40,253952,62,40072,2639177806,10,10001698,0,10,31,31,4677,120,0,675,231417,18,7061,41,84,140299886,1352,1,0,40,45,14,9,366,675,0,0,0,6180396,13949,824179066,0,675,444,15,1,2,1,14,14,1636,1,826407728,775363959,19931816,59622081,59622081,1,2,1,2623371564,73389,73389,14,14,14,59622081,19,3,473281,235996,1126493,6324,826407728,231417,5054108,1970
455682.79,253952,62,54474,3588070866,26,29940264,0,65,31,31,4677,123,0,675,337133,18,11158,41,84,140830790,1352,1,0,40,45,14,9,366,675,0,0,0,9968253,466786,1101529197,0,675,444,15,1,2,1,14,14,1636,1,1103625008,1052683096,77430111,81183364,81199748,1,2,1,3572068016,73389,73389,14,14,14,81183364,19,3,496230,343802,1287908,8439,1103625008,337133,8680681,1970
457691.63,253952,62,69670,4589795866,26,34175648,0,119,32,32,4677,125,0,675,462996,18,15426,41,84,141361694,1352,1,0,40,46,14,9,366,675,0,0,0,14382195,1347459,1392765571,0,675,444,15,1,2,1,14,14,1636,1,1396046640,1345590564,88773305,103958778,103958778,1,2,1,4574186232,73389,73389,14,14,14,103958778,19,3,510070,472186,1457414,10670,1396046640,462996,12925243,1970
459700.23,253952,62,84936,5595324096,27,38798969,0,172,33,33,4677,128,0,675,583993,18,19751,41,84,141373760,1352,1,0,40,47,14,9,366,675,0,0,0,18945591,2377832,1688977666,0,675,444,15,1,2,1,14,14,1636,1,1689910064,1639494024,100245133,126798013,126814397,1,2,1,5579112572,73389,73389,14,14,14,126798013,19,3,526737,595614,1661102,12912,1689910064,583993,17285076,1970
461709.96,253952,62,99724,6569767438,28,42943226,0,217,35,35,4677,130,0,675,719490,18,23882,41,84,141892598,1352,1,0,40,49,14,9,366,675,0,0,0,23321777,3569242,1972871999,0,675,444,15,1,2,1,14,14,1636,1,1974467376,1924393906,111607215,148946961,148963345,1,2,1,6553666284,73389,73389,14,14,14,148946961,19,3,544770,733533,1869176,15083,1974467376,719490,21453309,1970
463715.20,253952,62,109475,7212525302,33,49555465,0,238,35,35,4677,132,0,675,771169,18,26643,41,84,142158050,1352,1,0,40,49,14,9,366,675,0,0,0,25624279,3587013,2162359070,0,675,444,15,1,2,1,14,14,1636,1,2162424624,2112290093,120586539,163564031,163564031,1,2,1,7196817364,73389,73389,14,14,14,163564031,19,3,545320,786397,1920289,16517,2162424624,771169,23704788,1970
465728.72,253952,62,122733,8085914274,33,52895870,0,277,40,40,4677,134,1,675,884915,18,30387,41,84,142423502,1352,1,0,40,54,14,9,366,675,0,0,0,29320633,4606356,2417011884,0,675,444,15,1,2,1,14,14,1636,1,2417359664,2367566159,128048941,183401120,183417504,1,2,1,8069649280,73389,73389,14,14,14,183401120,19,3,567132,902280,2101570,18462,2417359664,884915,27219977,1970
467738.25,253952,62,136481,8991946790,35,57106375,0,314,42,42,4677,136,1,675,1004081,18,34244,41,84,142942340,1352,1,0,40,56,14,9,366,675,0,0,0,33700606,6620485,2679401468,0,675,444,15,1,2,1,14,14,1636,1,2682256176,2632441562,142598039,203995747,204012131,1,2,1,8975812868,73389,73389,14,14,14,203995747,19,3,587902,1023787,2310945,20483,2682256176,1004081,31390697,1970
