timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
158770.28,0,0,0,0,0,0,0,0,0,0,0,63,0,0,93,0,9,0,2097278,2,1,0,9,14,110,9,403,0,0,0,0,59,8,6927,0,0,0,2,1,14,14,407,1,0,0,247,0,0,1,2,1,0,73389,73389,14,14,14,0,8,3,2,0,2,0,0,0,57,0
160774.86,1,0,0,20677,1360927816,0,0,0,1,1,5000,117,630,123291,93,1931,11,0,129839198,1262,1,0,10,15,110,9,411,630,0,0,0,1997109,4689,448787637,0,630,373,2,1,14,14,407,1,448954564,401297178,2002486,30615158,30615158,1,2,1,1346346056,73389,73389,14,14,14,30598774,8,3,394393,125436,797874,3443,448954564,123291,1199324,1735
162779.33,1,253952,62,41547,2736374310,0,0,0,27,27,5000,120,675,235678,93,7466,37,52,140299886,1352,1,0,36,41,145,9,555,675,0,0,0,6479853,59985,852770334,0,675,391,2,1,14,14,407,1,854719280,803795387,9611321,61829603,61845987,1,2,1,2720502532,73389,73389,14,14,14,61829603,8,3,473516,240729,1065449,6540,854719280,235678,5414663,1853
164788.68,1,253952,62,61613,4058586890,0,0,8,27,27,5000,124,675,339974,93,13174,37,52,141096242,1352,1,0,36,41,145,9,555,675,0,0,0,10944344,210652,1236585065,0,675,391,2,1,14,14,407,1,1240857392,1190249241,32126067,91885102,91901486,1,2,1,4042944488,73389,73389,14,14,14,91885102,8,3,502971,347696,1250426,9486,1240857392,339974,9694347,1853
166795.85,1,253952,62,80588,5308768790,8,8015240,28,27,27,5000,127,675,471230,93,18498,37,52,141361694,1352,1,0,36,41,145,9,555,675,0,0,0,15899379,557457,1601267669,0,675,391,2,1,14,14,407,1,1605761840,1555720335,90777445,120298327,120314711,1,2,1,5293126388,73389,73389,14,14,14,120298327,8,3,524590,481834,1446361,12270,1605761840,471230,14453625,1853
168802.89,1,253952,62,98301,6475978806,23,25979833,96,28,28,5000,130,675,592935,93,23501,37,52,141892598,1352,1,0,36,42,145,9,555,675,0,0,0,20550062,704584,1944572017,0,675,391,2,1,14,14,407,1,1946942256,1896958057,171354702,146821359,146837743,1,2,1,6460139796,73389,73389,14,14,14,146821359,8,3,537511,606285,1629688,14873,1946942256,592935,18921128,1853
170813.30,1,253952,62,114562,7547765098,23,29116536,162,29,29,5000,132,675,715364,93,28040,37,52,142423502,1352,1,0,36,43,145,9,555,675,0,0,0,25361536,1248627,2258624449,0,675,391,2,1,14,14,407,1,2260335408,2210226245,181491276,171175670,171192054,1,2,1,7531729480,73389,73389,14,14,14,171175670,8,3,555345,731414,1830797,17264,2260335408,715364,23531633,1853
172818.49,1,253952,62,127189,8379535402,27,36318986,189,29,29,5000,134,675,788147,93,31590,37,52,142423502,1352,1,0,36,43,145,9,555,675,0,0,0,28417752,1489851,2503182618,0,675,391,2,1,14,14,407,1,2503211824,2453375763,192691618,190089222,190089222,1,2,1,8363925768,73389,73389,14,14,14,190089222,8,3,561486,805911,1926641,19117,2503211824,788147,26492106,1853
174827.80,1,253952,62,141095,9295922606,27,38421464,215,35,35,5000,137,675,881853,93,35571,37,52,142942340,1352,1,0,36,49,145,9,555,675,0,0,0,31904023,1857668,2770176055,0,675,391,2,1,14,14,407,1,2770729776,2721330926,199248112,210913225,210913225,1,2,1,9280181900,73389,73389,14,14,14,210913225,8,3,573600,901698,2057423,21158,2770729776,881853,29847728,1853
176832.60,1,253952,62,152721,10061501550,33,45867305,241,35,35,5000,139,675,940963,93,38828,37,52,143207792,1352,1,0,36,49,145,9,555,675,0,0,0,34607811,2023374,2994250032,0,675,391,2,1,14,14,407,1,2993785808,2945046794,210401164,228319449,228319449,1,2,1,10046055756,73389,73389,14,14,14,228319449,8,3,577498,962204,2137319,22863,2993785808,940963,32471722,1853
