timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1051974.35,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
1053978.75,57344,14,22585,1486778926,0,0,0,0,24,24,5105,117,675,128317,2,20,2140,39,82,139503530,1352,1,0,38,38,3,14,221,675,0,0,0,2022105,43,488242418,0,673,357,2,2,1,14,14,363,0,1,489717956,438312330,2033419,33434921,33451305,1,2,1,0,1470415628,73389,73389,14,14,14,33418537,6,3,429706,130348,856820,3754,489717956,128317,1165382,1797
1055983.72,253952,62,43675,2876631274,3,3000573,0,3,24,24,5105,121,675,215490,2,20,8102,39,82,140565338,1352,1,0,38,38,3,14,221,675,0,0,0,6320860,80,894442809,0,673,357,2,2,1,14,14,363,0,1,895482672,844753827,13051019,65018006,65034390,1,2,1,0,2860792264,73389,73389,14,14,14,65018006,6,3,465646,219805,1008643,6851,895482672,215490,5312497,1797
1057989.00,253952,62,64527,4250620602,3,3000573,0,3,24,24,5105,124,675,318553,2,20,13952,39,82,141096242,1352,1,0,38,38,3,14,221,675,0,0,0,10730474,125,1294389230,0,673,357,2,2,1,14,14,363,0,1,1296694064,1246417295,22190130,96250994,96250994,1,2,1,0,4235043736,73389,73389,14,14,14,96250994,6,3,473022,325348,1124458,9912,1296694064,318553,9606476,1797
1059993.31,253952,62,85144,5609208970,3,3000573,0,3,24,24,5105,128,675,419189,2,20,19796,39,82,141627146,1352,1,0,38,38,3,14,221,675,0,0,0,15155918,369,1692497182,0,673,357,2,2,1,14,14,363,0,1,1693842224,1643506070,30319363,127131726,127131726,1,2,1,0,5593795944,73389,73389,14,14,14,127131726,6,3,478673,428354,1251693,12942,1693842224,419189,13904862,1797
1061997.84,253952,62,106526,7018197830,3,3000573,0,3,24,24,5105,131,675,516888,2,20,25793,39,82,142158050,1352,1,0,38,38,3,14,221,675,0,0,0,19471725,474,2104891984,0,673,357,2,2,1,14,14,363,0,1,2105539376,2055509019,38088464,159140795,159157179,1,2,1,0,7002194980,73389,73389,14,14,14,159140795,6,3,485152,528424,1361260,16083,2105539376,516888,18111282,1797
1064002.10,253952,62,127975,8431312150,3,3000573,0,3,24,24,5105,135,675,607453,2,20,31848,39,82,142423502,1352,1,0,38,38,3,14,221,675,0,0,0,23659509,543,2517413754,0,673,357,2,2,1,14,14,363,0,1,2518416176,2468521895,46039976,191266711,191266711,1,2,1,0,8415735284,73389,73389,14,14,14,191266711,6,3,487779,621284,1464495,19233,2518416176,607453,22196004,1797
1066006.93,253952,62,148762,9801041638,6,6000762,0,6,24,24,5105,138,675,706748,2,20,37697,39,82,143207792,1352,1,0,38,38,3,14,221,675,0,0,0,28180868,603,2916702860,0,673,357,2,2,1,14,14,363,0,1,2918447920,2868958343,89300584,222385011,222401395,1,2,1,0,9784940484,73389,73389,14,14,14,222385011,6,3,498978,722954,1572139,22285,2918447920,706748,26609894,1797
1068011.77,253952,62,170150,11210099342,6,6000762,0,6,24,24,5105,142,675,803505,2,20,43699,39,82,144004148,1352,1,0,38,38,3,14,221,675,0,0,0,32371699,761,3327755316,0,673,357,2,2,1,14,14,363,0,1,3329461200,3280711506,96309239,254424689,254424689,1,2,1,0,11194686316,73389,73389,14,14,14,254424689,6,3,507509,821916,1717886,25424,3329461200,803505,30655146,1797
1070016.53,253952,62,191277,12602111070,6,6000762,0,6,24,24,5105,145,675,895713,2,20,49676,39,82,144535052,1352,1,0,38,38,3,14,221,675,0,0,0,36606546,876,3735032817,0,673,357,2,2,1,14,14,363,0,1,3736308688,3687679655,119309733,286059085,286075469,1,2,1,0,12586599740,73389,73389,14,14,14,286059085,6,3,521378,916306,1842390,28528,3736308688,895713,34765666,1797
