timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
445286.67,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
447299.57,0,253952,62,7985,525259652,0,1363505,0,78,3,3,9101,106,0,558,71946,21,3111,18,28,96108771,1118,1,0,4,420,9760460,5,39041840,17,17,0,14,94,558,0,0,4430209,86652,193969792,0,558,545,3,1,14,14,887,3,194732659,168302261,5853954,9915750,9915750,1,3,1,514767064,73389,73389,14,14,14,9899370,5,3,81171,73501,254899,1673,194732659,71946,4175491,1635
449306.40,0,253952,62,16168,1064062534,0,2506850,0,168,3,3,9101,137,0,558,139997,21,6312,18,28,97689417,1118,1,0,4,420,20000522,5,80002088,17,17,0,14,94,558,0,0,9187191,238397,365366043,0,558,545,3,1,14,14,887,3,365416149,337886688,11903112,20285934,20285934,1,3,1,1054868600,73389,73389,14,14,14,20285938,5,3,87672,143233,349011,3041,365416149,139997,8838536,1635
451311.77,0,253952,62,22441,1477040092,1,4877787,0,211,3,3,9101,201,1,558,181584,21,8789,18,28,98618499,1118,1,0,4,420,27790334,5,111096664,17,17,0,14,94,558,0,0,12199793,257063,499628408,0,558,545,3,1,14,14,887,3,499436808,467972541,17300581,28219220,28219220,1,3,1,1467399472,73389,73389,14,14,14,28219224,5,3,90127,185931,397881,4204,499436808,181584,11802376,1635
453317.05,0,253952,62,28176,1855338450,1,6579502,0,239,3,3,9101,216,1,567,212325,21,11038,18,28,102567193,1136,1,0,4,420,34969080,5,139811828,17,17,0,14,94,567,0,0,14649608,257746,614604903,0,567,550,3,1,14,14,887,3,614187962,587023631,21451732,35501020,35501020,1,3,1,1846053072,73389,73389,14,14,14,35501024,5,3,96343,217500,451887,5114,614187962,212325,14198269,1660
455329.09,0,253952,62,34728,2286298902,1,8115969,0,267,4,4,9101,277,1,567,256761,21,13633,19,28,103194625,1136,1,0,4,420,43131410,5,172525640,18,18,0,14,107,567,0,0,17783865,312490,752203298,0,567,550,3,1,14,14,887,3,751800776,722796067,26177619,43780529,43780529,1,3,1,2276587540,73389,73389,14,14,14,43780533,5,3,102461,263016,503054,6292,751800776,256761,17281482,1660
457344.15,0,253952,62,42709,2812177228,1,9538195,0,343,4,4,9101,311,1,567,324063,21,16750,19,28,105088987,1136,1,0,4,420,53095703,5,212253588,18,18,0,14,107,567,0,0,22275116,463017,915105803,0,567,550,3,1,14,14,887,3,914406269,888263167,32209276,53902794,53902794,1,3,1,2802945320,73389,73389,14,14,14,53902798,5,3,106146,331843,575877,7609,914406269,324063,21700076,1660
459358.27,0,253952,62,50835,3347256624,1,10811931,0,427,4,4,9101,383,1,567,393014,21,19983,19,28,106669633,1136,1,0,4,420,63271629,5,253086516,18,18,0,14,107,567,0,0,26832848,641340,1085788614,0,567,550,3,1,14,14,887,3,1085182375,1056559350,38203874,64191058,64191058,1,3,1,3337935048,73389,73389,14,14,14,64191062,5,3,111305,403181,667661,9062,1085182375,393014,26166202,1660
461367.84,0,253952,62,58585,3858623566,1,12314538,0,493,4,4,9101,417,2,576,458195,21,23020,19,28,110074504,1154,1,0,4,420,72947955,5,291727100,18,18,0,14,107,576,0,0,31210267,862984,1249174929,0,576,562,3,1,14,14,887,3,1248276658,1217575190,44252929,74022285,74038669,1,3,1,3849158852,73389,73389,14,14,14,74022289,5,3,119800,469893,755361,10385,1248276658,458195,30456079,1693
463373.15,1,253952,62,64572,4253159478,2,14603046,0,523,4,4,9101,470,2,576,494805,21,25392,19,28,111932668,1154,1,0,4,420,80428832,5,321715328,18,18,0,14,107,576,0,0,33851836,913731,1373938028,0,576,562,3,1,14,14,887,3,1373463288,1341802923,49270009,81609348,81609348,1,3,1,4243686128,73389,73389,14,14,14,81609352,5,3,122297,507471,799136,11450,1373463288,494805,33053978,1693
465381.46,1,253952,62,71520,4710063550,2,16217325,0,559,5,5,9101,502,2,576,546063,21,28113,19,28,112572166,1154,1,0,4,420,89092425,5,356369700,18,19,0,14,107,576,0,0,37487193,1103103,1515458126,0,576,562,3,1,14,14,887,3,1514192334,1485701842,54687660,90396761,90396761,1,3,1,4700631604,73389,73389,14,14,14,90396765,5,3,130041,559931,883931,12594,1514192334,546063,36604677,1693
467393.29,1,253952,62,78935,5199025816,2,17917722,0,614,5,5,9101,564,2,585,612119,21,31046,19,28,115928807,1172,1,0,4,420,98334292,5,393337168,18,19,0,14,107,585,0,0,41681985,1277043,1676372762,0,585,577,3,1,14,14,887,3,1675213990,1639934689,60731461,99785620,99785620,1,3,1,5188852272,73389,73389,14,14,14,99785624,5,3,139614,627532,974927,13957,1675213990,612119,40708626,1723
469398.78,1,253952,62,86087,5671817596,2,19292242,0,662,5,5,9101,599,2,585,670107,21,33843,19,28,118414403,1172,1,0,4,420,107239307,5,428892580,18,19,0,14,107,585,0,0,45564059,1450328,1827390605,0,585,577,3,1,14,14,887,3,1825839712,1789379741,66079767,108834289,108834289,1,3,1,5659383060,73389,73389,14,14,14,108834293,5,3,147044,686852,1072246,15184,1825839712,670107,44493527,1723
471408.17,1,253952,62,91321,6017318616,3,22270274,0,670,6,6,9101,640,2,585,698965,21,35927,19,28,118414403,1172,1,0,4,420,113812859,5,455251436,18,20,0,14,107,585,0,0,47757112,1485390,1937462088,0,585,577,3,1,14,14,887,3,1935684087,1898104350,71317513,115485305,115485305,1,3,1,6005235892,73389,73389,14,14,14,115485309,5,3,153529,716492,1119137,16109,1935684087,698965,46639765,1723
473422.82,2,253952,62,98576,6494387074,3,24210407,0,691,6,6,9101,679,2,585,762455,21,38743,19,28,118426469,1172,1,0,4,420,122783016,5,491067284,18,20,0,14,107,585,0,0,51698072,1632354,2096885206,0,585,577,3,1,14,14,887,3,2095619406,2049151225,77344015,124600398,124600398,1,3,1,6478368760,73389,73389,14,14,14,124584018,5,3,157632,781437,1197895,17414,2095619406,762455,50502104,1723
475428.68,3,253952,62,104851,6907833552,4,26695740,0,722,6,6,9101,727,3,585,808224,21,41221,19,28,118426469,1172,1,0,4,420,130634537,5,522538148,18,20,0,14,107,585,0,0,54848251,1727951,2229371632,0,585,577,3,1,14,14,887,3,2227462337,2179552544,83075193,132539717,132539717,1,3,1,6892065316,73389,73389,14,14,14,132539721,5,3,169573,828373,1278072,18523,2227462337,808224,53572229,1723
477435.39,3,253952,62,110301,7265994164,4,28378559,0,751,6,6,9101,751,3,594,841604,21,43324,19,28,120227280,1190,1,0,4,420,137308166,5,549232664,18,20,0,14,107,594,0,0,57204932,1733972,2345349621,0,594,586,3,1,14,14,887,3,2344133461,2292807742,87119003,139398136,139398136,1,3,1,7248703104,73389,73389,14,14,14,139398140,5,3,174589,862635,1331990,19478,2344133461,841604,55875087,1748
479449.23,3,253952,62,115700,7621343344,4,29766331,0,774,7,7,9101,795,3,594,878004,21,45465,19,28,120227280,1190,1,0,4,420,144098291,5,576328704,18,21,0,14,107,594,0,0,59792864,1880392,2460625567,0,594,586,3,1,14,14,887,3,2458394113,2404851171,91233495,146219469,146219469,1,3,1,7603412420,73389,73389,14,14,14,146219473,5,3,180063,899943,1391938,20431,2458394113,878004,58403166,1748
481464.81,5,253952,62,121921,8031275010,4,31652523,0,827,7,7,9101,828,3,594,934548,21,47907,19,28,120227280,1190,1,0,4,420,151869485,5,607477940,18,21,0,14,107,594,0,0,63262688,2459488,2593077530,0,594,586,3,1,14,14,887,3,2591493790,2534255094,97131650,154085060,154085060,1,3,1,8012423152,73389,73389,14,14,14,154085064,5,3,184183,957786,1449470,21519,2591493790,934548,61815596,1748
483470.81,6,253952,62,127845,8421368438,4,33562817,0,881,7,7,9101,878,3,594,991559,21,50247,19,28,120227280,1190,1,0,4,420,159255490,5,636957516,18,21,0,14,107,594,0,0,66475909,2739984,2722752721,0,594,586,3,1,14,14,887,3,2720782615,2657313527,102484651,161575978,161575978,1,3,1,8401950888,73389,73389,14,14,14,161575982,5,3,189613,1015978,1521095,22612,2720782615,991559,64957318,1748
485480.12,6,253952,62,133162,8773298358,5,36311930,0,900,7,7,9101,901,3,594,1022223,21,52344,19,28,120540996,1190,1,0,4,420,165905732,5,663622928,18,21,0,14,107,594,0,0,68766195,2767972,2833180928,0,594,586,3,1,14,14,887,3,2831124012,2768164072,107618761,168335205,168335205,1,3,1,8752690992,73389,73389,14,14,14,168320984,5,3,192487,1047453,1552052,23505,2831124012,1022223,67216727,1748
487495.94,7,253952,62,139454,9187834816,5,38114557,0,955,8,8,9101,954,3,603,1077002,21,54816,19,28,121982149,1208,1,0,4,420,173698972,5,694795888,18,22,0,14,107,603,0,0,72208218,3459878,2967189500,0,603,599,3,1,14,14,887,3,2964854933,2898949835,113502746,176290908,176290908,1,3,1,9167127248,73389,73389,14,14,14,176290912,5,3,203344,1103504,1632267,24638,2964854933,1077002,70578682,1784
489510.05,8,253952,62,145454,9582921046,5,40225915,0,1013,8,8,9101,983,3,603,1128054,21,57170,19,28,122295865,1208,1,0,4,420,181214503,5,724793448,18,22,0,14,107,603,0,0,75507058,4070098,3094653824,0,603,599,3,1,14,14,887,3,3091918517,3023812364,119535280,183863746,183863746,1,3,1,9560914824,73389,73389,14,14,14,183863750,5,3,209012,1155819,1705062,25675,3091918517,1128054,73804863,1784
491526.28,10,253952,62,151364,9971493670,5,42472439,0,1068,8,8,9101,1024,3,603,1175654,21,59491,19,28,122295865,1208,1,0,4,420,188540347,5,754161388,18,22,0,14,107,603,0,0,78722442,4691309,3215969451,0,603,599,3,1,14,14,887,3,3213229552,3145703495,125605265,191342598,191358982,1,3,1,9948963160,73389,73389,14,14,14,191326218,5,3,215520,1204558,1770767,26697,3213229552,1175654,76954678,1784
493540.01,11,253952,62,157287,10363102208,5,44681822,0,1126,8,8,9101,1060,4,603,1225579,21,61830,19,28,122295865,1208,1,0,4,420,195978926,5,783915704,18,22,0,14,107,603,0,0,81963902,5150404,3339808433,0,603,599,3,1,14,14,887,3,3336932400,3269505355,131518542,198855489,198855489,1,3,1,10340485460,73389,73389,14,14,14,198855493,5,3,220422,1255676,1845216,27715,3336932400,1225579,80121823,1784
495553.60,11,253952,62,162969,10736430974,5,46967791,0,1175,8,8,9101,1095,5,603,1283672,21,64064,19,28,122295865,1208,1,0,4,420,203079926,5,812255096,18,22,0,14,107,603,0,0,85089716,5934544,3461578436,0,603,599,3,1,14,14,887,3,3459086579,3386995355,137609991,206041588,206041588,1,3,1,10714162608,73389,73389,14,14,14,206041592,5,3,231733,1317933,1928964,28730,3459086579,1283672,83164021,1784
497560.35,11,253952,62,168422,11095693144,6,49027637,0,1218,8,8,9101,1136,6,612,1326637,21,66206,19,28,123793707,1226,1,0,4,420,209827897,5,839311588,18,22,0,14,107,612,0,0,87815750,6249165,3577537052,0,612,606,3,1,14,14,887,3,3574863324,3500700491,142670598,212918106,212918106,1,3,1,11071741544,73389,73389,14,14,14,212918110,5,3,236647,1361915,1988727,29698,3574863324,1326637,85830409,1807
499567.33,11,253952,62,173621,11438598754,6,50857129,0,1244,8,8,9101,1164,6,612,1358718,21,68233,19,28,123793707,1226,1,0,4,420,216273872,5,865095488,18,22,0,14,107,612,0,0,90090032,6282675,3685389356,0,612,606,3,1,14,14,887,3,3682312943,3608802615,146904135,219489361,219505745,1,3,1,11413446804,73389,73389,14,14,14,219489365,5,3,239753,1394814,2036749,30583,3682312943,1358718,88056763,1807
501584.85,15,253952,62,178837,11782003110,6,52352678,0,1270,8,8,9101,1202,6,612,1396365,21,70302,19,28,123805773,1226,1,0,4,420,222821544,5,891286176,18,22,0,14,107,612,0,0,92482707,6423033,3797511149,0,612,606,3,1,14,14,887,3,3794057595,3717000072,150943749,226097702,226097702,1,3,1,11757080536,73389,73389,14,14,14,226097706,5,3,246025,1433323,2094611,31513,3794057595,1396365,90391688,1807
