timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
157178.59,1,253952,62,8442,555475056,0,1048126,94,3,3,4133,113,0,558,77085,25,3293,16,91,95746791,1118,1,0,4,3065,10354994,7,41419976,15,17,12,184,558,0,0,4842038,45505,207358082,0,558,542,3,1,14,14,3650,0,3,207319349,177733757,5924517,10503415,10503415,1,3,1,0,546177612,73389,73389,14,14,14,10503419,10,3,74307,78759,235702,1784,207319349,77085,4606512,1802
159183.83,1,253952,62,17216,1133347562,0,2032359,169,3,3,4133,146,0,558,139599,25,6727,16,91,97351569,1118,1,0,4,3065,21304798,7,85219192,15,17,12,184,558,0,0,9539918,61554,389506574,0,558,542,3,1,14,14,3650,0,3,389403270,359484114,11616376,21625104,21625104,1,3,1,0,1124505440,73389,73389,14,14,14,21625108,10,3,75878,142966,305701,3249,389403270,139599,9234567,1802
161188.83,1,253952,62,22801,1501851718,1,4806999,186,3,3,4133,207,0,567,166961,25,8954,16,91,100707575,1136,1,0,4,3065,28289581,7,113093640,15,17,12,184,567,0,0,11775370,61571,508369789,0,567,546,3,1,14,14,3650,0,3,508181500,475494867,16625266,28710296,28710296,1,3,1,0,1492935424,73389,73389,14,14,14,28710300,10,3,79022,171191,335692,4287,508181500,166961,11440116,1826
163193.18,1,253952,62,29685,1954859706,2,6961126,217,4,4,4133,223,0,576,205919,25,11631,17,91,103437603,1154,1,0,4,3065,36862204,7,147448816,16,18,12,193,576,0,0,14915329,69098,649432432,0,576,549,3,1,14,14,3650,0,3,648859687,618186178,21924661,37421822,37421822,1,3,1,0,1945934776,73389,73389,14,14,14,37421826,10,3,82549,211259,381631,5398,648859687,205919,14534259,1849
165200.20,2,253952,62,37242,2452009620,2,8516908,275,5,5,4133,301,0,576,257475,25,14635,17,91,104704533,1154,1,0,4,3065,46284060,7,185136240,16,19,12,193,576,0,0,18551561,114333,809511097,0,576,549,3,1,14,14,3650,0,3,809436773,774702536,27141121,46977124,46993508,1,3,1,0,2442810480,73389,73389,14,14,14,46977128,10,3,92007,264192,448685,6781,809436773,257475,18103573,1849
167208.16,3,253952,62,46527,3063763750,2,9595441,372,5,5,4133,339,0,585,325559,25,18258,17,91,107726374,1172,1,0,4,3065,57831668,7,231262232,16,19,12,193,585,0,0,23460051,160308,999856819,0,585,555,3,1,14,14,3650,0,3,1000270027,967734356,33177525,58690352,58723120,1,3,1,0,3051898336,73389,73389,14,14,14,58690356,10,3,95489,333960,528737,8326,1000270027,325559,22932211,1882
169218.36,5,253952,62,55386,3646893100,2,10829680,466,5,5,4133,429,0,585,392801,25,21782,17,91,108703720,1172,1,0,4,3065,68912168,7,275584152,16,19,12,193,585,0,0,28236492,195746,1183373614,0,585,555,3,1,14,14,3650,0,3,1182867227,1151111336,39211765,69945272,69945272,1,3,1,0,3637154176,73389,73389,14,14,14,69945276,10,3,100782,402919,617868,9907,1182867227,392801,27619700,1882
171226.34,5,253952,62,63529,4183352060,2,12110758,546,5,5,4133,461,0,585,458503,25,24966,17,91,109934452,1172,1,0,4,3065,79086701,7,316346804,16,19,12,193,585,0,0,32864056,309031,1354565498,0,585,555,3,1,14,14,3650,0,3,1353970442,1319906913,45220755,80264145,80264145,1,3,1,0,4172883604,73389,73389,14,14,14,80247765,10,3,105011,470156,700785,11284,1353970442,458503,32164508,1882
173231.01,6,253952,62,69252,4560900184,3,14555694,566,5,5,4133,480,0,585,489510,25,27212,17,91,112106332,1172,1,0,4,3065,86244250,7,344977000,16,19,12,193,585,0,0,35313437,310202,1475328017,0,585,555,3,1,14,14,3650,0,3,1474264996,1438890311,50115386,87521369,87521369,1,3,1,0,4551111220,73389,73389,14,14,14,87521373,10,3,109072,502017,743763,12263,1474264996,489510,34571002,1882
175236.18,7,253952,62,76874,5063299350,3,15741506,614,6,6,4133,551,0,594,543555,25,30221,17,91,114908485,1190,1,0,4,3065,95714583,7,382793864,16,20,12,193,594,0,0,39393135,394525,1631547859,0,594,563,3,1,14,14,3650,0,3,1630461829,1597400719,55410002,97160306,97160306,1,3,1,0,5052335944,73389,73389,14,14,14,97160310,10,3,112550,557428,803674,13589,1630461829,543555,38590943,1916
177242.56,7,253952,62,82533,5436315322,4,18430900,630,6,6,4133,558,0,603,574410,25,32431,17,91,118241585,1208,1,0,4,3065,102807019,7,411228076,16,20,12,193,603,0,0,41726046,394597,1755611735,0,603,566,3,1,14,14,3650,0,3,1754425023,1714781831,60480721,104337769,104337769,1,3,1,0,5425564020,73389,73389,14,14,14,104337773,10,3,116025,589176,848659,14569,1754425023,574410,40878960,1939
179251.31,7,253952,62,90461,5957652982,4,19749146,686,7,7,4133,639,0,612,631585,25,35564,17,91,120753540,1226,1,0,4,3065,112669796,7,450550176,16,21,12,193,612,0,0,46018108,519154,1913477406,0,612,571,3,1,14,14,3650,0,3,1912391011,1879160440,66204500,114341472,114341472,1,3,1,0,5945756576,73389,73389,14,14,14,114341476,10,3,122931,647802,939645,15932,1912391011,631585,45080196,1965
181259.84,7,253952,62,98067,6461054792,4,21241552,760,7,7,4133,672,0,621,693996,25,38569,17,91,124978733,1244,1,0,4,3065,122231471,7,488925884,16,21,12,193,621,0,0,50426832,656129,2078097522,0,621,591,3,1,14,14,3650,0,3,2076199924,2037922430,72230593,124006256,124006256,1,3,1,0,6448325344,73389,73389,14,14,14,124006260,10,3,129106,711719,1020571,17252,2076199924,693996,49408153,2001
183265.25,7,253952,62,105579,6955279718,4,22606770,823,7,7,4133,745,0,630,751168,25,41526,17,91,126477894,1262,1,0,4,3065,131531321,7,526060860,16,21,12,193,630,0,0,54596714,776058,2234543186,0,630,601,3,1,14,14,3650,0,3,2233016999,2193898504,77871243,133487830,133487830,1,3,1,0,6941367192,73389,73389,14,14,14,133487834,10,3,136047,770300,1099424,18601,2233016999,751168,53499343,2035
185273.27,7,253952,62,110832,7300771058,5,25337912,846,7,7,4133,756,0,630,780252,25,43571,17,91,126477894,1262,1,0,4,3065,138065370,7,552261480,16,21,12,193,630,0,0,56873794,776464,2342954908,0,630,601,3,1,14,14,3650,0,3,2341616547,2302787382,82872546,140114714,140131098,1,3,1,0,7285965160,73389,73389,14,14,14,140114718,10,3,140538,800183,1151407,19460,2341616547,780252,55724526,2035
187283.33,7,253952,62,116632,7683727434,5,26621150,872,8,8,4133,814,0,630,815488,25,45878,17,91,126477894,1262,1,0,4,3065,145314647,7,581258588,16,22,12,193,630,0,0,59608854,786535,2466875136,0,630,601,3,1,14,14,3650,0,3,2465261180,2423710633,86906934,147451699,147468083,1,3,1,0,7667488380,73389,73389,14,14,14,147451703,10,3,142211,836383,1189451,20520,2465261180,815488,58421642,2035
189298.08,7,253952,62,123670,8147431266,6,29189805,902,9,9,4133,846,0,630,870118,25,48644,18,91,126477894,1262,1,0,4,3065,154133617,7,616534468,17,23,12,208,630,0,0,63638388,989635,2615877516,0,630,601,3,1,14,14,3650,0,3,2613882632,2569640951,93700587,156380091,156396475,1,3,1,0,8131764764,73389,73389,14,14,14,156380095,10,3,145313,892389,1272433,21723,2613882632,870118,62368331,2035
191303.31,7,253952,62,129086,8503062004,7,31799150,929,9,9,4133,897,0,630,902292,25,50771,18,91,126791610,1262,1,0,4,3065,160852030,7,643343552,17,23,12,208,630,0,0,66101010,1001869,2731219671,0,630,601,3,1,14,14,3650,0,3,2728866716,2681981533,98782762,163207901,163207901,1,3,1,0,8486810884,73389,73389,14,14,14,163207905,10,3,149170,925451,1311509,22704,2728866716,902292,64791977,2035
193316.21,8,253952,62,135468,8923496702,7,33557472,960,10,10,4133,923,0,630,948755,25,53268,18,91,126791610,1262,1,0,4,3065,168798676,7,675194704,17,24,12,208,630,0,0,69657274,1094463,2860495311,0,630,601,3,1,14,14,3650,0,3,2858672562,2814183453,104183483,171286484,171302868,1,3,1,0,8906897200,73389,73389,14,14,14,171286488,10,3,158353,973086,1391401,23751,2858672562,948755,68268467,2035
195328.36,8,253952,62,142113,9362422232,7,35499318,991,10,10,4133,954,0,630,1004542,25,55887,18,91,126791610,1262,1,0,4,3065,177143002,7,708572008,17,24,12,208,630,0,0,73624686,1237612,3002886323,0,630,601,3,1,14,14,3650,0,3,3000143562,2952791862,110234188,179716879,179733263,1,3,1,0,9345277740,73389,73389,14,14,14,179716883,10,3,163309,1030215,1471456,24914,3000143562,1004542,72155960,2035
197341.84,8,253952,62,148509,9784076084,7,36968219,1034,10,10,4133,1012,3,657,1064163,25,58401,18,91,131601329,1316,1,0,4,3065,185074041,7,740240180,17,24,12,208,657,0,0,77663661,1505233,3146631524,0,657,640,3,1,14,14,3650,0,3,3144017335,3086024603,116004052,187776919,187776919,1,3,1,0,9764399820,73389,73389,14,14,14,187776923,10,3,167598,1091305,1565060,26130,3144017335,1064163,76101467,2137
199346.49,8,253952,62,153702,10126335092,8,39674018,1054,10,10,4133,1026,3,657,1092356,25,60413,18,91,131601329,1316,1,0,4,3065,191555271,7,766156564,17,24,12,208,657,0,0,79896564,1505825,3252924971,0,657,640,3,1,14,14,3650,0,3,3250351925,3193963518,120941767,194350333,194350333,1,3,1,0,10106217348,73389,73389,14,14,14,194350337,10,3,172240,1120299,1605027,26979,3250351925,1092356,78294501,2137
201354.38,9,253952,62,160479,10573573526,8,41038359,1087,11,11,4133,1090,3,666,1149227,25,63101,18,91,133694046,1334,1,0,4,3065,199944227,7,799776908,17,25,12,208,666,0,0,83774979,1591237,3404174810,0,666,648,3,1,14,14,3650,0,3,3402229666,3335306388,126262794,202891542,202907926,1,3,1,0,10549508248,73389,73389,14,14,14,202875162,10,3,176418,1178616,1672038,28279,3402229666,1149227,82106036,2166
203362.71,10,253952,62,167862,11059308110,8,42570556,1151,11,11,4133,1122,3,666,1210152,25,65983,18,91,133694046,1334,1,0,4,3065,209139068,7,836556272,17,25,12,208,666,0,0,88119545,1747844,3557940298,0,666,648,3,1,14,14,3650,0,3,3555056932,3488407212,132286251,212217468,212233852,1,3,1,0,11035308368,73389,73389,14,14,14,212217472,10,3,177243,1241123,1745763,29525,3555056932,1210152,86377029,2166
205375.23,10,253952,62,175441,11557936014,8,44071686,1222,11,11,4133,1191,3,666,1272500,25,68977,18,91,133694046,1334,1,0,4,3065,218591983,7,874367932,17,25,12,208,666,0,0,92527185,1914870,3720827961,0,666,648,3,1,14,14,3650,0,3,3717828464,3645931112,138344332,221789154,221789154,1,3,1,0,11533036040,73389,73389,14,14,14,221789158,10,3,178146,1305061,1812831,30918,3717828464,1272500,90717750,2166
207387.77,10,253952,62,182863,12047469300,8,45525988,1294,11,11,4133,1223,13,666,1336630,25,71887,18,91,133694046,1334,1,0,4,3065,227876148,7,911504592,17,25,12,208,666,0,0,96953323,2100600,3879222610,0,666,648,3,1,14,14,3650,0,3,3876447968,3800343894,144360544,231188364,231188364,1,3,1,0,12021794960,73389,73389,14,14,14,231188368,10,3,180570,1370690,1880845,32208,3876447968,1336630,95076029,2166
209398.81,10,253952,62,190171,12528626532,8,47026460,1360,11,11,4133,1269,13,666,1405150,25,74749,18,91,133694046,1334,1,0,4,3065,236939828,7,947759312,17,25,12,208,666,0,0,101356620,2238094,4039061046,0,666,648,3,1,14,14,3650,0,3,4036246614,3952428240,150378001,240397443,240413827,1,3,1,0,12500667068,73389,73389,14,14,14,240397447,10,3,185838,1440760,1963059,33536,4036246614,1405150,99397260,2166
211408.31,12,253952,62,197517,13012539584,8,48508528,1421,11,11,4133,1323,13,666,1470033,25,77638,18,91,133694046,1334,1,0,4,3065,246081931,7,984327724,17,25,12,208,666,0,0,105735480,2371113,4194874699,0,666,648,3,1,14,14,3650,0,3,4191287232,4105143197,156369933,249686283,249686283,1,3,1,0,12983686748,73389,73389,14,14,14,249686287,10,3,187037,1507146,2035321,34837,4191287232,1470033,103704008,2166
213418.14,13,253952,62,204815,13493379304,8,50134395,1480,11,11,4133,1361,13,675,1533182,25,80497,18,91,135192489,1352,1,0,4,3065,255174920,7,1020699680,17,25,12,208,675,0,0,110145306,2466912,4350390348,0,675,658,3,1,14,14,3650,0,3,4346508585,4256925574,162488968,258901395,258917779,1,3,1,0,13462872572,73389,73389,14,14,14,258901399,10,3,188848,1571743,2112480,36113,4346508585,1533182,108036823,2196
215427.52,13,253952,62,212950,14028586342,8,51358575,1560,11,11,4133,1423,13,729,1600050,25,83693,18,91,144338006,1460,1,0,4,3065,265269551,7,1061078204,17,25,12,208,729,0,0,114853623,2571804,4525665941,0,729,705,3,1,14,14,3650,0,3,4521745289,4426142213,168509850,269148699,269148699,1,3,1,0,13995732380,73389,73389,14,14,14,269148703,10,3,189271,1640311,2191142,37584,4521745289,1600050,112666645,2374
217432.40,14,253952,62,218421,14388750642,9,53433512,1584,11,11,4133,1457,13,765,1634777,25,85813,18,91,150356130,1532,1,0,4,3065,272075685,7,1088302740,17,25,12,208,765,0,0,117383975,2575114,4644379715,0,765,731,3,1,14,14,3650,0,3,4640222198,4539963448,173117779,276051952,276051952,1,3,1,0,14354701536,73389,73389,14,14,14,276051956,10,3,192382,1675910,2235059,38568,4640222198,1634777,115153191,2469
