timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
711110.59,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
713114.96,1,0,0,21840,1437689154,0,0,0,0,1,1,9934,117,657,122946,11,2039,16,0,135695714,1316,1,0,15,15,0,14,45,657,0,0,0,1993403,120,472643799,0,657,473,2,1,14,14,331,1,473596100,423874726,1994261,32331160,32347544,1,2,1,1422571040,73389,73389,14,14,14,32331160,7,3,411154,125069,782869,3631,473596100,122946,1210622,1861
715122.28,1,253952,62,40435,2662967374,1,1301378,0,28,22,22,9934,120,675,247856,11,7160,37,17,140299886,1352,1,0,36,36,9,14,114,675,0,0,0,6421012,492008,826137416,0,675,482,2,1,14,14,331,1,833354544,782342548,25740585,60162753,60162753,1,2,1,2646440236,73389,73389,14,14,14,60146369,7,3,496264,252645,1119267,6377,833354544,247856,5301990,1909
717131.75,1,253952,62,57503,3787906670,18,21287657,0,103,22,22,9934,123,675,380819,11,11981,37,17,140830790,1352,1,0,36,36,9,14,114,675,0,0,0,11485296,728914,1160149185,0,675,482,2,1,14,14,331,1,1161689904,1111103037,59659663,85713096,85735513,1,2,1,3771376224,73389,73389,14,14,14,85713096,7,3,497942,388424,1283845,8882,1161689904,380819,10200842,1909
719146.66,1,253952,62,74878,4932700066,18,24028765,0,185,22,22,9934,126,675,513401,11,16884,37,17,141361694,1352,1,0,36,36,9,14,114,675,0,0,0,16168000,751117,1495077450,0,675,482,2,1,14,14,331,1,1496316720,1445797848,67861782,111744608,111760992,1,2,1,4916762752,73389,73389,14,14,14,111744608,7,3,499631,523846,1452475,11435,1496316720,513401,14716080,1909
721151.91,1,253952,62,92939,6122982062,19,27604443,0,261,23,23,9934,129,675,640279,11,21977,37,17,141892598,1352,1,0,36,37,9,14,114,675,0,0,0,20821398,773594,1844293996,0,675,482,2,1,14,14,331,1,1843788592,1793738379,77052159,138806153,138806153,1,2,1,6106749836,73389,73389,14,14,14,138789769,7,3,509895,653510,1623509,14086,1843788592,640279,19198619,1909
723156.45,1,253952,62,105677,6962292314,21,30438543,0,300,23,23,9934,131,675,714319,11,25559,37,17,142158050,1352,1,0,36,37,9,14,114,675,0,0,0,23737037,775294,2089523134,0,675,482,2,1,14,14,331,1,2089417520,2039186431,82936099,157873194,157873194,1,2,1,6946420536,73389,73389,14,14,14,157873194,7,3,509946,729360,1707033,15960,2089417520,714319,22030861,1909
725161.48,1,253952,62,117164,7719086126,22,32344375,0,335,24,24,9934,133,675,774758,11,28800,37,17,142423502,1352,1,0,36,38,9,14,114,675,0,0,0,26221189,775344,2311010809,0,675,482,2,1,14,14,331,1,2310142768,2260359030,87360205,175076777,175076777,1,2,1,7703378188,73389,73389,14,14,14,175076777,7,3,514803,791218,1778210,17644,2310142768,774758,24443936,1909
727167.77,1,253952,62,133970,8826324086,22,34037202,0,382,26,26,9934,135,675,898792,11,33498,37,17,142688954,1352,1,0,36,40,9,14,114,675,0,0,0,30491588,861182,2631775621,0,675,482,2,1,14,14,331,1,2633628464,2584012916,93945471,200244255,200244255,1,2,1,8810026324,73389,73389,14,14,14,200227871,7,3,525908,917875,1937605,20112,2633628464,898792,28555108,1909
729172.53,1,253952,62,145329,9574729290,24,37207049,0,405,26,26,9934,137,675,963135,11,36702,37,17,142942340,1352,1,0,36,40,9,14,114,675,0,0,0,33126893,883759,2853134692,0,675,482,2,1,14,14,331,1,2852387632,2802819543,100103520,217251230,217251230,1,2,1,9558333224,73389,73389,14,14,14,217234846,7,3,528136,983700,2016675,21781,2852387632,963135,31111457,1909
