timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
330820.15,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
332828.41,2,253952,62,9183,604363014,1,2079078,92,4,4,3826,116,0,567,81777,0,19,3580,11,97885585,1136,1,0,4,1558,11250654,6,45002616,10,18,6,1089,567,0,0,4841270,18992,220624495,0,567,600,0,3,1,14,14,2116,0,3,220426635,193363747,6935560,11426952,11426952,1,3,1,0,594201536,73389,73389,14,14,14,11426956,10,3,80423,83493,267146,1888,220426635,81777,4574287,1707
334834.19,2,253952,62,18945,1247262606,1,2945524,184,4,4,3826,154,1,567,158011,0,19,7409,11,99454165,1136,1,0,4,1558,23457765,6,93831060,10,18,6,1089,567,0,0,9965951,32046,424566413,0,567,600,0,3,1,14,14,2116,0,3,424293347,395508994,12934279,23808050,23808050,1,3,1,0,1238018632,73389,73389,14,14,14,23808054,10,3,81811,161594,351039,3523,424293347,158011,9615282,1707
336843.52,3,253952,62,28608,1883975784,1,4068549,281,4,4,3826,246,1,567,232095,0,19,11238,11,100383247,1136,1,0,4,1558,35516269,6,142000364,10,18,6,1089,567,0,0,14885097,38187,631265697,0,567,600,0,3,1,14,14,2116,0,3,631051485,595833369,18979340,36039533,36055917,1,3,1,0,1874055748,73389,73389,14,14,14,36039537,10,3,84389,237495,452101,5295,631051485,232095,14433578,1707
338849.16,3,253952,62,38163,2513007774,1,5144931,375,4,4,3826,283,1,567,301934,0,19,14978,11,101650177,1136,1,0,4,1558,47449171,6,189796684,10,18,6,1089,567,0,0,19812129,54539,827805793,0,567,600,0,3,1,14,14,2116,0,3,826999024,794083602,24994146,48144262,48144262,1,3,1,0,2503501656,73389,73389,14,14,14,48144266,10,3,86515,309049,520032,6870,826999024,301934,19292873,1707
340854.21,3,253952,62,47875,3152630566,1,6261620,466,4,4,3826,374,1,567,370976,0,19,18826,11,103218757,1136,1,0,4,1558,59559083,6,238236332,10,18,6,1089,567,0,0,24704004,69828,1025890766,0,567,600,0,3,1,14,14,2116,0,3,1025008288,995420077,31015645,60427056,60459824,1,3,1,0,3142206944,73389,73389,14,14,14,60427060,10,3,87338,379842,606991,8570,1025008288,370976,24097978,1707
342859.17,3,253952,62,57431,3782005610,1,7667548,541,4,4,3826,410,1,567,434857,0,19,22557,11,104449489,1136,1,0,4,1558,71474702,6,285898808,10,18,6,1089,567,0,0,29295461,70485,1222617625,0,567,600,0,3,1,14,14,2116,0,3,1221948478,1193652560,37013051,72546010,72546010,1,3,1,0,3772392552,73389,73389,14,14,14,72546014,10,3,91043,445291,685917,10159,1221948478,434857,28610712,1707
344863.57,3,253952,62,64944,4276899372,2,9623979,587,4,4,3826,483,1,567,479792,0,19,25540,11,105716419,1136,1,0,4,1558,80890474,6,323561896,10,18,6,1089,567,0,0,32619629,71033,1382261282,0,567,600,0,3,1,14,14,2116,0,3,1380919150,1349439097,42292037,82064226,82064226,1,3,1,0,4267339784,73389,73389,14,14,14,82064230,10,3,94675,491402,740915,11515,1380919150,479792,31880022,1707
346868.49,3,253952,62,73203,4821032904,3,11410151,621,6,6,3826,510,1,567,529437,0,19,28766,11,107321197,1136,1,0,4,1558,91176866,6,364707464,10,20,6,1089,567,0,0,36244577,74624,1558433998,0,567,600,0,3,1,14,14,2116,0,3,1557199521,1520969265,47689845,92514171,92514171,1,3,1,0,4809884956,73389,73389,14,14,14,92497791,10,3,99087,542383,803906,12925,1557199521,529437,35442136,1707
348873.47,3,253952,62,83026,5469148858,3,12907306,688,6,6,3826,599,6,567,589520,0,19,32666,11,109481011,1136,1,0,4,1558,103488238,6,413888252,10,20,6,1089,567,0,0,40762803,74939,1759369053,0,567,600,0,3,1,14,14,2116,0,3,1757806286,1724983008,53720643,104984937,104984937,1,3,1,0,5459216756,73389,73389,14,14,14,104984941,10,3,101754,604028,879075,14639,1757806286,589520,39885390,1707
