timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
264811.20,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0
266816.13,9,0,0,19947,1313086536,0,0,0,0,1,1,4351,117,0,603,123982,38,1862,10,2508,124525652,1208,1,9,15,116,8,5690,603,0,1990270,1213,432535069,0,603,387,2,1,14,14,3624,1,432832708,387240812,1992472,29533814,29533814,1,2,1,1298766920,73389,73389,14,14,14,29517430,9,3,380434,126104,812562,3320,432832708,123982,1177854,1808
268827.74,9,253952,62,35991,2370132678,16,17917528,0,40,23,23,4351,120,0,675,245183,38,5949,32,2525,140299886,1352,1,31,37,124,8,6123,675,0,5923686,1351984,745098337,0,675,413,2,1,14,14,3624,1,747633456,696739903,32854525,53507419,53507419,1,2,1,2354326436,73389,73389,14,14,14,53507419,9,3,513981,249599,1210366,5723,747633456,245183,4713598,1997
270833.62,9,253952,62,49200,3240841290,20,24523717,0,84,23,23,4351,122,0,675,338829,38,9668,32,2525,140830790,1352,1,31,37,124,8,6123,675,0,9609553,2047240,999767430,0,675,413,2,1,14,14,3624,1,1001913136,951190133,45246754,73282846,73299230,1,2,1,3224445224,73389,73389,14,14,14,73282846,9,3,520744,345282,1344560,7663,1001913136,338829,8265406,1997
272839.72,9,253952,62,59492,3918788678,22,27175149,0,105,24,24,4351,123,0,675,392648,38,12522,32,2525,140830790,1352,1,31,38,124,8,6123,675,0,11802771,2054031,1199613759,0,675,413,2,1,14,14,3624,1,1200094000,1149408907,50048041,88696699,88713083,1,2,1,3902654756,73389,73389,14,14,14,88696699,9,3,524688,400501,1405581,9175,1200094000,392648,10397691,1997
274852.85,9,253952,62,71683,4722250738,22,29181343,0,142,27,27,4351,125,0,675,481493,38,15967,32,2525,141361694,1352,1,31,41,124,8,6123,675,0,14998086,2594988,1434484602,0,675,413,2,1,14,14,3624,1,1434843952,1384297962,55407251,106969116,106969116,1,2,1,4706641104,73389,73389,14,14,14,106969116,9,3,536518,491214,1534218,10966,1434843952,481493,13464494,1997
276865.62,9,253952,62,84726,5581549470,24,34519989,0,174,28,28,4351,127,0,675,583720,38,19636,32,2525,141361694,1352,1,31,42,124,8,6123,675,0,18644617,4481838,1683646816,0,675,413,2,1,14,14,3624,1,1685584688,1635429557,67896013,126494909,126511293,1,2,1,5565775996,73389,73389,14,14,14,126494909,9,3,550334,595482,1707628,12879,1685584688,583720,16937737,1997
278880.19,9,253952,62,97702,6436457290,27,39444078,0,213,31,31,4351,130,0,675,701320,38,23330,32,2525,141892598,1352,1,31,45,124,8,6123,675,0,22327615,6140414,1933579042,0,675,413,2,1,14,14,3624,1,1935670064,1885434620,78934971,145914206,145930590,1,2,1,6420225064,73389,73389,14,14,14,145914206,9,3,568715,715160,1875140,14787,1935670064,701320,20453325,1997
280891.23,9,253952,62,111234,7328334030,27,42706717,0,237,32,32,4351,132,0,675,813813,38,27133,32,2525,142423502,1352,1,31,46,124,8,6123,675,0,26275883,7192445,2195074482,0,675,413,2,1,14,14,3624,1,2195979056,2146150446,88291663,166181153,166197537,1,2,1,7311970732,73389,73389,14,14,14,166181153,9,3,585128,829974,2054234,16773,2195979056,813813,24222636,1997
282896.56,9,253952,62,122142,8046917046,30,47429891,0,263,32,32,4351,134,3,675,868516,38,30215,32,2525,142423502,1352,1,31,46,124,8,6123,675,0,28612423,7233093,2407108003,0,675,413,2,1,14,14,3624,1,2406218544,2356184142,95441579,182526735,182526735,1,2,1,8031176340,73389,73389,14,14,14,182526735,9,3,585685,885925,2118394,18377,2406218544,868516,26495108,1997
284909.67,9,253952,62,135908,8954129210,30,49463617,0,297,36,36,4351,136,3,675,978448,38,34108,32,2525,142942340,1352,1,31,50,124,8,6123,675,0,32260249,8211037,2668858452,0,675,413,2,1,14,14,3624,1,2670852912,2621369309,102719636,203137746,203154130,1,2,1,8938060824,73389,73389,14,14,14,203137746,9,3,604824,997993,2284855,20396,2670852912,978448,29976605,1997
286924.46,9,253952,62,149775,9867960510,32,53548685,0,333,40,40,4351,138,3,675,1097762,38,37971,32,2525,143207792,1352,1,31,54,124,8,6123,675,0,36201083,9610634,2933884235,0,675,413,2,1,14,14,3624,1,2937846576,2888512222,113431781,223904405,223920789,1,2,1,9851793820,73389,73389,14,14,14,223904405,9,3,621290,1119555,2464840,22433,2937846576,1097762,33737579,1997
288933.14,9,253952,62,163980,10803618606,36,61063626,0,376,41,41,4351,141,3,675,1223320,38,41972,32,2525,143738696,1352,1,31,55,124,8,6123,675,0,40322154,10942933,3210023088,0,675,413,2,1,14,14,3624,1,3210709968,3161909744,126276242,245185001,245185001,1,2,1,10788140044,73389,73389,14,14,14,245185001,9,3,628847,1247398,2632542,24518,3210709968,1223320,37691078,1997
290940.57,9,253952,62,178051,11730553798,38,66057296,0,416,48,48,4351,143,3,675,1347148,38,45958,32,2525,144004148,1352,1,31,62,124,8,6123,675,0,44291428,12478411,3480677972,0,675,413,2,1,14,14,3624,1,3481111504,3432849736,140092549,266240539,266256923,1,2,1,11714583716,73389,73389,14,14,14,266240539,9,3,658968,1373416,2845475,26581,3481111504,1347148,41447539,1997
292950.92,9,253952,62,192276,12668112438,43,74321606,0,452,51,51,4351,145,3,675,1472649,38,49952,32,2525,144535052,1352,1,31,65,124,8,6123,675,0,48359223,14104854,3754878737,0,675,413,2,1,14,14,3624,1,3755314128,3706951054,156990052,287545711,287562095,1,2,1,12652011284,73389,73389,14,14,14,287545711,9,3,671568,1501180,3026091,28673,3755314128,1472649,45334849,1997
294965.33,9,253952,62,207132,13647024294,48,80082511,0,502,53,53,4351,147,3,675,1609570,38,54107,32,2525,144800504,1352,1,31,67,124,8,6123,675,0,52623046,14998346,4040488325,0,675,413,2,1,14,14,3624,1,4041313232,3993036178,169078612,309809347,309809347,1,2,1,13631611268,73389,73389,14,14,14,309809347,9,3,684760,1640499,3193161,30855,4041313232,1609570,49431745,1997
296976.87,9,253952,62,222301,14646448918,50,85708095,0,553,54,54,4351,150,3,675,1746976,38,58411,32,2525,145331408,1352,1,31,68,124,8,6123,675,0,57067978,16010119,4335005308,0,675,413,2,1,14,14,3624,1,4333210576,4285256212,181425331,332523543,332523543,1,2,1,14630314996,73389,73389,14,14,14,332507159,9,3,701413,1780374,3378059,33082,4333210576,1746976,53691909,1997
