timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
733675.27,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,9,0,5,0,2097278,2,1,0,5,14,0,5,249,0,0,0,0,0,0,6936,0,0,0,2,1,14,14,415,0,1,0,0,133,0,0,1,2,1,0,0,73389,73389,14,14,14,0,9,3,0,0,0,0,0,0,0,0
735680.18,0,0,21129,1390815540,0,0,0,0,1,1,4308,117,0,639,124726,9,1973,7,0,131875832,1280,1,0,6,15,0,5,260,639,0,0,0,1976722,12043,456649972,0,639,401,2,1,14,14,415,0,1,458522820,410091210,1989704,31276551,31292935,1,2,1,0,1376168244,73389,73389,14,14,14,31276551,9,3,400316,126744,818773,3516,458522820,124726,1158041,1751
737688.45,253952,62,40634,2676274490,14,14397211,0,32,23,23,4308,120,0,675,246320,9,7214,29,12,140299886,1352,1,0,28,37,4,5,336,675,0,0,0,6668985,568975,835040672,0,675,424,2,1,14,14,415,0,1,837155632,786233357,36688062,60463698,60463698,1,2,1,0,2660402712,73389,73389,14,14,14,60463698,9,3,533466,252172,1256429,6406,837155632,246320,5412839,1840
739695.22,253952,62,60131,3960931634,17,19958099,0,63,23,23,4308,123,0,675,370434,9,12698,29,12,140830790,1352,1,0,28,37,4,5,336,675,0,0,0,11521591,797099,1208257261,0,675,424,2,1,14,14,415,0,1,1212414768,1161721478,51991800,89653004,89669388,1,2,1,0,3944732176,73389,73389,14,14,14,89653004,9,3,542452,379139,1438677,9269,1212414768,370434,10083390,1840
741700.41,253952,62,72612,4783399134,21,25734943,0,83,23,23,4308,126,0,675,426710,9,16266,29,12,141361694,1352,1,0,28,37,4,5,336,675,0,0,0,14185332,832381,1451760392,0,675,424,2,1,14,14,415,0,1,1452538672,1402147598,60850400,108351405,108367789,1,2,1,0,4767461820,73389,73389,14,14,14,108351405,9,3,544821,436834,1505252,11101,1452538672,426710,12680657,1840
743710.83,253952,62,89960,5926423058,21,27647161,0,136,26,26,4308,128,1,675,533946,9,21110,29,12,141627146,1352,1,0,28,40,4,5,336,675,0,0,0,18339178,901348,1786021714,0,675,424,2,1,14,14,415,0,1,1786510128,1736256885,67573218,134327732,134344116,1,2,1,0,5910420208,73389,73389,14,14,14,134327732,9,3,564078,546549,1688956,13649,1786510128,533946,16650967,1840
745722.60,253952,62,108834,7170251274,22,32149563,0,174,27,27,4308,131,1,675,661260,9,26422,29,12,142158050,1352,1,0,28,41,4,5,336,675,0,0,0,23135476,1144693,2149011592,0,675,424,2,1,14,14,415,0,1,2150103856,2099956993,78949471,162599534,162599534,1,2,1,0,7154379496,73389,73389,14,14,14,162599534,9,3,573190,676789,1855242,16423,2150103856,661260,21281154,1840
747729.96,253952,62,127686,8412106794,23,36828474,0,212,28,28,4308,134,1,675,791158,9,31727,29,12,142423502,1352,1,0,28,42,4,5,336,675,0,0,0,27912339,1365996,2512262134,0,675,424,2,1,14,14,415,0,1,2512780080,2462940403,90243230,190826502,190826502,1,2,1,0,8396366088,73389,73389,14,14,14,190826502,9,3,590629,809642,2074444,19190,2512780080,791158,25838993,1840
749736.71,253952,62,146933,9680645390,24,41639145,0,253,29,29,4308,138,1,675,911977,9,37199,29,12,143207792,1352,1,0,28,43,4,5,336,675,0,0,0,32690109,1459649,2882328937,0,675,424,2,1,14,14,415,0,1,2883189552,2833727290,101840765,219653201,219669585,1,2,1,0,9664740844,73389,73389,14,14,14,219653201,9,3,604774,933382,2247218,22016,2883189552,911977,30444177,1840
751742.38,253952,62,167146,11012167390,25,45334686,0,278,30,30,4308,141,1,675,1028764,9,42872,29,12,144004148,1352,1,0,28,44,4,5,336,675,0,0,0,37351391,1494614,3270333038,0,675,424,2,1,14,14,415,0,1,3271658448,3222877345,112660133,249911341,249927725,1,2,1,0,10996099004,73389,73389,14,14,14,249911341,9,3,617519,1052981,2442202,24983,3271658448,1028764,34910670,1840
753747.70,253952,62,187519,12354499522,26,47567549,0,300,31,31,4308,144,1,675,1143111,9,48591,29,12,144269600,1352,1,0,28,45,4,5,336,675,0,0,0,41966820,1502508,3664655463,0,675,424,2,1,14,14,415,0,1,3663825872,3615287710,121761096,280417400,280433784,1,2,1,0,12338365600,73389,73389,14,14,14,280417400,9,3,627531,1170175,2607935,27975,3663825872,1143111,39360555,1840
755752.54,253952,62,207460,13668520102,27,50949404,0,334,31,31,4308,148,1,675,1251159,9,54256,29,12,144800504,1352,1,0,28,45,4,5,336,675,0,0,0,46340332,1502712,4047830859,0,675,424,2,1,14,14,415,0,1,4047604688,3999302941,130762416,310292675,310309059,1,2,1,0,13652877700,73389,73389,14,14,14,310292675,9,3,638865,1280924,2769812,30903,4047604688,1251159,43572375,1840
757757.43,253952,62,228178,15033993058,27,52491447,0,369,31,31,4308,151,1,675,1355751,9,60068,29,12,145596860,1352,1,0,28,45,4,5,336,675,0,0,0,50754223,1502954,4447125147,0,675,424,2,1,14,14,415,0,1,4446456784,4398508199,138699388,341335088,341335088,1,2,1,0,15018743872,73389,73389,14,14,14,341335088,9,3,643971,1387973,2897438,33946,4446456784,1355751,47858818,1840
759762.04,253952,62,248562,16376780634,27,54762120,0,417,31,31,4308,154,1,675,1458760,9,65792,29,12,145862312,1352,1,0,28,45,4,5,336,675,0,0,0,55049328,1503146,4838821740,0,675,424,2,1,14,14,415,0,1,4838624208,4791067913,146535982,371851498,371851498,1,2,1,0,16361465912,73389,73389,14,14,14,371851498,9,3,649454,1493485,3026337,36938,4838624208,1458760,52025207,1840
761766.55,253952,62,268804,17710793002,27,57176207,0,470,31,31,4308,157,1,675,1562535,9,71477,29,12,146393216,1352,1,0,28,45,4,5,336,675,0,0,0,59367208,1503805,5229078069,0,675,424,2,1,14,14,415,0,1,5228301264,5181019713,154389762,402166982,402166982,1,2,1,0,17695347208,73389,73389,14,14,14,402166982,9,3,656750,1599847,3161986,39911,5228301264,1562535,56207622,1840
763770.97,253952,62,288778,19026284834,27,60013778,0,527,31,31,4308,161,1,675,1664695,9,77146,29,12,146924120,1352,1,0,28,45,4,5,336,675,0,0,0,63659149,1503911,5611866170,0,675,424,2,1,14,14,415,0,1,5612215115,5565565981,162754561,432068992,432085376,1,2,1,0,19011035648,73389,73389,14,14,14,432068992,9,3,661851,1704531,3276110,42844,5612215115,1664695,60385617,1840
765775.46,253952,62,309507,20392213234,27,61363250,0,543,37,37,4308,165,1,675,1765875,9,83016,29,12,147455024,1352,1,0,28,51,4,5,336,675,0,0,0,67820770,1505685,6010894892,0,675,424,2,1,14,14,415,0,1,6011329355,5964807531,169278534,463113564,463113564,1,2,1,0,20376996816,73389,73389,14,14,14,463113564,9,3,674728,1808136,3417613,45889,6011329355,1765875,64405917,1840
767779.82,253952,62,331060,21811949998,27,61363250,0,543,37,37,4308,169,1,675,1850698,9,89118,29,12,148251380,1352,1,0,28,51,4,5,336,675,0,0,0,72014651,1505880,6425545652,0,675,424,2,1,14,14,415,0,1,6425679209,6379769899,177291259,495384777,495384777,1,2,1,0,21796930188,73389,73389,14,14,14,495384777,9,3,679990,1895404,3517590,49057,6425679209,1850698,68499984,1840
