timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
596168.98,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,626,0,0,0,0,0,0,0,0,626,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
598174.38,0,0,20897,1375611188,0,0,0,0,1,1,6419,117,630,125365,25,1951,15,18,130104650,1262,1,626,0,14,15,68,13,86,630,0,626,5,0,0,1993791,47,452458687,0,630,452,2,1,14,14,375,0,1,453148868,405583020,1994515,30948871,30948871,1,2,1,0,1361029428,73389,73389,14,14,14,30932487,9,3,396472,127463,764399,3475,453148868,125365,1229472,1870
600188.28,253952,62,36816,2424465330,25,27227389,0,56,31,31,6419,120,675,247899,25,6173,44,70,140299886,1352,1,626,0,43,45,79,13,263,675,0,626,5,0,0,6227859,1269855,761360051,0,675,483,2,1,14,14,375,0,1,763362096,712605988,44697963,54742252,54742252,1,2,1,0,2408659088,73389,73389,14,14,14,54742252,9,3,504167,252271,1139829,5843,763362096,247899,5088241,2001
602202.17,253952,62,51038,3361827362,27,32258018,0,96,32,32,6419,122,675,375338,25,10163,44,70,140830790,1352,1,626,0,43,46,79,13,263,675,0,626,5,0,0,10255235,2757302,1036474078,0,675,483,2,1,14,14,375,0,1,1037302576,986604143,56596451,76047424,76047424,1,2,1,0,3346086656,73389,73389,14,14,14,76047424,9,3,514234,382012,1312912,7933,1037302576,375338,8942652,2001
604215.20,253952,62,65205,4295319462,29,37047255,0,135,34,34,6419,124,675,487076,25,14138,44,70,141096242,1352,1,626,0,43,48,79,13,263,675,0,626,5,0,0,14250957,4269334,1305942548,0,675,483,2,1,14,14,375,0,1,1310063408,1259472710,68395283,97256451,97272835,1,2,1,0,4279283844,73389,73389,14,14,14,97256451,9,3,523901,496845,1463958,10014,1310063408,487076,12787444,2001
606220.42,253952,62,76534,5041758586,32,41572873,0,159,34,34,6419,126,675,538168,25,17334,44,70,141361694,1352,1,626,0,43,48,79,13,263,675,0,626,5,0,0,16688368,4317828,1528071296,0,675,483,2,1,14,14,375,0,1,1528036144,1477725009,75464644,114230658,114230658,1,2,1,0,5026148952,73389,73389,14,14,14,114230658,9,3,523974,549225,1518145,11677,1528036144,538168,15170766,2001
608229.80,253952,62,90673,5973415678,32,44032027,0,192,37,37,6419,128,675,644772,25,21322,44,70,141627146,1352,1,626,0,43,51,79,13,263,675,0,626,5,0,0,20473156,4973075,1799654583,0,675,483,2,1,14,14,375,0,1,1800141616,1749982219,82660016,135398725,135415109,1,2,1,0,5957543900,73389,73389,14,14,14,135398725,9,3,537479,658074,1677961,13753,1800141616,644772,18795875,2001
610239.50,253952,62,105504,6950689134,33,47165723,0,238,38,38,6419,131,675,770223,25,25514,44,70,142158050,1352,1,626,0,43,52,79,13,263,675,0,626,5,0,0,24535796,6290653,2084077892,0,675,483,2,1,14,14,375,0,1,2085878576,2035745097,92237561,157605017,157621401,1,2,1,0,6934620748,73389,73389,14,14,14,157605017,9,3,549662,785890,1879071,15933,2085878576,770223,22657530,2001
612246.99,253952,62,121246,7987931338,33,50190957,0,294,38,38,6419,133,675,882244,25,29918,44,70,142423502,1352,1,626,0,43,52,79,13,263,675,0,626,5,0,0,28842953,7144302,2388041927,0,675,483,2,1,14,14,375,0,1,2388917040,2338924034,101239256,181185406,181201790,1,2,1,0,7972157864,73389,73389,14,14,14,181185406,9,3,560091,902134,2053953,18245,2388917040,882244,26789950,2001
614257.71,253952,62,138126,9100284414,33,54633529,0,349,38,38,6419,136,675,1001231,25,34688,44,70,142942340,1352,1,626,0,43,52,79,13,263,675,0,626,5,0,0,33371260,7723247,2711414593,0,675,483,2,1,14,14,375,0,1,2713451312,2664097378,111227724,206465413,206481797,1,2,1,0,9084478172,73389,73389,14,14,14,206465413,9,3,573702,1024714,2254753,20721,2713451312,1001231,31117604,2001
