timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
471042.13,0,0,20794,1368860980,0,0,0,1,1,5451,117,630,129523,2,1942,4,0,130104650,1262,1,3,15,2,500,630,1993293,31,450622838,630,483,2,1,14,14,417,1,450920644,403585354,1993876,30785031,30801415,1,2,1,1354541364,73389,73389,14,14,14,30785031,10,3,396316,131562,872288,3458,450920644,129523,1121096,1900
473052.65,253952,62,36506,2404149170,7,10454948,40,16,16,5451,120,675,238722,2,6107,15,13,140299886,1352,1,14,30,2,547,675,5550935,1160694,751918185,675,516,2,1,14,14,417,1,757463856,706666101,16425729,54267116,54283500,1,2,1,2387753104,73389,73389,14,14,14,54267116,10,3,480553,245991,1155473,5798,757463856,238722,4395680,2035
475058.13,253952,62,51023,3360844322,12,17158118,81,16,16,5451,122,675,346138,2,10158,15,13,140830790,1352,1,14,30,2,547,675,9318374,2294197,1036718259,675,516,2,1,14,14,417,1,1037171504,986279138,30361067,76014656,76031040,1,2,1,3344644864,73389,73389,14,14,14,76014656,10,3,492206,355417,1303711,7932,1037171504,346138,8015000,2035
477063.95,253952,62,62084,4089719798,14,20832783,102,16,16,5451,124,675,400494,2,13318,15,13,141096242,1352,1,14,30,2,547,675,11586914,2341921,1248620066,675,516,2,1,14,14,417,1,1249901360,1199365771,36780665,92595647,92595647,1,2,1,4073487572,73389,73389,14,14,14,92579263,10,3,496965,411119,1362051,9555,1249901360,400494,10225286,2035
479074.13,253952,62,73615,4849397194,14,22523030,127,17,17,5451,126,675,458190,2,16541,15,13,141361694,1352,1,14,31,2,547,675,13993912,2439876,1470872096,675,516,2,1,14,14,417,1,1471675184,1421472899,40880777,109848382,109864766,1,2,1,4833328808,73389,73389,14,14,14,109848382,10,3,504744,470093,1449041,11247,1471675184,458190,12545382,2035
481083.00,253952,62,86638,5707650658,14,24748903,160,18,18,5451,128,675,572009,2,20206,15,13,141627146,1352,1,14,32,2,547,675,17466804,3781436,1721859754,675,516,2,1,14,14,417,1,1722415920,1672290503,48485218,129355632,129372016,1,2,1,5691647808,73389,73389,14,14,14,129355632,10,3,512303,585956,1587209,13160,1722415920,572009,15880223,2035
483091.53,253952,62,99112,6529393954,14,27217812,201,18,18,5451,130,675,682051,2,23714,15,13,141892598,1352,1,14,32,2,547,675,20905813,5167201,1960914392,675,516,2,1,14,14,417,1,1962539824,1912600069,55590840,148039808,148039808,1,2,1,6513030656,73389,73389,14,14,14,148023424,10,3,519342,699157,1717163,14992,1962539824,682051,19189387,2035
485097.58,253952,62,109915,7241626594,16,30965000,219,18,18,5451,132,675,729594,2,26769,15,13,142423502,1352,1,14,32,2,547,675,23042267,5182833,2171764648,675,516,2,1,14,14,417,1,2171075376,2120791452,62072343,164225424,164225424,1,2,1,7225918656,73389,73389,14,14,14,164225424,10,3,519472,747865,1764126,16583,2171075376,729594,21278961,2035
487111.06,253952,62,122999,8103346850,16,33197832,256,21,21,5451,134,675,852430,2,30449,15,13,142423502,1352,1,14,35,2,547,675,26322020,6415382,2422611258,675,516,2,1,14,14,417,1,2422340400,2372663975,68125702,183810720,183810720,1,2,1,8087671680,73389,73389,14,14,14,183810720,10,3,539658,875511,1907722,18500,2422340400,852430,24415228,2035
489128.89,253952,62,136473,8991422502,17,37228925,292,21,21,5451,136,675,956097,2,34245,15,13,142942340,1352,1,14,35,2,547,675,29676771,7847391,2682253227,675,516,2,1,14,14,417,1,2682125104,2632274228,76765336,203979363,203995747,1,2,1,8975091972,73389,73389,14,14,14,203979363,10,3,546852,982005,2029233,20482,2682125104,956097,27648595,2035
