timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
779422.95,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
781427.85,0,253952,62,10311,678637536,0,1550278,41,3,3,5205,119,0,558,63811,26,4027,17,28,95481339,1118,1,0,4,732,12676528,5,50706112,16,17,7,13,94,558,0,0,0,4217786,364,250917401,0,558,385,3,1,14,14,1196,3,251030229,216168616,5734116,12891161,12891161,1,3,1,670340404,73389,73389,14,14,14,12891165,8,3,79564,65413,195033,2125,251030229,63811,4022913,1329
783432.05,0,253952,62,18737,1233631118,1,3658915,101,3,3,5205,176,0,558,105105,26,7338,17,28,97327437,1118,1,0,4,732,23190095,5,92695876,16,17,7,13,94,558,0,0,0,7477046,519,423494326,0,558,385,3,1,14,14,1196,3,423529665,391337176,11135705,23537714,23537714,1,3,1,1223961160,73389,73389,14,14,14,23537718,8,3,81885,107892,241931,3559,423529665,105105,7235398,1329
785436.81,0,253952,62,28109,1850971670,1,5409691,129,4,4,5205,225,0,558,156333,26,11002,18,28,99197667,1118,1,0,4,732,34830821,5,139258680,17,18,7,13,102,558,0,0,0,11104206,657,626423280,0,558,385,3,1,14,14,1196,3,626392993,586452117,16512848,35361756,35361756,1,3,1,1838811344,73389,73389,14,14,14,35361760,8,3,87043,160534,301868,5235,626392993,156333,10802757,1329
787441.21,0,253952,62,36646,2412684712,2,7556710,175,4,4,5205,303,0,567,200871,26,14361,18,28,101963893,1136,1,0,4,732,45420020,5,181680080,17,18,7,13,102,567,0,0,0,14245771,772,812816987,0,567,390,3,1,14,14,1196,3,813059657,764427765,21800435,46102739,46102739,1,3,1,2397342460,73389,73389,14,14,14,46102743,8,3,89830,206309,352894,6834,813059657,200871,13893411,1353
789446.44,0,253952,62,46466,3059397458,2,9367814,212,5,5,5205,333,0,567,250562,26,18200,18,28,103218757,1136,1,0,4,732,57690852,5,230698728,17,19,7,13,102,567,0,0,0,18038437,926,1021824614,0,567,390,3,1,14,14,1196,3,1022189708,967732341,27379945,58549373,58549373,1,3,1,3044567428,73389,73389,14,14,14,58549377,8,3,93791,257424,427947,8501,1022189708,250562,17611160,1353
791451.60,0,253952,62,57679,3798379198,2,10948494,270,5,5,5205,433,0,567,306443,26,22636,18,28,105438901,1136,1,0,4,732,71700023,5,286670884,17,19,7,13,102,567,0,0,0,22481781,1262,1250125224,0,567,390,3,1,14,14,1196,3,1249421354,1200567646,33427832,72742618,72742618,1,3,1,3782616168,73389,73389,14,14,14,72742622,8,3,99147,314955,501950,10440,1249421354,306443,21980662,1353
793456.31,0,253952,62,68669,4523060126,2,12621383,316,5,5,5205,473,0,567,362088,26,26935,18,28,107393593,1136,1,0,4,732,85384310,5,341537240,17,19,7,13,102,567,0,0,0,26809372,1457,1481309721,0,567,390,3,1,14,14,1196,3,1480824215,1429183013,39426149,86655176,86655176,1,3,1,4505217216,73389,73389,14,14,14,86638796,8,3,103627,372163,555759,12298,1480824215,362088,26254607,1353
795461.16,0,253952,62,79101,5210399742,2,14438382,349,5,5,5205,567,0,567,416540,26,31073,18,28,109167295,1136,1,0,4,732,98426424,5,393705696,17,19,7,13,102,567,0,0,0,31004939,1569,1702576891,0,567,390,3,1,14,14,1196,3,1701408966,1645658126,45438500,99867540,99867540,1,3,1,5193112112,73389,73389,14,14,14,99867544,8,3,107571,428141,623700,14180,1701408966,416540,30382399,1353
797465.28,0,253952,62,89697,5908294206,2,16292403,381,5,5,5205,606,0,567,469708,26,35201,18,28,110458357,1136,1,0,4,732,111648887,5,446466212,17,19,7,13,102,567,0,0,0,35189238,1807,1919774545,0,567,390,3,1,14,14,1196,3,1919237364,1865616694,51475740,113278671,113278671,1,3,1,5890490924,73389,73389,14,14,14,113278675,8,3,113162,482827,690891,15932,1919237364,469708,34499661,1353
