timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
699943.47,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
701948.51,0,0,21935,1443915074,0,0,0,0,1,1,4662,117,666,126028,15,2048,15,0,137466896,1334,1,0,14,15,13,228,666,0,0,0,1994815,369,476312686,0,666,438,2,1,14,14,412,1,476217540,425786528,1996110,32462232,32478616,1,2,1,1428338208,73389,73389,14,14,14,32462232,9,3,417682,128115,810826,3651,476217540,126028,1184084,1919
703959.88,253952,62,41997,2766130962,8,8805701,0,33,17,17,4662,121,675,253103,15,7655,31,38,140565338,1352,1,0,30,31,13,316,675,0,0,0,6663625,677882,856507664,0,675,444,2,1,14,14,412,1,863370032,812427941,28474216,62499188,62515572,1,2,1,2749964272,73389,73389,14,14,14,62499188,9,3,538960,257838,1233853,6606,863370032,253103,5429987,1944
705965.54,253952,62,62205,4097649654,13,16258715,0,85,18,18,4662,124,675,379294,15,13319,31,38,141096242,1352,1,0,30,32,13,316,675,0,0,0,11742311,947721,1249099700,0,675,444,2,1,14,14,412,1,1252260656,1201666915,43029224,92775871,92775871,1,2,1,4082138324,73389,73389,14,14,14,92775871,9,3,544425,386798,1420967,9573,1252260656,379294,10321724,1944
707971.69,253952,62,74675,4919396258,16,20963473,0,103,18,18,4662,126,675,425919,15,16829,31,38,141361694,1352,1,0,30,32,13,316,675,0,0,0,14061328,948318,1492594180,0,675,444,2,1,14,14,412,1,1492253488,1441929921,50064835,111449696,111449696,1,2,1,4903786624,73389,73389,14,14,14,111449696,9,3,547390,434735,1467841,11404,1492253488,425919,12593959,1944
709976.94,253952,62,94370,6217294982,16,22539783,0,152,21,21,4662,129,675,533827,15,22421,31,38,141892598,1352,1,0,30,35,13,316,675,0,0,0,18287368,1022852,1868270121,0,675,444,2,1,14,14,412,1,1871444784,1821316812,56824999,140948139,140948139,1,2,1,6201718116,73389,73389,14,14,14,140948139,9,3,564947,545172,1643017,14297,1871444784,533827,16644976,1944
711982.32,253952,62,107246,7065649202,19,27159876,0,181,21,21,4662,131,675,585556,15,25988,31,38,142158050,1352,1,0,30,35,13,316,675,0,0,0,20843112,1023520,2119112747,0,675,444,2,1,14,14,412,1,2119433008,2069375757,64053713,160211788,160228172,1,2,1,7049318672,73389,73389,14,14,14,160211788,9,3,568146,598289,1712899,16189,2119433008,585556,19130935,1944
713993.96,253952,62,121966,8035382710,19,28661654,0,216,24,24,4662,134,675,652088,15,30169,31,38,142423502,1352,1,0,30,38,13,316,675,0,0,0,23788335,1047361,2400774724,0,675,444,2,1,14,14,412,1,2402810672,2352807744,68691166,182264591,182264591,1,2,1,8018921108,73389,73389,14,14,14,182248207,9,3,574805,666503,1813666,18351,2402810672,652088,21975510,1944
716000.98,253952,62,141715,9336820378,19,31694438,0,266,25,25,4662,137,675,774635,15,35725,31,38,142942340,1352,1,0,30,39,13,316,675,0,0,0,28494342,1358948,2781055171,0,675,444,2,1,14,14,412,1,2782788400,2733208262,77933841,211836762,211853146,1,2,1,9320817528,73389,73389,14,14,14,211836762,9,3,592506,791836,1975818,21250,2782788400,774635,26519546,1944
718009.61,253952,62,161889,10665786474,21,35938925,0,342,26,26,4662,140,675,896159,15,41384,31,38,143738696,1352,1,0,30,40,13,316,675,0,0,0,33165387,1425239,3169056872,0,675,444,2,1,14,14,412,1,3170208720,3121597569,87803187,242045750,242062134,1,2,1,10650013000,73389,73389,14,14,14,242045750,9,3,601184,916125,2116811,24209,3170208720,896159,31049786,1944
