timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
389927.88,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
391936.76,0,253952,62,7748,510005138,0,1341201,83,3,3,6373,110,0,558,74083,0,8,3029,16,95758857,1118,1,0,4,2661,9498737,10,37994948,15,17,12,1550,558,0,0,4570923,36363,194346819,0,558,599,0,3,1,14,14,3288,0,3,194181502,163240692,5934621,9635063,9635063,1,3,1,0,501023308,73389,73389,14,14,14,9635067,8,3,81643,75721,267798,1678,194181502,74083,4303288,1751
393950.69,0,253952,62,15634,1029319696,0,2685380,161,3,3,6373,139,0,558,136410,0,8,6105,16,97001655,1118,1,0,4,2661,19334873,10,77274852,15,17,12,1550,558,0,0,9179979,111138,355281419,0,558,599,0,3,1,14,14,3288,0,3,354953715,326932394,11943819,19612031,19612031,1,3,1,0,1019825644,73389,73389,14,14,14,19612035,8,3,85090,139695,348513,2964,354953715,136410,8831790,1751
395964.06,1,253952,62,23262,1531750098,0,3968595,254,3,3,6373,223,0,558,203229,0,8,9148,16,98896017,1118,1,0,4,2661,28865025,10,115395600,15,17,12,1550,558,0,0,13865598,235664,516770314,0,558,599,0,3,1,14,14,3288,0,3,516283236,485031355,17991252,29277703,29277703,1,3,1,0,1522440588,73389,73389,14,14,14,29277707,8,3,91301,208287,450549,4372,516283236,203229,13415539,1751
397973.70,1,253952,62,30843,2030798658,0,5199236,325,3,3,6373,251,0,558,267899,0,8,12103,16,99547581,1118,1,0,4,2661,38316481,10,153136760,15,17,12,1550,558,0,0,18438167,430055,673905574,0,558,599,0,3,1,14,14,3288,0,3,673628359,642086602,23969369,38879998,38879998,1,3,1,0,2021759928,73389,73389,14,14,14,38880002,8,3,93538,274592,528459,5632,673628359,267899,17910357,1751
399979.10,1,253952,62,36196,2383772680,1,7701167,340,3,3,6373,260,0,567,296863,0,8,14184,16,103194625,1136,1,0,4,2661,44979580,10,179918320,15,17,12,1550,567,0,0,20782159,430227,784763772,0,567,605,0,3,1,14,14,3288,0,3,784026947,753144098,28814561,45672437,45672437,1,3,1,0,2374966756,73389,73389,14,14,14,45672441,8,3,96560,304475,565423,6512,784026947,296863,20217474,1775
401990.07,1,253952,62,43098,2838286098,1,9624135,402,4,4,6373,333,0,567,348944,0,8,16934,17,104123707,1136,1,0,4,2661,53591198,10,214364792,16,18,12,1561,567,0,0,24531237,506086,926000063,0,567,605,0,3,1,14,14,3288,0,3,925387047,896684554,34555891,54389996,54389996,1,3,1,0,2828279824,73389,73389,14,14,14,54390000,8,3,102463,358517,623405,7727,925387047,348944,23908705,1775
404003.75,1,253952,62,51014,3359602934,1,10977833,469,4,4,6373,364,0,567,410819,0,8,20035,17,105402703,1136,1,0,4,2661,63509573,10,253973696,16,18,12,1561,567,0,0,29007389,705021,1093414158,0,567,605,0,3,1,14,14,3288,0,3,1093269273,1060489623,40526397,64432500,64432500,1,3,1,0,3350490032,73389,73389,14,14,14,64432504,8,3,104399,422702,708308,9077,1093269273,410819,28299109,1775
406014.40,1,253952,62,58927,3881338528,1,12282711,547,4,4,6373,445,0,567,471744,0,8,23169,17,106669633,1136,1,0,4,2661,73357507,10,293365444,16,18,12,1561,567,0,0,33604412,859545,1254521954,0,567,605,0,3,1,14,14,3288,0,3,1253449543,1224864049,46616780,74454302,74454302,1,3,1,0,3871623736,73389,73389,14,14,14,74454306,8,3,112040,485290,796197,10464,1253449543,471744,32809410,1775
408027.36,1,253952,62,66792,4399904262,1,13534087,631,4,4,6373,475,0,567,535689,0,8,26265,17,108527797,1136,1,0,4,2661,83222300,10,332889200,16,18,12,1561,567,0,0,38262158,983358,1416694699,0,567,605,0,3,1,14,14,3288,0,3,1416243769,1388185187,52615078,84426952,84426952,1,3,1,0,4390201536,73389,73389,14,14,14,84426956,8,3,115619,550964,878287,11771,1416243769,535689,37385236,1775
410037.74,1,253952,62,74464,4904578750,1,14861638,705,4,4,6373,513,0,567,602947,0,8,29260,17,108853579,1136,1,0,4,2661,92772315,10,371024680,16,18,12,1561,567,0,0,42846154,1135671,1582981402,0,567,605,0,3,1,14,14,3288,0,3,1581825264,1547078750,58683681,94129710,94129710,1,3,1,0,4894744952,73389,73389,14,14,14,94129714,8,3,118064,619929,954115,13129,1581825264,602947,41893569,1775
412044.96,3,253952,62,82306,5421962938,1,16179426,788,4,4,6373,585,4,567,666264,0,8,32380,17,111049591,1136,1,0,4,2661,102585608,10,410342432,16,18,12,1561,567,0,0,47429041,1272708,1743708108,0,567,605,0,3,1,14,14,3288,0,3,1742543032,1710208115,64697422,104067433,104067433,1,3,1,0,5411506548,73389,73389,14,14,14,104067437,8,3,124406,685005,1047491,14492,1742543032,666264,46383246,1775
414056.53,3,253952,62,90692,5973116414,1,17448630,874,4,4,6373,625,4,567,731968,0,8,35624,17,111664957,1136,1,0,4,2661,112929402,10,451653124,16,18,12,1561,567,0,0,52094676,1432393,1918922826,0,567,605,0,3,1,14,14,3288,0,3,1917189805,1883908114,70745268,114657086,114657086,1,3,1,0,5962168504,73389,73389,14,14,14,114657090,8,3,125972,752493,1130247,15920,1917189805,731968,50966299,1775
416064.10,6,253952,62,98935,6515260222,1,18706576,963,4,4,6373,695,4,567,802361,0,8,38883,17,112026937,1136,1,0,4,2661,123222182,10,492888728,16,18,12,1561,567,0,0,56761303,1545734,2099941125,0,567,605,0,3,1,14,14,3288,0,3,2099452801,2055380946,76750174,125015204,125031588,1,3,1,0,6499938672,73389,73389,14,14,14,124998824,8,3,129045,824795,1205080,17472,2099452801,802361,55558273,1775
418071.17,7,253952,62,107234,7065140288,1,19936503,1043,4,4,6373,737,4,567,868822,0,8,42144,17,114814183,1136,1,0,4,2661,133584967,10,534275240,16,18,12,1561,567,0,0,61453230,1670286,2277738264,0,567,605,0,3,1,14,14,3288,0,3,2276182446,2229050708,82796286,135525479,135525479,1,3,1,0,7047324940,73389,73389,14,14,14,135525483,8,3,132410,893054,1288194,18915,2276182446,868822,60167266,1775
420078.77,8,253952,62,115475,7607945706,1,21041134,1143,4,4,6373,779,4,594,937285,0,8,45381,17,119937281,1190,1,0,4,2661,143861744,10,575446976,16,18,12,1561,594,0,0,66301194,1754081,2453133671,0,594,632,0,3,1,14,14,3288,0,3,2451009412,2400491347,88809766,145965073,145965073,1,3,1,0,7590183828,73389,73389,14,14,14,145965077,8,3,134792,963330,1376324,20356,2451009412,937285,64927277,1872
422088.47,15,253952,62,123725,8151417018,1,22186907,1230,4,4,6373,851,4,594,1008880,0,8,48638,17,120226865,1190,1,0,4,2661,154132745,10,616530980,16,18,12,1561,594,0,0,71113611,1844437,2636291265,0,594,632,0,3,1,14,14,3288,0,3,2634258414,2572195378,94832681,156365866,156382250,1,3,1,0,8131025064,73389,73389,14,14,14,156365870,8,3,137911,1036679,1463358,21896,2634258414,1008880,69652834,1872
424097.15,15,253952,62,131987,8695397244,1,23269767,1328,4,4,6373,891,4,594,1079130,0,8,51864,17,120226865,1190,1,0,4,2661,164421390,10,657620980,16,18,12,1561,594,0,0,75987102,1953779,2815383088,0,594,632,0,3,1,14,14,3288,0,3,2812915468,2743981158,100879208,166817970,166817970,1,3,1,0,8674534472,73389,73389,14,14,14,166817974,8,3,141793,1108720,1537093,23347,2812915468,1079130,74452762,1872
426103.35,24,253952,62,140331,9245378854,1,24329707,1429,4,4,6373,963,4,594,1151109,0,8,55151,17,120226865,1190,1,0,4,2661,174770559,10,699082236,16,18,12,1561,594,0,0,80848524,2080451,2994878263,0,594,632,0,3,1,14,14,3288,0,3,2993405844,2918053699,106899462,177331292,177331292,1,3,1,0,9220375248,73389,73389,14,14,14,177314912,8,3,144405,1182502,1627906,24879,2993405844,1151109,79223540,1872
428113.55,24,253952,62,148812,9803723530,1,25431203,1521,4,4,6373,1004,4,603,1223705,0,8,58463,17,121726026,1208,1,0,4,2661,185343463,10,741373852,16,18,12,1561,603,0,0,85689963,2185375,3177834855,0,603,645,0,3,1,14,14,3288,0,3,3175016472,3094202905,112918398,188037348,188037348,1,3,1,0,9777942128,73389,73389,14,14,14,188037352,8,3,147352,1256927,1720804,26356,3175016472,1223705,83972247,1901
430122.30,25,253952,62,157599,10382713456,1,26444649,1617,4,4,6373,1055,4,603,1298204,0,8,61917,17,121726026,1208,1,0,4,2661,196291323,10,785165292,16,18,12,1561,603,0,0,90659607,2263331,3367936206,0,603,645,0,3,1,14,14,3288,0,3,3364669012,3277004435,118954132,199140494,199140494,1,3,1,0,10355305720,73389,73389,14,14,14,199140498,8,3,149391,1333314,1799979,27921,3364669012,1298204,88862914,1901
432127.35,25,253952,62,164094,10811193220,2,28540887,1655,4,4,6373,1103,4,603,1339903,0,8,64476,17,121726026,1208,1,0,4,2661,204381447,10,817525788,16,18,12,1561,603,0,0,93678041,2278820,3505399916,0,603,645,0,3,1,14,14,3288,0,3,3502408790,3412234774,124079780,207362215,207362215,1,3,1,0,10781983244,73389,73389,14,14,14,207345835,8,3,152191,1376223,1837891,29067,3502408790,1339903,91843554,1901
434134.08,25,253952,62,171147,11275361254,2,30054490,1715,5,5,6373,1138,4,603,1399158,0,8,67218,17,121738092,1208,1,0,4,2661,213140005,10,852430696,16,19,12,1561,603,0,0,97565174,2352718,3659153928,0,603,645,0,3,1,14,14,3288,0,3,3656288322,3558929116,129537422,216245773,216245773,1,3,1,0,11244780228,73389,73389,14,14,14,216245777,8,3,162022,1436971,1923897,30328,3656288322,1399158,95644824,1901
436144.61,33,253952,62,179383,11818868276,2,31230011,1802,5,5,6373,1206,11,603,1473784,0,8,70452,17,122039742,1208,1,0,4,2661,223307684,10,893230736,16,19,12,1561,603,0,0,102336758,2446839,3846282328,0,603,645,0,3,1,14,14,3288,0,3,3842853755,3731509514,135557708,226590937,226607321,1,3,1,0,11782728756,73389,73389,14,14,14,226590941,8,3,164909,1513404,1996108,31892,3842853755,1473784,100344359,1901
438152.44,33,253952,62,188045,12388157952,2,32347280,1895,5,5,6373,1252,11,603,1543896,0,8,73837,17,122353458,1208,1,0,4,2661,234120650,10,936482600,16,19,12,1561,603,0,0,107205053,2526822,4034045752,0,603,645,0,3,1,14,14,3288,0,3,4030436052,3911585217,141596112,237508270,237508270,1,3,1,0,12350430072,73389,73389,14,14,14,237508274,8,3,167243,1586436,2074021,33421,4030436052,1543896,105134933,1901
440158.60,34,253952,62,196383,12938723692,2,33373167,1984,5,5,6373,1319,11,612,1619711,0,8,77118,17,123794611,1226,1,0,4,2661,244455464,10,977821856,16,19,12,1561,612,0,0,111940970,2558809,4225290224,0,612,651,0,3,1,14,14,3288,0,3,4222164619,4086267396,147382032,248006923,248006923,1,3,1,0,12896360028,73389,73389,14,14,14,248006927,8,3,168852,1664083,2159752,35031,4222164619,1619711,109785295,1928
442163.91,34,253952,62,201618,13283385298,3,36137575,2003,5,5,6373,1340,11,612,1649637,0,8,79160,17,123794611,1226,1,0,4,2661,250971641,10,1003886564,16,19,12,1561,612,0,0,114190477,2558916,4335923123,0,612,651,0,3,1,14,14,3288,0,3,4332315319,4194756222,152395622,254615264,254631648,1,3,1,0,13239993760,73389,73389,14,14,14,254615268,8,3,173075,1694901,2194712,35921,4332315319,1649637,111999933,1928
444168.80,34,253952,62,208618,13744683224,3,37029446,2052,6,6,6373,1398,11,612,1703574,0,8,81909,17,123794611,1226,1,0,4,2661,259628567,10,1038514268,16,20,12,1561,612,0,0,117836071,2597994,4492926606,0,612,651,0,3,1,14,14,3288,0,3,4489327161,4340884239,156967672,263445352,263445352,1,3,1,0,13698306368,73389,73389,14,14,14,263428972,8,3,176056,1750246,2266643,37241,4489327161,1703574,115573723,1928
446182.30,34,253952,62,214861,14155960154,4,39658242,2072,7,7,6373,1423,11,612,1749331,0,8,84353,17,123794611,1226,1,0,4,2661,267448264,10,1069793056,16,21,12,1561,612,0,0,120826195,2643346,4626558351,0,612,651,0,3,1,14,14,3288,0,3,4622570209,4470499213,162627529,271327327,271343711,1,3,1,0,14109021036,73389,73389,14,14,14,271327331,8,3,181557,1797179,2335697,38317,4622570209,1749331,118494903,1928
448190.28,36,253952,62,222946,14688630092,4,40851715,2157,7,7,6373,1492,11,612,1836729,0,8,87526,17,123794611,1226,1,0,4,2661,277459349,10,1109772592,16,21,12,1561,612,0,0,125536048,2770403,4812162937,0,612,651,0,3,1,14,14,3288,0,3,4808401687,4639786562,168623162,281482360,281482360,1,3,1,0,14637082752,73389,73389,14,14,14,281482364,8,3,184229,1886531,2429461,39884,4808401687,1836729,123111158,1928
450195.06,36,253952,62,230469,15184517062,4,41977150,2245,7,7,6373,1528,11,648,1903534,0,8,90453,17,130416423,1298,1,0,4,2661,286770919,10,1147083676,16,21,12,1561,648,0,0,130031199,2858593,4978196342,0,648,683,0,3,1,14,14,3288,0,3,4973769068,4797045035,174337661,290943232,290943232,1,3,1,0,15129048096,73389,73389,14,14,14,290943236,8,3,185313,1954989,2512460,41230,4973769068,1903534,127523470,2062
