timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
71832.54,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
73836.58,36864,9,22443,1477472814,0,0,0,29,29,5059,117,675,120979,14,2117,38,129,139503530,1352,1,0,37,43,17,8,245,675,0,0,0,2000395,52,483391916,0,675,355,2,1,14,14,371,1,487096516,435594877,2003750,33221929,33238313,1,2,1,1461764876,73389,73389,14,14,14,33221929,10,3,424367,123061,799302,3734,487096516,120979,1201195,1931
75841.89,253952,62,43047,2835209214,0,147410,1,29,29,5059,121,675,231741,14,7931,38,129,140565338,1352,1,0,37,43,17,8,245,675,0,0,0,6603402,143,881083033,0,675,355,2,1,14,14,371,1,883292976,832612401,10361915,64078085,64094469,1,2,1,2819435740,73389,73389,14,14,14,64078085,10,3,473081,236581,1050581,6758,883292976,231741,5553105,1931
77846.47,253952,62,64302,4235875002,11,11148451,12,29,29,5059,124,675,336380,14,13892,38,129,141096242,1352,1,0,37,43,17,8,245,675,0,0,0,11060098,370,1290866901,0,675,355,2,1,14,14,371,1,1292499760,1242076737,56093430,95906930,95923314,1,2,1,4219904920,73389,73389,14,14,14,95906930,10,3,488717,343857,1186859,9880,1292499760,336380,9873685,1931
79851.38,253952,62,84805,5586726814,11,11400641,45,29,29,5059,128,675,444045,14,19675,38,129,141361694,1352,1,0,37,43,17,8,245,675,0,0,0,15474435,416,1685971105,0,675,355,2,1,14,14,371,1,1687288624,1636985105,85449134,126617789,126617789,1,2,1,5571182716,73389,73389,14,14,14,126617789,10,3,498472,454100,1322425,12892,1687288624,444045,14152638,1931
81856.40,253952,62,104851,6907628674,25,26851849,68,30,30,5059,131,675,550701,14,25332,38,129,142158050,1352,1,0,37,44,17,8,245,675,0,0,0,20076851,2961,2071642097,0,675,355,2,1,14,14,371,1,2073164592,2023188704,162071537,156615944,156632328,1,2,1,6891101536,73389,73389,14,14,14,156615944,10,3,508749,563351,1475161,15836,2073164592,550701,18602509,1931
83861.70,253952,62,124593,8208342138,26,29843743,115,31,31,5059,134,675,661118,14,30884,38,129,142423502,1352,1,0,37,45,17,8,245,675,0,0,0,24598340,3231,2451938655,0,675,355,2,1,14,14,371,1,2453404464,2403332522,172214520,186198466,186198466,1,2,1,8192011608,73389,73389,14,14,14,186182082,10,3,512393,676305,1614628,18737,2453404464,661118,22984715,1931
85868.08,253952,62,143836,9476353138,28,33163408,178,32,32,5059,137,675,770552,14,36299,38,129,142942340,1352,1,0,37,46,17,8,245,675,0,0,0,29038103,3435,2822666534,0,675,355,2,1,14,14,371,1,2823551792,2774065561,180946073,215010940,215027324,1,2,1,9460481360,73389,73389,14,14,14,215010940,10,3,518971,788290,1768109,21561,2823551792,770552,27271191,1931
87873.59,253952,62,163094,10745288258,28,35439739,238,32,32,5059,140,675,894095,14,41713,38,129,143738696,1352,1,0,37,46,17,8,245,675,0,0,0,33623676,3961,3192583926,0,675,355,2,1,14,14,371,1,3193539536,3144874573,188830196,243860056,243860056,1,2,1,10728856116,73389,73389,14,14,14,243837639,10,3,527551,914555,1938549,24387,3193539536,894095,31686515,1931
89877.91,253952,62,179161,11803564210,29,38385693,278,32,32,5059,143,675,990374,14,46257,38,129,144004148,1352,1,0,37,46,17,8,245,675,0,0,0,37273474,4047,3502853494,0,675,355,2,1,14,14,371,1,3502738384,3454212159,195842694,267901356,267917740,1,2,1,11787659664,73389,73389,14,14,14,267901356,10,3,531631,1012960,2048793,26746,3502738384,990374,35226218,1931
