timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
439813.44,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0
441818.11,0,0,20132,1325210696,0,0,0,0,1,1,4264,117,612,127514,22,1880,11,20,126296834,1226,1,0,10,15,9,195,612,0,0,0,1988506,1040,436335566,0,612,408,2,1,14,14,413,0,1,437027012,390813263,1990685,29795958,29812342,1,2,1,0,1311022152,73389,73389,14,14,14,29795958,11,3,382962,129557,803770,3352,437027012,127514,1184820,1799
443822.51,253952,62,39907,2628364366,6,6475565,0,19,22,22,4264,120,675,254666,22,7016,32,83,140299886,1352,1,0,31,36,9,337,675,0,0,0,6554172,454995,817990438,0,675,441,2,1,14,14,413,0,1,822999856,772216512,25133348,59376321,59376321,1,2,1,0,2611837228,73389,73389,14,14,14,59359937,11,3,515153,259197,1232918,6298,822999856,254666,5321474,1972
445836.68,253952,62,55948,3685201834,19,21228160,0,34,22,22,4264,123,675,331774,22,11562,32,83,140830790,1352,1,0,31,36,9,337,675,0,0,0,10100206,530859,1130870416,0,675,441,2,1,14,14,413,0,1,1131412272,1081092446,56142409,83390886,83407270,1,2,1,0,3669198984,73389,73389,14,14,14,83390886,11,3,523054,338212,1352271,8651,1131412272,331774,8748295,1972
447845.66,253952,62,73213,4823051722,19,23852652,0,78,26,26,4264,126,675,452376,22,16438,32,83,141361694,1352,1,0,31,40,9,337,675,0,0,0,14686945,1196637,1461577726,0,675,441,2,1,14,14,413,0,1,1464335152,1413794842,64246737,109258558,109258558,1,2,1,0,4807376552,73389,73389,14,14,14,109258558,11,3,541751,461403,1553397,11191,1464335152,452376,13134058,1972
449852.52,253952,62,90312,5949757182,20,27578546,0,99,28,28,4264,128,675,577963,22,21208,32,83,141627146,1352,1,0,31,42,9,337,675,0,0,0,19329692,2538636,1791481738,0,675,441,2,1,14,14,413,0,1,1793194800,1743068505,79866099,134858053,134874437,1,2,1,0,5933754332,73389,73389,14,14,14,134858053,11,3,569984,589465,1813812,13700,1793194800,577963,17516513,1972
451857.33,253952,62,111597,7352389050,21,28578618,0,99,28,28,4264,132,675,660750,22,27230,32,83,142423502,1352,1,0,31,42,9,337,675,0,0,0,23641184,2591067,2199416411,0,675,441,2,1,14,14,413,0,1,2203056944,2153146910,90421929,166744242,166744242,1,2,1,0,7336025752,73389,73389,14,14,14,166727858,11,3,575416,674563,1942718,16827,2203056944,660750,21699268,1972
453862.65,253952,62,133035,8764782474,21,28578618,0,99,28,28,4264,135,675,746782,22,33242,32,83,142688954,1352,1,0,31,42,9,337,675,0,0,0,27941777,2591552,2612598419,0,675,441,2,1,14,14,413,0,1,2615933744,2566003465,97614856,198845582,198845582,1,2,1,0,8749205608,73389,73389,14,14,14,198845582,11,3,580271,763062,2064101,19977,2615933744,746782,25878655,1972
455871.04,253952,62,150925,9943592362,21,30593103,0,118,29,29,4264,138,675,858877,22,38288,32,83,143207792,1352,1,0,31,43,9,337,675,0,0,0,32442020,3666057,2954718478,0,675,441,2,1,14,14,413,0,1,2959735600,2910543287,124993976,225630758,225647142,1,2,1,0,9927753352,73389,73389,14,14,14,225630758,11,3,605634,877639,2276580,22600,2959735600,858877,30166572,1972
457883.12,253952,62,166434,10965240306,24,37096103,0,171,31,31,4264,141,675,1002467,22,42682,32,83,144004148,1352,1,0,31,45,9,337,675,0,0,0,36818071,4922072,3258233578,0,675,441,2,1,14,14,413,0,1,3258289104,3209131647,139019874,248856732,248873116,1,2,1,0,10949696208,73389,73389,14,14,14,248856732,11,3,623072,1023664,2497873,24881,3258289104,1002467,34321453,1972
459891.06,253952,62,182483,12022602062,26,42157712,0,216,31,31,4264,144,675,1141786,22,47203,32,83,144004148,1352,1,0,31,45,9,337,675,0,0,0,41422496,5919924,3566776797,0,675,441,2,1,14,14,413,0,1,3566832592,3518261746,151582873,272887681,272887681,1,2,1,0,12007057964,73389,73389,14,14,14,272887681,11,3,640679,1166736,2716211,27235,3566832592,1141786,38707673,1972
461897.83,253952,62,197539,13014621118,28,46071185,0,264,34,34,4264,146,675,1269135,22,51435,32,83,144535052,1352,1,0,31,48,9,337,675,0,0,0,45641883,7054050,3855646357,0,675,441,2,1,14,14,413,0,1,3856632784,3808173662,161598493,295429845,295446229,1,2,1,0,12998913180,73389,73389,14,14,14,295429845,11,3,658146,1296415,2890404,29446,3856632784,1269135,42752984,1972
463910.14,253952,62,207245,13654429862,32,51917234,0,283,34,34,4264,148,675,1317852,22,54194,32,83,144800504,1352,1,0,31,48,9,337,675,0,0,0,47997535,7185272,4043693704,0,675,441,2,1,14,14,413,0,1,4043541456,3995228076,170938361,309964995,309981379,1,2,1,0,13638459780,73389,73389,14,14,14,309964995,11,3,658828,1346305,2953724,30873,4043672528,1317906,45045403,1972
465921.54,253952,62,221465,14591395370,32,53863938,0,324,39,39,4264,150,675,1441541,22,58183,32,83,145331408,1352,1,0,31,53,9,337,675,0,0,0,52112121,8419913,4318537792,0,675,441,2,1,14,14,413,0,1,4317088720,4269158981,178582920,331272326,331272326,1,2,1,0,14575982344,73389,73389,14,14,14,331272326,11,3,684114,1472003,3173106,32959,4317088720,1441541,48940724,1972
467935.48,253952,62,235766,15533669294,35,60683702,0,376,39,39,4264,152,675,1565138,22,62196,32,83,145596860,1352,1,0,31,53,9,337,675,0,0,0,56289841,9567382,4591945090,0,675,441,2,1,14,14,413,0,1,4592077776,4544547432,192054389,352694345,352694345,1,2,1,0,15517830284,73389,73389,14,14,14,352677961,11,3,689582,1597762,3339209,35057,4592077776,1565138,52951471,1972
469940.91,253952,62,248080,16345192282,37,64181253,0,420,40,40,4264,154,675,1657009,22,65661,32,83,145862312,1352,1,0,31,54,9,337,675,0,0,0,59676214,10118250,4830350766,0,675,441,2,1,14,14,413,0,1,4829449168,4781789671,200097109,371130602,371146986,1,2,1,0,16329746488,73389,73389,14,14,14,371130602,11,3,696309,1691404,3480641,36868,4829449168,1657009,56197531,1972
