timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
56649.92,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
58654.72,1,253952,62,10253,674522732,0,1612239,0,53,3,3,4742,118,0,567,67056,16,4002,18,36,96980635,1136,1,0,4,526,12590560,7,50362240,17,17,14,97,567,0,0,4292189,86,249403023,0,567,245,3,1,14,14,970,0,3,249623489,214964118,5905957,12803208,12803208,1,3,1,0,665766848,73389,73389,14,14,14,12803212,6,3,80742,68723,202907,2126,249623489,67056,4089452,1189
60659.31,1,253952,62,20840,1371870186,0,3314085,0,103,3,3,4742,167,0,585,123609,16,8142,18,36,102765915,1172,1,0,4,526,25761714,7,103046856,17,17,14,97,585,0,0,8614849,156,469491831,0,585,254,3,1,14,14,970,0,3,470132816,434909255,11929264,26177253,26193637,1,3,1,0,1361217188,73389,73389,14,14,14,26177257,6,3,88194,126925,272819,3919,470132816,123609,8342374,1240
62664.29,1,253952,62,31223,2055817548,0,4914786,0,155,3,3,4742,250,0,585,182480,16,12247,18,36,104684409,1172,1,0,4,526,38741458,7,154965832,17,17,14,97,585,0,0,13023020,238,685538178,0,585,254,3,1,14,14,970,0,3,685018431,650520084,17937536,39326240,39326240,1,3,1,0,2044964512,73389,73389,14,14,14,39326244,6,3,90698,187497,350812,5739,685018431,182480,12672728,1240
64669.62,1,253952,62,41437,2729244362,0,6544048,0,213,3,3,4742,329,0,585,241597,16,16289,18,36,106844223,1172,1,0,4,526,51507363,7,206029452,17,17,14,97,585,0,0,17416751,366,894746789,0,585,254,3,1,14,14,970,0,3,894037857,862572068,23958133,52274301,52274301,1,3,1,0,2718263684,73389,73389,14,14,14,52274305,6,3,95154,248291,422887,7506,894037857,241597,16994574,1240
66674.00,1,253952,62,48910,3221190902,1,8607054,0,248,3,3,4742,363,1,585,282903,16,19211,18,36,108412803,1172,1,0,4,526,60845304,7,243381216,17,17,14,97,585,0,0,20462619,423,1051445514,0,585,254,3,1,14,14,970,0,3,1050744095,1017210750,29065555,61745524,61745524,1,3,1,0,3210767280,73389,73389,14,14,14,61745528,6,3,103335,290750,488967,8771,1050744095,282903,19974487,1240
68678.89,1,253952,62,57673,3797428926,1,10267303,0,279,4,4,4742,443,1,585,332050,16,22674,19,36,109414281,1172,1,0,4,526,71735239,7,286940956,18,18,14,106,585,0,0,24219362,511,1230098596,0,585,254,3,1,14,14,970,0,3,1229787393,1198581018,34442575,72824538,72840922,1,3,1,0,3786876008,73389,73389,14,14,14,72824542,6,3,110556,341219,565966,10307,1229787393,332050,23654387,1240
70683.74,1,253952,62,67907,4472038696,1,11833003,0,337,4,4,4742,484,1,594,391364,16,26683,19,36,113048866,1190,1,0,4,526,84523756,7,338030344,18,18,14,106,594,0,0,28652308,685,1446048097,0,594,261,3,1,14,14,970,0,3,1445653967,1411069272,40454656,85795016,85795016,1,3,1,0,4461340864,73389,73389,14,14,14,85795020,6,3,114754,402133,640744,12047,1445653967,391364,28012747,1268
72688.20,1,253952,62,77122,5078776380,1,13117818,0,400,4,4,4742,568,2,594,443493,16,30327,19,36,113990014,1190,1,0,4,526,96022985,7,384027328,18,18,14,106,594,0,0,32576647,849,1643444566,0,594,261,3,1,14,14,970,0,3,1642622983,1602453557,45687420,97440993,97440993,1,3,1,0,5066931668,73389,73389,14,14,14,97440997,6,3,120229,455732,712426,13730,1642622983,443493,31865570,1268
74693.85,1,253952,62,84525,5566738700,2,15612386,0,416,5,5,4742,587,2,594,480971,16,33217,19,36,115848178,1190,1,0,4,526,105293040,7,421043032,18,19,14,106,594,0,0,35557603,916,1788699436,0,594,261,3,1,14,14,970,0,3,1787500586,1756152081,51162212,106825978,106825978,1,3,1,0,5554950888,73389,73389,14,14,14,106825982,6,3,125682,494249,766414,14876,1787500586,480971,34792653,1268
