timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
802450.61,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
804455.13,249856,61,23131,1522827034,0,0,3,18,18,4535,118,675,122927,10,2285,33,55,139768982,1352,1,32,32,35,14,154,675,2087784,47,495715921,675,344,2,1,14,14,357,1,500038448,448914620,2158781,34260154,34260154,1,2,1,1507446776,73389,73389,14,14,14,34260154,5,3,450710,125044,841228,3834,500038448,122927,1246653,1788
806459.65,253952,62,44486,2930046422,3,4145607,10,18,18,4535,121,675,214090,10,8321,33,55,140565338,1352,1,32,32,35,14,154,675,6464782,161,907813597,675,344,2,1,14,14,357,1,911211312,860356402,14555932,66236455,66236455,1,2,1,2913683124,73389,73389,14,14,14,66220071,5,3,487132,218622,989386,6971,911211312,214090,5475664,1788
808464.10,253952,62,66010,4348341394,3,4145607,10,18,18,4535,124,675,297708,10,14357,33,55,141096242,1352,1,32,32,35,14,154,675,10708909,214,1323218647,675,344,2,1,14,14,357,1,1325398832,1274948041,22108923,98474900,98474900,1,2,1,4332174704,73389,73389,14,14,14,98458516,5,3,490900,304498,1117588,10131,1325398832,297708,9591770,1788
810468.90,253952,62,87756,5781185358,3,4145607,10,18,18,4535,128,675,379912,10,20510,33,55,141627146,1352,1,32,32,35,14,154,675,14900008,381,1742031603,675,344,2,1,14,14,357,1,1744173872,1693771203,28128080,131032833,131049217,1,2,1,5765444652,73389,73389,14,14,14,131032833,5,3,494220,388934,1214773,13326,1744173872,379912,13685847,1788
812473.45,253952,62,109553,7217637110,3,4145607,10,18,18,4535,132,675,463086,10,26674,33,55,142158050,1352,1,32,32,35,14,154,675,19123532,416,2162417952,675,344,2,1,14,14,357,1,2163997488,2113814499,34230963,163678719,163678719,1,2,1,7201863636,73389,73389,14,14,14,163678719,5,3,495841,474326,1306385,16529,2163997488,463086,17817932,1788
814477.88,253952,62,130670,8608993478,3,4145607,10,18,18,4535,135,675,562054,10,32597,33,55,142688954,1352,1,32,32,35,14,154,675,23579371,503,2568655926,675,344,2,1,14,14,357,1,2570451760,2520472563,55745960,195304923,195304923,1,2,1,8593416612,73389,73389,14,14,14,195304923,5,3,510911,575741,1447497,19630,2570451760,562054,22132845,1788
816482.05,253952,62,152505,10047670146,3,4145607,10,18,18,4535,138,675,648063,10,38717,33,55,143207792,1352,1,32,32,35,14,154,675,27859455,562,2989521586,675,344,2,1,14,14,357,1,2990153171,2941043072,62225700,228002120,228002120,1,2,1,10031372384,73389,73389,14,14,14,227985736,5,3,513788,664024,1551815,22834,2990153171,648063,26308786,1788
818486.45,253952,62,173802,11450764074,3,4145607,10,18,18,4535,142,675,752197,10,44741,33,55,144004148,1352,1,32,32,35,14,154,675,32246662,716,3398527325,675,344,2,1,14,14,357,1,3399584720,3351060496,74968683,259894342,259894342,1,2,1,11435351048,73389,73389,14,14,14,259894342,5,3,526453,770570,1716821,25959,3399584720,752197,30531153,1788
820491.00,253952,62,195135,12856276218,3,4145607,10,18,18,4535,146,675,854244,10,50780,33,55,144535052,1352,1,32,32,35,14,154,675,36539822,793,3809478324,675,344,2,1,14,14,357,1,3810364368,3761898494,84808412,291840034,291840034,1,2,1,12840961496,73389,73389,14,14,14,291840034,5,3,533814,874961,1848519,29093,3810364368,854244,34692796,1788
