timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
20535.36,0,253952,62,11113,731474926,0,1028175,16,3,3,6163,119,558,53669,0,23,4339,18,35,96060507,1118,1,0,4,480,13675769,5,54703076,17,17,14,81,558,0,0,4028170,40,265498553,0,558,201,0,3,1,14,14,901,3,265736560,233149115,5057833,13888426,13888426,1,3,1,722198184,73389,73389,14,14,14,13888430,4,3,83105,54957,175002,2236,265736560,53669,3853316,951
22539.21,0,253952,62,22715,1494996956,0,2915762,35,3,3,6163,217,558,100951,0,23,8919,18,35,97351569,1118,1,0,4,480,28160753,5,112578324,17,17,14,81,558,0,0,8136731,158,502877007,0,558,201,0,3,1,14,14,901,3,503356974,473418919,11053277,28579668,28579668,1,3,1,1486142768,73389,73389,14,14,14,28579672,4,3,86064,103554,226031,4253,503356974,100951,7911008,951
24542.99,0,253952,62,32862,2163755340,1,5233254,77,3,3,6163,246,558,143774,0,23,12878,18,35,99233865,1118,1,0,4,480,40814953,5,163259812,17,17,14,81,558,0,0,11696258,209,718287078,0,558,201,0,3,1,14,14,901,3,717843229,684189155,16929370,41423392,41423392,1,3,1,2154016416,73389,73389,14,14,14,41423396,4,3,88111,147545,273063,5961,717843229,143774,11423641,951
26547.05,0,253952,62,42164,2776773824,1,7008280,91,4,4,6163,327,567,183059,0,23,16554,19,35,102880909,1136,1,0,4,480,52413602,5,209589760,18,18,14,88,567,0,0,14940181,277,909550630,0,567,204,0,3,1,14,14,901,3,910166404,877687824,21888622,53179739,53179739,1,3,1,2765346460,73389,73389,14,14,14,53179743,4,3,93125,187922,334070,7597,910166404,183059,14606674,966
28550.92,0,253952,62,53974,3554530642,1,8990498,114,4,4,6163,376,567,233164,0,23,21177,19,35,104461555,1136,1,0,4,480,67151503,5,268606012,18,18,14,88,567,0,0,19086211,380,1161655497,0,567,204,0,3,1,14,14,901,3,1161212743,1122318227,28075590,68145191,68145191,1,3,1,3543549964,73389,73389,14,14,14,68145195,4,3,96631,239367,396158,9636,1161212743,233164,18690777,966
30555.06,0,253952,62,65723,4328929262,1,10829005,143,4,4,6163,467,567,281504,0,23,25828,19,35,106995415,1136,1,0,4,480,81837584,5,327350336,18,18,14,88,567,0,0,23233978,469,1403313489,0,567,204,0,3,1,14,14,901,3,1402700803,1366105993,33956921,83040789,83040789,1,3,1,4318121060,73389,73389,14,14,14,83040793,4,3,103713,288982,457226,11653,1402700803,281504,22777636,966
32559.11,0,253952,62,76820,5059946846,1,12299796,189,4,4,6163,559,567,329469,0,23,30198,19,35,109179361,1136,1,0,4,480,95670750,5,382618308,18,18,14,88,567,0,0,27142675,616,1637942814,0,567,204,0,3,1,14,14,901,3,1638730379,1596701858,39422924,97072353,97072353,1,3,1,5047762388,73389,73389,14,14,14,97072357,4,3,106891,338284,505280,13650,1638730379,329469,26638432,966
34563.31,0,253952,62,85175,5609116970,2,14915914,210,5,5,6163,581,567,365430,0,23,33457,19,35,109830925,1136,1,0,4,480,106096239,5,424320396,18,19,14,88,567,0,0,30120063,785,1807985623,0,567,204,0,3,1,14,14,901,3,1807635409,1769645003,45033388,107629238,107629238,1,3,1,5596720408,73389,73389,14,14,14,107629242,4,3,118536,375179,559245,14991,1807635409,365430,29561975,966
36567.19,0,253952,62,95685,6301134018,2,16372242,253,5,5,6163,667,567,412453,0,23,37603,19,35,111194383,1136,1,0,4,480,119190288,5,476761152,18,19,14,88,567,0,0,33935012,1001,2032504760,0,567,204,0,3,1,14,14,901,3,2032142431,1987657474,50304269,120911456,120911456,1,3,1,6287395744,73389,73389,14,14,14,120911460,4,3,120606,423460,612315,16888,2032142431,412453,33323993,966
38571.42,0,253952,62,104217,6866151246,3,18858344,274,6,6,6163,743,567,449548,0,23,40990,19,35,114802117,1136,1,0,4,480,129844854,5,519379416,18,20,14,88,567,0,0,37014524,1071,2206075473,0,567,204,0,3,1,14,14,901,3,2205743438,2166357148,55778397,131716643,131733027,1,3,1,6849265468,73389,73389,14,14,14,131716647,4,3,127560,461581,672247,18374,2205743438,449548,36343691,966
40575.55,0,253952,62,115189,7588940632,3,20787761,287,6,6,6163,782,567,499839,0,23,45283,19,35,114802117,1136,1,0,4,480,143551189,5,574204756,18,20,14,88,567,0,0,41075157,1174,2438893797,0,567,204,0,3,1,14,14,901,3,2438511555,2393987667,61659867,145633519,145633519,1,3,1,7572943020,73389,73389,14,14,14,145633523,4,3,128660,513117,726282,20238,2438511555,499839,40350423,966
42579.74,1,253952,62,124533,8204808156,4,23136323,329,6,6,6163,861,567,544159,0,23,48965,19,35,114802117,1136,1,0,4,480,155189135,5,620756540,18,20,14,88,567,0,0,44534976,1291,2644509149,0,567,204,0,3,1,14,14,901,3,2643104927,2588274026,67666083,157455402,157455402,1,3,1,8187680936,73389,73389,14,14,14,157455406,4,3,132264,558567,776271,21964,2643104927,544159,43760380,966
44583.95,1,253952,62,133468,8793799060,4,25051660,351,7,7,6163,889,585,586001,0,23,52457,19,35,118101821,1172,1,0,4,480,166336679,5,665346716,18,21,14,88,585,0,0,47902075,1346,2832842218,0,585,218,0,3,1,14,14,901,3,2831186013,2774011318,72948035,168761189,168761189,1,3,1,8775581860,73389,73389,14,14,14,168761193,4,3,138959,601467,834325,23477,2831186013,586001,47069551,1009
46587.91,1,253952,62,144243,9502507452,4,26939511,378,7,7,6163,977,585,638132,0,23,56695,19,35,118415537,1172,1,0,4,480,179711269,5,718845076,18,21,14,88,585,0,0,52076275,1481,3060074404,0,585,218,0,3,1,14,14,901,3,3058138002,2997932360,79011260,182326253,182342637,1,3,1,9480965188,73389,73389,14,14,14,182326257,4,3,143201,654962,893327,25386,3058138002,638132,51184904,1009
48591.94,1,253952,62,154422,10173326790,4,28265127,426,7,7,6163,1062,603,691029,0,23,60702,19,35,121297538,1208,1,0,4,480,192375388,5,769501552,18,21,14,88,603,0,0,56020064,1606,3288765920,0,603,228,0,3,1,14,14,901,3,3288509386,3209859768,84280215,195186361,195186361,1,3,1,10149690804,73389,73389,14,14,14,195186365,4,3,145612,709217,952397,27327,3288509386,691029,55069765,1048
50595.79,1,253952,62,162160,10683114130,5,30795118,442,8,8,6163,1084,612,724275,0,23,63724,19,35,123447326,1226,1,0,4,480,202024078,5,808096312,18,22,14,88,612,0,0,58891225,1708,3440109540,0,612,230,0,3,1,14,14,901,3,3438051972,3370532731,89679744,204986979,204986979,1,3,1,10659322940,73389,73389,14,14,14,204986983,4,3,150038,743324,992389,28524,3438051972,724275,57901048,1069
52599.70,1,253952,62,172858,11388260368,5,32602572,469,8,8,6163,1174,630,779687,0,23,67950,19,35,126676833,1262,1,0,4,480,215345452,5,861317260,18,22,14,88,630,0,0,63056887,1862,3679029214,0,630,238,0,3,1,14,14,901,3,3677214739,3593108918,95653267,218500288,218516672,1,3,1,11362015008,73389,73389,14,14,14,218500292,4,3,154528,800129,1051388,30544,3677214739,779687,62007866,1108
54604.38,1,253952,62,183592,12094293850,5,34429254,503,8,8,6163,1216,630,831651,0,23,72131,19,35,126676833,1262,1,0,4,480,228719529,5,914813584,18,22,14,88,630,0,0,67269717,2036,3898675709,0,630,238,0,3,1,14,14,901,3,3896576078,3815892397,101691603,232048968,232048968,1,3,1,12066546368,73389,73389,14,14,14,232048972,4,3,159170,853411,1129402,32310,3896576078,831651,66142843,1108
56609.07,1,253952,62,194269,12799958194,5,36193502,549,8,8,6163,1303,630,886826,0,23,76368,19,35,126676833,1262,1,0,4,480,242071176,5,968219964,18,22,14,88,630,0,0,71544398,2171,4125004351,0,630,238,0,3,1,14,14,901,3,4122614120,4038310903,107730094,245606667,245606667,1,3,1,12771546716,73389,73389,14,14,14,245606671,4,3,162724,909988,1192508,34220,4122614120,886826,70354584,1108
58614.24,1,253952,62,204518,13475401250,5,37834349,606,8,8,6163,1347,657,947434,0,23,80377,19,35,131487824,1316,1,0,4,480,254840123,5,1019360492,18,22,14,88,657,0,0,75875976,2337,4344376957,0,657,247,0,3,1,14,14,901,3,4342204448,4251367044,113702259,258556887,258573271,1,3,1,13444958156,73389,73389,14,14,14,258556891,4,3,164794,972077,1263506,36002,4342204448,947434,74615342,1178
60619.10,1,253952,62,214704,14144981220,5,39559210,659,8,8,6163,1432,684,1004310,0,23,84383,19,35,136609972,1370,1,0,4,480,267503946,5,1069951004,18,22,14,88,684,0,0,80209081,3022,4563216815,0,684,255,0,3,1,14,14,901,3,4560865946,4462906773,119714956,271401055,271401055,1,3,1,14112854892,73389,73389,14,14,14,271401059,4,3,168599,1030440,1340673,37847,4560865946,1004310,78871462,1247
62624.17,1,253952,62,224830,14812423678,5,41176421,718,8,8,6163,1476,684,1061471,0,23,88349,19,35,136923688,1370,1,0,4,480,280142657,5,1120570628,18,22,14,88,684,0,0,84601108,3251,4780366398,0,684,255,0,3,1,14,14,901,3,4777749848,4673405991,125767990,284203819,284220203,1,3,1,14778598620,73389,73389,14,14,14,284203823,4,3,170103,1089117,1400637,39613,4777880920,1061505,83203716,1247
64629.52,1,253952,62,234760,15466019602,5,42791968,774,8,8,6163,1561,711,1120102,0,23,92252,19,35,141430280,1424,1,0,4,480,292465168,5,1169796112,18,22,14,88,711,0,0,88996727,3382,4997880813,0,711,263,0,3,1,14,14,901,3,4994907458,4880065446,131777138,296718148,296718148,1,3,1,15429343728,73389,73389,14,14,14,296718152,4,3,174858,1149260,1467560,41444,4994907458,1120102,87532606,1316
66634.13,1,253952,62,242108,15950377442,6,44872171,818,8,8,6163,1587,711,1158203,0,23,95128,19,35,141743996,1424,1,0,4,480,301636524,5,1206546096,18,22,14,88,711,0,0,92100649,3479,5147752584,0,711,263,0,3,1,14,14,901,3,5145174660,5032617164,136959989,306037597,306037597,1,3,1,15913103108,73389,73389,14,14,14,306021217,4,3,176800,1188408,1515678,42661,5145174660,1158203,90588537,1316
68638.52,1,253952,62,250621,16510276300,6,46449463,847,9,9,6163,1660,720,1207855,0,23,98488,19,35,143556405,1442,1,0,4,480,312236167,5,1248944668,18,23,14,88,720,0,0,95795038,3570,5339336822,0,720,270,0,3,1,14,14,901,3,5336327465,5209595704,142162987,316756163,316756163,1,3,1,16471320508,73389,73389,14,14,14,316756167,4,3,182513,1239353,1582722,44269,5336327465,1207855,94216039,1337
