timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
493671.46,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
495680.36,1,253952,62,4565,300137120,1,2933859,52,4,4,5944,95,0,558,71409,0,32,1772,13,128,95119359,1118,1,0,4,2820,5501510,10,21876768,12,18,55,8,2297,558,0,0,3099873,780899,136388835,0,558,714,0,3,1,14,14,3520,0,3,136261739,97323968,6822622,5596851,5596851,1,3,1,0,291036284,73389,73389,14,14,14,5596855,10,3,81473,72559,274018,1205,136261739,71409,2825987,2111
497686.39,1,253952,62,9172,603931702,2,5264122,88,4,4,5944,104,0,558,105821,0,32,3570,13,128,96675873,1118,1,0,4,2820,11255202,10,45020808,12,18,55,8,2297,558,0,0,5714960,1108135,219341705,0,558,714,0,3,1,14,14,3520,0,3,219569701,192869549,11868205,11432985,11432985,1,3,1,0,594515252,73389,73389,14,14,14,11432989,10,3,85747,107810,317085,1863,219569701,105821,5398106,2111
499693.36,2,253952,62,13509,889440330,2,6976035,117,4,4,5944,137,0,558,136666,0,32,5287,13,128,97954869,1118,1,0,4,2820,16674427,10,66697708,12,18,55,8,2297,558,0,0,8007401,1166848,315604947,0,558,714,0,3,1,14,14,3520,0,3,315549168,282846176,16084472,16929373,16929373,1,3,1,0,880327428,73389,73389,14,14,14,16929377,10,3,95629,139529,365969,2662,315549168,136666,7641751,2111
501706.17,2,253952,62,17972,1183170296,2,8487167,147,4,4,5944,169,0,558,172303,0,32,7051,13,128,99197667,1118,1,0,4,2820,22270852,10,89083408,12,18,55,8,2297,558,0,0,10452852,1267086,405835432,0,558,714,0,3,1,14,14,3520,0,3,405426201,375076493,20187137,22589601,22589601,1,3,1,0,1174659284,73389,73389,14,14,14,22589605,10,3,104056,176110,416859,3421,405426201,172303,10036399,2111
503714.13,2,253952,62,22923,1509533394,2,9692668,184,5,5,5944,188,0,567,217205,0,32,8975,13,128,102579259,1136,1,0,4,2820,28403998,10,113551296,12,19,55,8,2297,567,0,0,13591277,2094491,509902094,0,567,725,0,3,1,14,14,3520,0,3,509372190,478221815,25347708,28827143,28843527,1,3,1,0,1499011468,73389,73389,14,14,14,28827147,10,3,115053,222161,501874,4257,509372190,217205,13089933,2157
505730.69,2,253952,62,28037,1846241012,2,11913684,235,5,5,5944,221,0,567,269351,0,32,10989,13,128,104135773,1136,1,0,4,2820,34822696,10,139226280,12,19,55,8,2297,567,0,0,16733945,2818441,613510567,0,567,725,0,3,1,14,14,3520,0,3,613115649,583926972,31409733,35337180,35337180,1,3,1,0,1837533392,73389,73389,14,14,14,35337184,10,3,120228,275428,566592,5125,613115649,269351,16168011,2157
507747.59,2,253952,62,33031,2174770594,2,13782268,291,5,5,5944,270,0,567,323644,0,32,12980,13,128,105064855,1136,1,0,4,2820,41049643,10,164198572,12,19,55,8,2297,567,0,0,19880515,3455498,720738928,0,567,725,0,3,1,14,14,3520,0,3,720091721,687392540,37044484,41652768,41652768,1,3,1,0,2165943968,73389,73389,14,14,14,41652772,10,3,125754,330832,647425,6038,720091721,323644,19233874,2157
509753.38,2,253952,62,37764,2486243544,3,17005672,333,5,5,5944,282,0,567,362209,0,32,14814,13,128,106042201,1136,1,0,4,2820,46920954,10,187683816,12,19,55,8,2297,567,0,0,22465355,3668401,819844037,0,567,725,0,3,1,14,14,3520,0,3,819093555,785415518,42846446,47640676,47640676,1,3,1,0,2477315184,73389,73389,14,14,14,47640680,10,3,127733,370279,693234,6826,819093555,362209,21773006,2157
511768.56,4,253952,62,42608,2805558092,3,18200792,365,6,6,5944,338,0,567,401518,0,32,16754,13,128,107586649,1136,1,0,4,2820,52999263,10,211997052,12,20,55,8,2297,567,0,0,25138789,4030535,913910631,0,567,725,0,3,1,14,14,3520,0,3,913054376,885962529,47271465,53788106,53788106,1,3,1,0,2796129576,73389,73389,14,14,14,53771726,10,3,137204,410498,743928,7654,913054376,401518,24395850,2157
