timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
380165.23,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
382170.80,0,253952,62,9744,641164908,0,1548283,0,56,3,3,4646,116,0,558,67786,12,3808,18,49,95795055,1118,1,0,4,831,11984170,7,47936680,17,17,0,14,102,558,0,0,4377441,2319,234573308,0,558,370,3,1,14,14,1305,3,234769284,204529569,5928080,12156040,12156040,1,3,1,632114112,73389,73389,14,14,14,12156044,7,3,83021,69275,221167,1994,234769284,67786,4156468,1345
384176.92,1,253952,62,19497,1283728062,0,3054380,0,118,3,3,4646,152,0,558,128702,12,7622,18,49,97617021,1118,1,0,4,831,24173575,7,96694300,17,17,0,14,102,558,0,0,8867053,6027,434783659,0,558,370,3,1,14,14,1305,3,434785847,406859628,11926323,24518595,24518595,1,3,1,1274966972,73389,73389,14,14,14,24518599,7,3,86040,131721,301142,3594,434785847,128702,8566294,1345
386187.77,1,253952,62,27940,1839582370,0,4209815,0,215,3,3,4646,240,0,558,198801,12,10974,18,49,98582301,1118,1,0,4,831,34688057,7,138752228,17,17,0,14,102,558,0,0,13732863,29809,613983337,0,558,370,3,1,14,14,1305,3,613807587,581933564,17962092,35200075,35200075,1,3,1,1829551964,73389,73389,14,14,14,35183695,7,3,91542,203610,402087,5151,613807587,198801,13331343,1345
388194.40,1,253952,62,36266,2388372266,0,5350457,0,315,3,3,4646,271,0,558,265860,12,14235,18,49,100150881,1118,1,0,4,831,45100799,7,180403196,17,17,0,14,102,558,0,0,18571793,45056,788444192,0,558,370,3,1,14,14,1305,3,787958437,754835271,23948571,45746165,45746165,1,3,1,2378800612,73389,73389,14,14,14,45746169,7,3,92692,272342,477151,6543,787958437,265860,18095398,1345
390201.80,2,253952,62,44280,2916111630,0,6701932,0,402,3,3,4646,353,0,567,328232,12,17410,18,49,102929173,1136,1,0,4,831,55075694,7,220238216,17,17,0,14,102,567,0,0,23255935,68002,949929310,0,567,376,3,1,14,14,1305,3,949145453,920974184,29998136,55895165,55895165,1,3,1,2906548612,73389,73389,14,14,14,55895169,7,3,98828,336305,568807,7942,949145453,328232,22688057,1373
392211.40,11,253952,62,52018,3425714794,0,8062593,0,485,3,3,4646,383,3,567,399437,12,20430,18,49,104473621,1136,1,0,4,831,64734635,7,258873748,17,17,0,14,102,567,0,0,27881338,137761,1119337913,0,567,376,3,1,14,14,1305,3,1118391420,1081887276,36015834,65675525,65675525,1,3,1,3415127332,73389,73389,14,14,14,65675529,7,3,101371,409173,643698,9299,1118391420,399437,27238739,1373
394220.30,12,253952,62,59911,3946755034,0,9408977,0,574,3,3,4646,415,3,567,465322,12,23528,18,49,106030135,1136,1,0,4,831,74610921,7,298443684,17,17,0,14,102,567,0,0,32482914,223966,1274255147,0,567,376,3,1,14,14,1305,3,1274062581,1245530836,42046011,75709393,75709393,1,3,1,3936036500,73389,73389,14,14,14,75693013,7,3,104857,476632,734848,10560,1274062581,465322,31749325,1373
396230.29,14,253952,62,67568,4451399696,0,10650084,0,663,3,3,4646,498,9,567,536614,12,26585,18,49,106983349,1136,1,0,4,831,84186850,7,336747400,17,17,0,14,102,567,0,0,37170256,356556,1438763686,0,567,376,3,1,14,14,1305,3,1437362495,1404288522,48084133,85405674,85438442,1,3,1,4441095080,73389,73389,14,14,14,85405678,7,3,109284,549722,816110,11971,1437362495,536614,36355562,1373
398237.19,15,253952,62,75012,4940854458,0,11756185,0,732,3,3,4646,525,9,567,603629,12,29477,18,49,107646979,1136,1,0,4,831,93432110,7,373728440,17,17,0,14,102,567,0,0,41630774,505210,1597838716,0,567,376,3,1,14,14,1305,3,1597037746,1558945643,53780411,94799295,94799295,1,3,1,4929563372,73389,73389,14,14,14,94799299,7,3,113636,618402,894137,13251,1597037746,603629,40738213,1373
400242.73,16,253952,62,79845,5259134394,1,14625263,0,750,3,3,4646,579,10,567,631980,12,31401,18,49,109191427,1136,1,0,4,831,99462681,7,397850724,17,17,0,14,102,567,0,0,43780153,505255,1699379180,0,567,376,3,1,14,14,1305,3,1697991700,1659241435,58798417,100916116,100916116,1,3,1,5247638064,73389,73389,14,14,14,100916120,7,3,118502,647663,934188,14137,1697991700,631980,42847630,1373
402250.67,16,253952,62,86956,5727948136,1,15622696,0,816,4,4,4646,606,10,567,692368,12,34188,19,49,111037525,1136,1,0,4,831,108344407,7,433377628,18,18,0,14,120,567,0,0,47810083,614216,1844587808,0,567,376,3,1,14,14,1305,3,1843184782,1806778210,63890984,109924269,109940653,1,3,1,5716062020,73389,73389,14,14,14,109924273,7,3,124226,709521,1008215,15300,1843184782,692368,46803675,1373
404261.67,16,253952,62,94330,6213092896,1,16946631,0,891,4,4,4646,639,10,585,760125,12,37071,19,49,114602568,1172,1,0,4,831,117555075,7,470155828,18,18,0,14,120,585,0,0,52310913,822305,2000245070,0,585,403,3,1,14,14,1305,3,1998947060,1959471864,69937667,119266579,119266579,1,3,1,6201862140,73389,73389,14,14,14,119266583,7,3,129292,778876,1080242,16572,1998947060,760125,51232628,1437
406271.06,16,253952,62,101859,6708737014,1,18222555,0,974,4,4,4646,714,10,594,827724,12,40055,19,49,116753363,1190,1,0,4,831,126941660,7,507766640,18,18,0,14,120,594,0,0,56897336,985805,2161752867,0,594,417,3,1,14,14,1305,3,2160167185,2115928685,75933234,128770570,128770570,1,3,1,6696069672,73389,73389,14,14,14,128770574,7,3,131330,848141,1156148,17963,2160167185,827724,55743302,1467
408282.27,17,253952,62,109680,7226185762,1,19492382,0,1064,4,4,4646,749,10,603,898046,12,43125,19,49,120680027,1208,1,0,4,831,136703669,7,546814676,18,18,0,14,120,603,0,0,61551465,1122691,2323055750,0,603,425,3,1,14,14,1305,3,2321170876,2279029854,81982102,138670763,138670763,1,3,1,7210879708,73389,73389,14,14,14,138670767,7,3,133506,920186,1231684,19273,2321170876,898046,60322072,1499
