timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
271273.01,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
273279.09,1,0,0,19594,1289686876,0,267,0,1,1,1,11057,117,603,131353,19,1830,16,23,124260200,1208,1,0,15,15,86,14,74,603,0,0,0,1995436,71,425326379,0,603,490,2,1,14,14,360,1,425754820,380360612,1996539,29003493,29003493,1,2,1,1276153692,73389,73389,14,14,14,29003493,6,3,373642,133513,856581,3266,425754820,131353,1138940,1885
275293.44,1,253952,62,34867,2296204762,5,7891162,0,31,12,12,11057,119,675,245932,19,5608,27,34,140299886,1352,1,0,26,26,86,14,384,675,0,0,0,5534077,1424410,721761699,0,675,544,2,1,14,14,360,1,726268720,675068343,18066266,51830218,51830218,1,2,1,2279808696,73389,73389,14,14,14,51813834,6,3,479532,250889,1191170,5560,726268720,245932,4343088,2093
277306.73,1,253952,62,47869,3153081970,7,14747512,0,67,12,12,11057,122,675,364500,19,9309,27,34,140565338,1352,1,0,26,26,86,14,384,675,0,0,0,9319833,2989382,974844880,0,675,544,2,1,14,14,360,1,976616240,925568280,29988835,71288316,71304700,1,2,1,3136685904,73389,73389,14,14,14,71288316,6,3,487155,371504,1349559,7470,976616240,364500,7970578,2093
279314.93,1,253952,62,60712,3999273502,7,18765428,0,105,13,13,11057,124,675,483877,19,12936,27,34,141096242,1352,1,0,26,27,86,14,384,675,0,0,0,12993464,4853952,1220581600,0,675,544,2,1,14,14,360,1,1223686960,1172920698,41131918,90535581,90551965,1,2,1,3983565564,73389,73389,14,14,14,90535581,6,3,504833,492927,1518129,9355,1223686960,483877,11475745,2093
281320.30,1,253952,62,74598,4914349986,8,23483795,0,151,13,13,11057,126,675,591611,19,16818,27,34,141361694,1352,1,0,26,27,86,14,384,675,0,0,0,16847559,5834000,1490322327,0,675,544,2,1,14,14,360,1,1490680624,1440471762,52503265,111335008,111335008,1,2,1,4898740352,73389,73389,14,14,14,111335008,6,3,518155,602882,1680338,11392,1490680624,591611,15167752,2093
283328.34,1,253952,62,85993,5665114486,11,28160922,0,168,14,14,11057,128,675,644610,19,20025,27,34,141627146,1352,1,0,26,28,86,14,384,675,0,0,0,19290033,5902256,1708784654,0,675,544,2,1,14,14,360,1,1710095152,1659894902,60088419,128399327,128399327,1,2,1,5649570388,73389,73389,14,14,14,128399327,6,3,520903,657225,1740478,13066,1710095152,644610,17550184,2093
285336.05,1,253952,62,99860,6578680334,11,30756636,0,213,17,17,11057,130,675,771151,19,23918,27,34,141892598,1352,1,0,26,31,86,14,384,675,0,0,0,22978502,6810710,1973020336,0,675,544,2,1,14,14,360,1,1977219888,1927004408,67082114,149159953,149159953,1,2,1,6563037932,73389,73389,14,14,14,149159953,6,3,526379,786964,1886821,15104,1977219888,771151,21092434,2093
287346.24,1,253952,62,113732,7493104766,12,36534217,0,245,17,17,11057,132,675,885046,19,27840,27,34,142423502,1352,1,0,26,31,86,14,384,675,0,0,0,26964497,8046225,2241842552,0,675,544,2,1,14,14,360,1,2244213552,2194291340,77948080,169940837,169940837,1,2,1,7476675932,73389,73389,14,14,14,169924453,6,3,543399,903060,2070296,17141,2244213552,885046,24895084,2093
289361.81,1,253952,62,128087,8438652182,14,41750741,0,295,18,18,11057,135,675,1002949,19,31914,27,34,142423502,1352,1,0,26,32,86,14,384,675,0,0,0,31075730,9138781,2519057938,0,675,544,2,1,14,14,360,1,2520644400,2470667739,90840913,191430551,191446935,1,2,1,8422944244,73389,73389,14,14,14,191430551,6,3,549851,1023275,2199818,19250,2520644400,1002949,28876925,2093
