timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
986998.30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
989002.40,253952,62,23892,1572965382,0,0,0,0,25,25,4966,118,675,119920,4,52,2540,40,53,140034434,1352,1,0,39,39,14,192,675,0,0,0,2196580,48,512460885,0,671,303,4,2,1,14,14,314,0,1,514718512,463609912,2377163,35396683,35396683,1,2,1,0,1557454052,73389,73389,14,14,14,35396683,5,3,463223,122079,842922,3946,514718512,119920,1353759,1454
991006.37,253952,62,47323,3117033862,0,0,0,0,25,25,4966,121,675,213161,4,52,9095,40,53,140565338,1352,1,0,39,39,14,192,675,0,0,0,6530141,137,965102741,0,671,303,4,2,1,14,14,314,0,1,965999408,915007804,11567506,70487659,70487659,1,2,1,0,3101456996,73389,73389,14,14,14,70487659,5,3,470310,217702,962810,7389,965999408,213161,5567618,1454
993010.42,253952,62,70354,4634887942,0,0,0,0,25,25,4966,125,675,306625,4,52,15599,40,53,141361694,1352,1,0,39,39,14,192,675,0,0,0,10890084,281,1407128345,0,671,303,4,2,1,14,14,314,0,1,1409284912,1358762056,21356539,104980619,104997003,1,2,1,0,4619147236,73389,73389,14,14,14,104980619,5,3,479442,313560,1060031,10771,1409284912,306625,9830519,1454
995014.25,253952,62,93477,6158240430,0,0,0,0,25,25,4966,129,675,400265,4,52,22124,40,53,141892598,1352,1,0,39,39,14,192,675,0,0,0,15247104,426,1851117482,0,671,303,4,2,1,14,14,314,0,1,1854405424,1804024838,31609270,139608969,139608969,1,2,1,0,6142073740,73389,73389,14,14,14,139592585,5,3,487051,409528,1184233,14167,1854405424,400265,14063510,1454
997018.15,253952,62,116322,7663639362,0,0,0,0,25,25,4966,133,675,498550,4,52,28574,40,53,142423502,1352,1,0,39,39,14,192,675,0,0,0,19665217,501,2293009918,0,671,303,4,2,1,14,14,314,0,1,2294020912,2244102268,41726722,173809176,173825560,1,2,1,0,7647603744,73389,73389,14,14,14,173809176,5,3,500566,510260,1318494,17521,2294020912,498550,18347552,1454
999022.16,253952,62,139671,9202068438,0,0,0,0,25,25,4966,136,675,592227,4,52,35108,40,53,142942340,1352,1,0,39,39,14,192,675,0,0,0,24050301,587,2740146369,0,671,303,4,2,1,14,14,314,0,1,2743597872,2693853019,51703331,208771239,208787623,1,2,1,0,9185934516,73389,73389,14,14,14,208771239,5,3,507371,606356,1475670,20951,2743597872,592227,22575637,1454
1001026.00,253952,62,162691,10718611798,0,0,0,0,25,25,4966,140,675,690221,4,52,41603,40,53,143738696,1352,1,0,39,39,14,192,675,0,0,0,28464765,713,3184766952,0,671,303,4,2,1,14,14,314,0,1,3185806288,3137027583,61194753,243247815,243264199,1,2,1,0,10702903860,73389,73389,14,14,14,243247815,5,3,510725,706797,1590318,24329,3185937360,690221,26875631,1454
1003029.82,253952,62,185850,12244589034,0,0,0,0,25,25,4966,144,675,783433,4,52,48137,40,53,144269600,1352,1,0,39,39,14,192,675,0,0,0,32808779,893,3631243595,0,671,303,4,2,1,14,14,314,0,1,3631713232,3583164259,72166893,277931350,277931350,1,2,1,0,12228979400,73389,73389,14,14,14,277931350,5,3,515993,802388,1711829,27730,3631713232,783433,31098304,1454
1005033.52,253952,62,209192,13782824810,0,0,0,0,25,25,4966,148,675,865399,4,52,54725,40,53,145065956,1352,1,0,39,39,14,192,675,0,0,0,37078533,970,4080079363,0,671,303,4,2,1,14,14,314,0,1,4080634832,4032726302,78701081,312899446,312899446,1,2,1,0,13767575624,73389,73389,14,14,14,312899446,5,3,519794,886533,1815786,31155,4080634832,865399,35264281,1454
