timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
802431.87,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
804436.70,135168,33,22840,1503490606,0,0,0,0,18,18,4246,117,675,118802,2,15,2201,33,65,139503530,1352,1,0,32,32,14,14,161,675,0,0,0,2042182,40,490864572,0,673,363,2,2,1,14,14,346,0,1,494567620,443253736,2066266,33811753,33828137,1,2,1,0,1487717132,73389,73389,14,14,14,33811753,5,3,435816,120926,784906,3791,494567620,118802,1257370,1669
806441.78,253952,62,43621,2873092330,1,1023076,0,16,18,18,4246,121,675,220177,2,15,8087,33,65,140565338,1352,1,0,32,32,14,14,161,675,0,0,0,6464919,168,886050942,0,673,363,2,2,1,14,14,346,0,1,894434096,843648756,28913303,64936086,64952470,1,2,1,0,2857187784,73389,73389,14,14,14,64936086,5,3,518408,224721,1071687,6843,894434096,220177,5393488,1669
808446.18,253952,62,63549,4186260942,14,15949748,0,63,18,18,4246,124,675,323954,2,15,13688,33,65,141096242,1352,1,0,32,32,14,14,161,675,0,0,0,11026853,777,1277364321,0,673,363,2,2,1,14,14,346,0,1,1278081840,1227569158,52507518,94786785,94803169,1,2,1,0,4170618540,73389,73389,14,14,14,94786785,5,3,523306,331112,1194267,9770,1278081840,323954,9833042,1669
810450.80,253952,62,83170,5479044550,14,18583615,0,122,18,18,4246,127,675,422414,2,15,19202,33,65,141361694,1352,1,0,32,32,14,14,161,675,0,0,0,15291773,904,1653601436,0,673,363,2,2,1,14,14,346,0,1,1655831344,1605515605,61042245,124156315,124172699,1,2,1,0,5462877860,73389,73389,14,14,14,124156315,5,3,524860,432154,1316712,12652,1655831344,422414,13975712,1669
812455.54,253952,62,102646,6762325438,15,21146925,0,169,19,19,4246,130,675,519604,2,15,24678,33,65,141892598,1352,1,0,32,33,14,14,161,675,0,0,0,19497484,988,2031140361,0,673,363,2,2,1,14,14,346,0,1,2030697264,1980672957,68077499,153329237,153345621,1,2,1,0,6746486428,73389,73389,14,14,14,153329237,5,3,527863,531880,1439872,15512,2030697264,519604,18058439,1669
814460.03,253952,62,122557,8074379938,16,23689436,0,205,20,20,4246,134,675,623818,2,15,30329,33,65,142423502,1352,1,0,32,34,14,14,161,675,0,0,0,23876322,1187,2412353795,0,673,363,2,2,1,14,14,346,0,1,2414082864,2364195213,77013087,183138976,183155360,1,2,1,0,8058114944,73389,73389,14,14,14,183138976,5,3,534565,638696,1572989,18437,2414082864,623818,22304354,1669
816464.46,253952,62,142820,9409503110,16,25774017,0,246,20,20,4246,137,675,723339,2,15,36020,33,65,142942340,1352,1,0,32,34,14,14,161,675,0,0,0,28188669,1257,2805093102,0,673,363,2,2,1,14,14,346,0,1,2804022064,2754511364,84908333,213481195,213497579,1,2,1,0,9393172580,73389,73389,14,14,14,213481195,5,3,541824,740735,1680432,21412,2804022064,723339,26508433,1669
818469.00,253952,62,163144,10748565058,16,27867329,0,284,20,20,4246,140,675,824640,2,15,41726,33,65,143738696,1352,1,0,32,34,14,14,161,675,0,0,0,32483332,1321,3195055427,0,673,363,2,2,1,14,14,346,0,1,3194719184,3145802468,92655312,243925592,243941976,1,2,1,0,10732726048,73389,73389,14,14,14,243925592,5,3,545485,844541,1800468,24396,3194719184,824640,30684242,1669
820473.70,253952,62,183359,12080277050,17,30003252,0,316,28,28,4246,144,675,921931,2,15,47459,33,65,144269600,1352,1,0,32,42,14,14,161,675,0,0,0,36649443,1354,3582546139,0,673,363,2,2,1,14,14,346,0,1,3583609808,3535122372,100221281,274188050,274204434,1,2,1,0,12064274200,73389,73389,14,14,14,274188050,5,3,566050,944286,1949275,27363,3583609808,921931,34701723,1669
