timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1170030.23,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
1172035.40,0,253952,62,9573,629934120,0,1738582,8,3,3,4949,114,0,558,62249,18,3731,18,17,95770923,1118,1,0,4,413,11742352,6,46904752,17,17,0,14,84,558,0,0,3987229,65,231954145,0,558,414,3,1,14,14,883,0,3,232322919,200949593,5633459,11943048,11943048,1,3,1,0,621038528,73389,73389,14,14,14,11943052,5,3,79754,63689,199373,1972,232322919,62249,3788005,1358
1174039.91,0,253952,62,16239,1069294758,1,4229474,49,3,3,4949,147,0,558,94786,18,6348,18,17,97641153,1118,1,0,4,413,20076696,6,80306784,17,17,0,14,84,558,0,0,6592782,108,372360749,0,558,414,3,1,14,14,883,0,3,372105495,339571061,10821616,20379920,20379920,1,3,1,0,1059755872,73389,73389,14,14,14,20379924,5,3,84278,97131,237352,3108,372105495,94786,6355689,1358
1176044.47,0,253952,62,22637,1490778032,1,5626899,79,3,3,4949,190,0,558,124657,18,8871,18,17,99511383,1118,1,0,4,413,28073720,6,112230340,17,17,0,14,84,558,0,0,9080952,155,501916039,0,558,414,3,1,14,14,883,0,3,501827669,472156848,14707372,28491271,28491271,1,3,1,0,1481546124,73389,73389,14,14,14,28491275,5,3,87398,127893,275365,4192,501827669,124657,8805933,1358
1178049.63,1,253952,62,31741,2089939570,1,7041781,116,4,4,4949,278,0,567,177324,18,12467,19,17,102277609,1136,1,0,4,413,39389879,6,157430320,18,18,0,14,95,567,0,0,13141700,549,690077442,0,567,420,3,1,14,14,883,0,3,690337969,660987144,20146979,40000143,40000143,1,3,1,0,2080007468,73389,73389,14,14,14,40000147,5,3,95714,181958,347009,5816,690337969,177324,12795213,1385
1180054.38,7,253952,62,41324,2721084086,1,8714837,171,4,4,4949,312,13,567,238145,18,16221,19,17,103822057,1136,1,0,4,413,51369489,6,205477956,18,18,0,14,95,567,0,0,17474704,651,895106553,0,567,420,3,1,14,14,883,0,3,894797828,859805865,26188108,52135481,52135481,1,3,1,0,2711045044,73389,73389,14,14,14,52135485,5,3,99511,244338,430092,7450,894797828,238145,17045334,1385
1182059.56,7,253952,62,50887,3350688628,1,10432597,210,4,4,4949,401,13,567,297098,18,20003,19,17,105125185,1136,1,0,4,413,63271727,6,253086908,18,18,0,14,95,567,0,0,21718700,2467,1092907257,0,567,420,3,1,14,14,883,0,3,1092396573,1058287875,32118096,64223826,64223826,1,3,1,0,3338787016,73389,73389,14,14,14,64207446,5,3,103798,304830,501948,9148,1092396573,297098,21217666,1385
1184064.23,7,253952,62,60626,3992873574,1,12074006,236,4,4,4949,435,13,585,353797,18,23811,19,17,110596779,1172,1,0,4,413,75437264,6,301749056,18,18,0,14,95,585,0,0,25895414,2560,1291430149,0,585,440,3,1,14,14,883,0,3,1291788771,1260484192,37965367,76563520,76563520,1,3,1,0,3981303072,73389,73389,14,14,14,76563524,5,3,110713,362957,571004,10747,1291788771,353797,25325494,1431
1186069.32,7,253952,62,70304,4629990624,1,14164803,255,4,4,4949,525,16,603,413586,18,27648,19,17,114861316,1208,1,0,4,413,87520396,6,350081584,18,18,0,14,95,603,0,0,29993954,2644,1501258311,0,603,451,3,1,14,14,883,0,3,1501182987,1461137972,44055160,88815705,88815705,1,3,1,0,4618416692,73389,73389,14,14,14,88815709,5,3,114431,424237,657910,12539,1501182987,413586,29337300,1483
1188074.43,7,253952,62,79842,5259103036,1,16092617,268,4,4,4949,558,16,603,469287,18,31373,19,17,116719480,1208,1,0,4,413,99427454,6,397645124,18,18,0,14,95,603,0,0,34091679,2696,1695496547,0,603,451,3,1,14,14,883,0,3,1694333417,1659248069,50090503,100911798,100911798,1,3,1,0,5247413528,73389,73389,14,14,14,100911802,5,3,117540,481344,716880,14078,1694333417,469287,33376217,1483
