timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1083614.64,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
1085618.64,253952,62,23382,1539542022,0,0,0,0,26,26,4797,118,675,121338,2,25,2402,41,48,140034434,1352,1,0,40,40,3,14,159,675,0,0,0,2139777,228,501712292,0,673,403,2,2,1,14,14,341,0,1,505019184,453822592,2272005,34626635,34643019,1,2,1,0,1523571940,73389,73389,14,14,14,34626635,4,3,452884,123487,807341,3872,505019184,121338,1332529,1654
1087622.94,253952,62,45272,2981823170,0,0,0,0,26,26,4797,121,675,206572,2,25,8537,41,48,140565338,1352,1,0,40,40,3,14,159,675,0,0,0,6358751,286,923542854,0,673,403,2,2,1,14,14,341,0,1,926153520,875440523,8240169,67405752,67422136,1,2,1,0,2965853088,73389,73389,14,14,14,67405752,4,3,457365,211055,922985,7085,926153520,206572,5436039,1654
1089627.23,253952,62,66866,4404971114,0,0,0,0,26,26,4797,125,675,293473,2,25,14645,41,48,141361694,1352,1,0,40,40,3,14,159,675,0,0,0,10586877,359,1339474589,0,673,403,2,2,1,14,14,341,0,1,1342307120,1291560484,18264642,99756726,99756726,1,2,1,0,4388575048,73389,73389,14,14,14,99740342,4,3,469789,300235,1054538,10260,1342307120,293473,9532786,1654
1091631.40,253952,62,88837,5852560678,0,0,0,0,26,26,4797,128,675,380301,2,25,20804,41,48,141627146,1352,1,0,40,40,3,14,159,675,0,0,0,14701039,1523,1762353554,0,673,403,2,2,1,14,14,341,0,1,1764883248,1714651839,25325648,132650531,132666915,1,2,1,0,5836623364,73389,73389,14,14,14,132650531,4,3,475622,389373,1164680,13484,1764883248,380301,13536980,1654
1093635.75,253952,62,110348,7270003682,0,0,0,0,26,26,4797,132,675,466917,2,25,26891,41,48,142423502,1352,1,0,40,40,3,14,159,675,0,0,0,19076583,1659,2177235642,0,673,403,2,2,1,14,14,341,0,1,2179070768,2129066180,34130456,164864400,164880784,1,2,1,0,7254033600,73389,73389,14,14,14,164864400,4,3,486059,478353,1299116,16644,2179070768,466917,17778264,1654
1095639.59,253952,62,131912,8690920094,0,12563,0,3,26,26,4797,135,675,559965,2,25,32936,41,48,142688954,1352,1,0,40,40,3,14,159,675,0,0,0,23377640,1736,2593297306,0,673,403,2,2,1,14,14,341,0,1,2594044720,2544394376,49920434,197168381,197168381,1,2,1,0,8674687868,73389,73389,14,14,14,197151997,4,3,488145,573814,1427170,19810,2594044720,559965,21951438,1654
1097643.60,253952,62,153722,10127380604,2,2012933,0,5,26,26,4797,139,675,654859,2,25,39101,41,48,143473244,1352,1,0,40,40,3,14,159,675,0,0,0,27607575,1876,3010679047,0,673,403,2,2,1,14,14,341,0,1,3013053392,2964275799,72529122,229816426,229816426,1,2,1,0,10111922744,73389,73389,14,14,14,229816426,4,3,492495,670878,1540659,23010,3013053392,654859,26068018,1654
1099647.12,253952,62,176111,11602883054,3,3012995,0,6,26,26,4797,142,675,734662,2,25,45371,41,48,144004148,1352,1,0,40,40,3,14,159,675,0,0,0,31705083,1986,3442829543,0,673,403,2,2,1,14,14,341,0,1,3444280272,3395515175,92057629,263353081,263353081,1,2,1,0,11587535564,73389,73389,14,14,14,263353081,4,3,493200,752819,1639470,26300,3444280272,734662,30066886,1654
1101651.56,253952,62,198414,13072242636,4,4013192,0,7,26,26,4797,146,675,811861,2,25,51674,41,48,144535052,1352,1,0,40,40,3,14,159,675,0,0,0,35849800,2061,3872788239,0,673,403,2,2,1,14,14,341,0,1,3873410000,3825047259,114464340,296746598,296746598,1,2,1,0,13056129416,73389,73389,14,14,14,296730214,4,3,496990,832109,1728683,29574,3873410000,811861,34122573,1654
