timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1195348.61,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
1197354.62,253952,62,23222,1528790810,0,0,0,0,26,26,4896,118,675,125799,2,48,2360,37,166,139768982,1352,1,0,36,40,22,10,297,675,0,0,0,2136815,25,497516745,0,673,359,2,2,1,14,14,390,0,1,501611312,450669820,2305325,34391226,34407610,1,2,1,0,1513213944,73389,73389,14,14,14,34391226,10,3,366613,128006,742057,3846,501611312,125799,1394853,1702
1199359.63,253952,62,43130,2840648702,0,225321,0,30,26,26,4896,121,675,253045,2,48,7960,37,166,140565338,1352,1,0,36,40,22,10,297,675,0,0,0,6750226,123396,868622974,0,673,359,2,2,1,14,14,390,0,1,884996912,834242677,39623880,64192773,64209157,1,2,1,0,2824482012,73389,73389,14,14,14,64192773,10,3,432524,258072,1052978,6771,884996912,253045,5697564,1702
1201365.95,253952,62,55109,3629951678,24,25899644,0,47,27,27,4896,123,675,310658,2,48,11330,37,166,140830790,1352,1,0,36,41,22,10,297,675,0,0,0,9464782,131016,1113833289,0,673,359,2,2,1,14,14,390,0,1,1115421488,1064953743,77130879,82139669,82156053,1,2,1,0,3614145436,73389,73389,14,14,14,82139669,10,3,449590,317129,1167696,8529,1115421488,310658,8297508,1702
1203372.89,253952,62,73971,4872993462,25,29052215,0,88,30,30,4896,126,675,441396,2,48,16637,37,166,141361694,1352,1,0,36,44,22,10,297,675,0,0,0,14365318,266632,1476544521,0,673,359,2,2,1,14,14,390,0,1,1478490928,1428367087,87111516,110395087,110395087,1,2,1,0,4856662932,73389,73389,14,14,14,110378703,10,3,473456,450705,1382849,11299,1478490928,441396,12983116,1702
1205386.42,253952,62,92694,6106660290,25,32567902,0,138,33,33,4896,129,675,573970,2,48,21917,37,166,141892598,1352,1,0,36,47,22,10,297,675,0,0,0,19032620,412065,1835840565,0,673,359,2,2,1,14,14,390,0,1,1838938928,1788985809,96121996,138423288,138439672,1,2,1,0,6090624672,73389,73389,14,14,14,138423288,10,3,501204,586160,1615890,14049,1838938928,573970,17417536,1702
1207395.52,253952,62,112006,7379458726,27,38314496,0,171,34,34,4896,132,675,706568,2,48,27346,37,166,142423502,1352,1,0,36,48,22,10,297,675,0,0,0,24163969,650066,2208255149,0,673,359,2,2,1,14,14,390,0,1,2211183408,2161094935,111847280,167356483,167372867,1,2,1,0,7363685252,73389,73389,14,14,14,167356483,10,3,528037,721659,1863829,16889,2211183408,706568,22301124,1702
1209403.10,253952,62,131393,8656641458,28,42428415,0,188,34,34,4896,135,675,840898,2,48,32795,37,166,142688954,1352,1,0,36,48,22,10,297,675,0,0,0,29222911,737501,2583042043,0,673,359,2,2,1,14,14,390,0,1,2584214320,2534410212,124751210,196375916,196392300,1,2,1,0,8640540304,73389,73389,14,14,14,196375916,10,3,542700,858883,2058380,19735,2584214320,840898,27165700,1702
1211409.53,253952,62,151404,9975249558,29,46382137,0,207,34,34,4896,138,675,972357,2,48,38417,37,166,143207792,1352,1,0,36,48,22,10,297,675,0,0,0,34146640,763008,2967572568,0,673,359,2,2,1,14,14,390,0,1,2969336346,2919869628,136355285,226341303,226357687,1,2,1,0,9959017332,73389,73389,14,14,14,226341303,10,3,553096,993363,2243082,22674,2969336346,972357,31904937,1702
1213415.01,253952,62,171143,11275442042,30,50324183,0,231,36,36,4896,142,675,1113236,2,48,44018,37,166,144004148,1352,1,0,36,50,22,10,297,675,0,0,0,38934085,786165,3343614027,0,673,359,2,2,1,14,14,390,0,1,3348466640,3299728372,147043713,255905282,255921666,1,2,1,0,11259832408,73389,73389,14,14,14,255905282,10,3,572287,1137172,2455778,25569,3348466640,1113236,36479876,1702
