timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
205880.11,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
207889.86,0,253952,62,7312,481443508,1,2486930,0,66,4,4,4878,105,3,558,76883,24,2855,16,16,96084639,1118,1,0,4,1111,8933423,8,35733692,15,18,11,1501,558,0,0,4326646,179599,185064118,0,558,560,3,1,14,14,1731,3,185429829,154414104,6972398,9078007,9078007,1,3,1,472056396,73389,73389,14,14,14,9078011,8,3,82032,78367,291168,1595,185429829,76883,4035632,1868
209896.96,1,253952,62,15030,989723886,1,4023612,0,129,4,4,4878,135,3,558,138042,24,5875,16,16,97617021,1118,1,0,4,1111,18591580,8,74301652,15,18,11,1501,558,0,0,8734184,325766,342402206,0,558,560,3,1,14,14,1731,3,342609105,314297918,13028636,18858367,18858367,1,3,1,980635116,73389,73389,14,14,14,18858371,8,3,88264,141066,368119,2858,342609105,138042,8366374,1868
211908.33,5,253952,62,22520,1483122386,1,5578050,0,190,4,4,4878,218,3,558,200766,24,8858,16,16,98896017,1118,1,0,4,1111,27943741,8,111774964,15,18,11,1501,558,0,0,13059175,444269,500986465,0,558,560,3,1,14,14,1731,3,501433275,469714192,19019218,28343815,28360199,1,3,1,1473878412,73389,73389,14,14,14,28343819,8,3,95542,205320,469332,4244,501433275,200766,12590305,1868
213922.35,5,253952,62,30011,1975971056,1,7023742,0,259,4,4,4878,245,3,558,266529,24,11785,16,16,99559647,1118,1,0,4,1111,37284043,8,149136172,15,18,11,1501,558,0,0,17552044,585675,657611639,0,558,560,3,1,14,14,1731,3,658031726,624796020,25078201,37817197,37833581,1,3,1,1966494276,73389,73389,14,14,14,37817201,8,3,102215,272582,561399,5503,658031726,266529,16991267,1868
215926.55,6,253952,62,38068,2507385154,1,8058495,0,342,4,4,4878,277,3,576,331664,24,14930,16,16,104378751,1154,1,0,4,1111,47307095,8,189228380,15,18,11,1501,576,0,0,22078052,667272,821294590,0,576,574,3,1,14,14,1731,3,821022701,792341182,30679877,48033448,48033448,1,3,1,2497739328,73389,73389,14,14,14,48033452,8,3,106347,339231,642472,6821,821022701,331664,21436368,1935
217931.58,6,253952,62,43861,2888314198,3,10671474,0,351,5,5,4878,336,3,576,361050,24,17226,16,16,105633615,1154,1,0,4,1111,54535513,8,218142052,15,19,11,1501,576,0,0,24454001,667338,943618880,0,576,574,3,1,14,14,1731,3,943127825,912237019,35697312,55364844,55364844,1,3,1,2878971920,73389,73389,14,14,14,55364848,8,3,110776,369463,677425,7874,943127825,361050,23777449,1935
219937.56,6,253952,62,52840,3479573320,3,11845083,0,437,6,6,4878,375,3,576,429605,24,20746,16,16,106888479,1154,1,0,4,1111,65759236,8,263036944,15,20,11,1501,576,0,0,29256478,707726,1130177509,0,576,574,3,1,14,14,1731,3,1129240526,1098403358,41696901,66732293,66732293,1,3,1,3470079268,73389,73389,14,14,14,66732297,8,3,115015,439745,756205,9383,1129240526,429605,28501332,1935
221948.16,6,253952,62,61874,4075100552,3,13000942,0,524,6,6,4878,459,3,576,503342,24,24322,16,16,108457059,1154,1,0,4,1111,77025951,8,307974580,15,20,11,1501,576,0,0,34086012,756263,1324934625,0,576,574,3,1,14,14,1731,3,1323809497,1286234562,47722911,78160960,78160960,1,3,1,4064369952,73389,73389,14,14,14,78160964,8,3,118414,515306,847917,11039,1323809497,503342,33239340,1935
223952.40,6,253952,62,70190,4622119566,3,13988870,0,599,6,6,4878,492,3,585,567337,24,27563,16,16,110586016,1172,1,0,4,1111,87354692,8,349354040,15,20,11,1501,585,0,0,38374912,812407,1495415340,0,585,581,3,1,14,14,1731,3,1494778166,1458316051,53045366,88686792,88686792,1,3,1,4611713216,73389,73389,14,14,14,88686796,8,3,121468,580834,914762,12418,1494778166,567337,37461567,1963
225957.16,6,253952,62,76085,5011519050,4,16731522,0,623,6,6,4878,550,7,585,597620,24,29906,16,16,113337064,1172,1,0,4,1111,94715702,8,378798232,15,20,11,1501,585,0,0,40765357,812468,1621614430,0,585,581,3,1,14,14,1731,3,1620098272,1581333818,58177331,96152690,96152690,1,3,1,4999939912,73389,73389,14,14,14,96152694,8,3,128056,611977,961640,13499,1620098272,597620,39805225,1963
