timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
680121.59,1,253952,62,7094,466830878,1,1379790,0,34,4,4,5584,104,0,567,66357,0,8,2769,9,96944437,1136,1,0,4,3262,8653956,8,34615824,8,18,4,3310,567,0,0,3730164,116878,178600716,0,567,586,0,3,1,14,14,3846,0,3,178455117,149947061,5223918,8793446,8793446,1,3,1,0,457259224,73389,73389,14,14,14,8793450,10,3,77504,67758,235955,1542,178455117,66357,3494347,1790
682132.66,1,253952,62,14804,974357714,1,3804715,0,68,4,4,5584,129,0,567,124695,0,8,5759,9,97933849,1136,1,0,4,3262,18217235,8,72804156,8,18,4,3310,567,0,0,7669544,245516,338889878,0,567,586,0,3,1,14,14,3846,0,3,339747907,309523171,11705554,18559581,18559581,1,3,1,0,964246276,73389,73389,14,14,14,18543201,10,3,81005,127623,314825,2824,339747907,124695,7354999,1790
684139.96,1,253952,62,22745,1497164484,1,5647565,0,95,4,4,5584,213,0,576,183965,0,8,8925,9,100989500,1154,1,0,4,3262,28173126,8,112627916,8,18,4,3310,576,0,0,11808319,366609,508868871,0,576,596,0,3,1,14,14,3846,0,3,509436614,474575145,17799611,28591734,28591734,1,3,1,0,1486770200,73389,73389,14,14,14,28591738,10,3,87477,188549,397554,4306,509436614,183965,11411203,1824
686147.85,1,253952,62,31132,2050217528,1,7197734,0,143,4,4,5584,243,0,576,241518,0,8,12219,9,103137248,1154,1,0,4,3262,38681505,8,154726020,8,18,4,3310,576,0,0,16133302,510800,677762664,0,576,596,0,3,1,14,14,3846,0,3,677264726,648294751,23817369,39250353,39250353,1,3,1,0,2041018388,73389,73389,14,14,14,39250357,10,3,93469,247698,489111,5659,677264726,241518,15644801,1824
688157.29,2,253952,62,39757,2617673606,1,8641531,0,206,4,4,5584,321,0,576,304677,0,8,15619,9,104090462,1154,1,0,4,3262,49391748,8,197566992,8,18,4,3310,576,0,0,20553433,654470,858085777,0,576,596,0,3,1,14,14,3846,0,3,858080600,827207252,29811666,50130600,50146984,1,3,1,0,2605939264,73389,73389,14,14,14,50114220,10,3,101284,312611,582869,7205,858080600,304677,19971346,1824
690162.81,2,253952,62,46514,3063323802,2,11114339,0,241,4,4,5584,346,0,576,344887,0,8,18272,9,106286474,1154,1,0,4,3262,57869029,8,231476116,8,18,4,3310,576,0,0,23550499,685579,1003143624,0,576,596,0,3,1,14,14,3846,0,3,1002743700,967588862,35310105,58712769,58712769,1,3,1,0,3053064020,73389,73389,14,14,14,58712773,10,3,106278,353985,637852,8366,1002743700,344887,22913547,1824
692170.81,2,253952,62,53944,3552464360,2,12599730,0,279,5,5,5584,413,0,576,393387,0,8,21205,9,107239688,1154,1,0,4,3262,67125344,8,268436840,8,19,4,3310,576,0,0,27105046,761082,1156908671,0,576,596,0,3,1,14,14,3846,0,3,1156202699,1121868338,40425579,68102072,68102072,1,3,1,0,3541307776,73389,73389,14,14,14,68102076,10,3,114472,403881,702691,9685,1156202699,393387,26403394,1824
694179.35,2,253952,62,62942,4145596098,2,13891861,0,351,5,5,5584,456,0,576,457435,0,8,24743,9,108482486,1154,1,0,4,3262,78376731,8,313442324,8,19,4,3310,576,0,0,31730446,887234,1346944051,0,576,596,0,3,1,14,14,3846,0,3,1345691744,1308424897,46458008,79514355,79530739,1,3,1,0,4134746492,73389,73389,14,14,14,79514359,10,3,116651,469596,781787,11229,1345691744,457435,30949883,1824
696184.20,3,253952,62,71490,4708609204,2,14958848,0,422,5,5,5584,494,0,576,513770,0,8,28074,9,110039000,1154,1,0,4,3262,88987358,8,355949432,8,19,4,3310,576,0,0,35795850,907275,1525505722,0,576,596,0,3,1,14,14,3846,0,3,1524871318,1485712942,51549750,90341132,90341132,1,3,1,0,4696886928,73389,73389,14,14,14,90324752,10,3,119898,527450,858707,12692,1524871318,513770,34938409,1824
698190.33,3,253952,62,78353,5160916632,3,17589842,0,441,6,6,5584,553,0,576,548163,0,8,30791,9,111933362,1154,1,0,4,3262,97565002,8,390260008,8,20,4,3310,576,0,0,38564263,919587,1665169144,0,576,596,0,3,1,14,14,3846,0,3,1663902939,1628698592,57011109,99007380,99007380,1,3,1,0,5148383792,73389,73389,14,14,14,99007384,10,3,126464,562869,910599,13869,1663902939,548163,37655165,1824
