timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
828744.13,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
830748.79,253952,62,23342,1536824054,0,0,0,0,25,25,5089,118,675,119847,21,2390,40,61,139937906,1352,1,0,39,39,14,165,675,0,0,0,2129957,109,501352998,0,675,315,2,1,14,14,333,0,1,504232752,453017900,2282585,34555066,34577483,1,2,1,0,1520422904,73389,73389,14,14,14,34555066,7,3,455297,121931,824978,3866,504232752,119847,1305078,1528
832752.99,253952,62,45038,2966487746,1,1000075,0,4,25,25,5089,121,675,207205,21,8474,40,61,140565338,1352,1,0,39,39,14,165,675,0,0,0,6370284,274,919478562,0,675,315,2,1,14,14,333,0,1,921828144,870999759,13229847,67061688,67078072,1,2,1,0,2950714272,73389,73389,14,14,14,67061688,7,3,466007,211565,946283,7052,921828144,207205,5424274,1528
834757.87,253952,62,66304,4367874430,7,7000871,0,10,25,25,5089,125,675,297906,21,14456,40,61,141096242,1352,1,0,39,39,14,165,675,0,0,0,10661756,371,1330433895,0,675,315,2,1,14,14,333,0,1,1331297072,1280692129,38426995,98915109,98915109,1,2,1,0,4352264796,73389,73389,14,14,14,98915109,7,3,473097,304651,1060207,10176,1331297072,297906,9601993,1528
836762.53,253952,62,86443,5694617752,21,22552174,0,56,25,25,5089,128,675,383639,21,20150,40,61,141627146,1352,1,0,39,39,14,165,675,0,0,0,14849469,510,1716363830,0,675,315,2,1,14,14,333,0,1,1718614832,1668492805,117221549,129071071,129071071,1,2,1,0,5679127124,73389,73389,14,14,14,129071071,7,3,480854,392731,1168245,13131,1718614832,383639,13681862,1528
838766.81,253952,62,102039,6722279634,24,26017815,0,102,26,26,5089,130,675,449016,21,24512,40,61,141892598,1352,1,0,39,40,14,165,675,0,0,0,17946408,729,2019662096,0,675,315,2,1,14,14,333,0,1,2019162928,1968987161,124815257,152422084,152422084,1,2,1,0,6706571696,73389,73389,14,14,14,152422084,7,3,484094,459796,1234402,15424,2019162928,449016,16712772,1528
840771.08,253952,62,120979,7970433226,25,28178232,0,138,29,29,5089,133,675,531324,21,29843,40,61,142423502,1352,1,0,39,43,14,165,675,0,0,0,21696713,876,2383156750,0,675,315,2,1,14,14,333,0,1,2383805232,2333796638,131724082,180792190,180792190,1,2,1,0,7954856360,73389,73389,14,14,14,180792190,7,3,496843,544128,1349321,18206,2383805232,531324,20348322,1528
842775.35,253952,62,142524,9390104454,25,29789584,0,146,34,34,5089,137,675,622027,21,35939,40,61,142942340,1352,1,0,39,48,14,165,675,0,0,0,25814559,948,2796075408,0,675,315,2,1,14,14,333,0,1,2798517040,2748850141,140563968,213055211,213055211,1,2,1,0,9374429284,73389,73389,14,14,14,213055211,7,3,509790,636958,1485816,21370,2798517040,622027,24329841,1528
844779.57,253952,62,164068,10809385774,28,32789768,0,149,34,34,5089,141,675,708498,21,42032,40,61,143738696,1352,1,0,39,48,14,165,675,0,0,0,30031601,1152,3211717786,0,675,315,2,1,14,14,333,0,1,3212413904,3163597301,151552352,245316073,245316073,1,2,1,0,10793907212,73389,73389,14,14,14,245316073,7,3,515549,725742,1598430,24531,3212413904,708498,28434432,1528
846783.89,253952,62,184288,12141690898,30,36677476,0,177,34,34,5089,144,675,804712,21,47714,40,61,144269600,1352,1,0,39,48,14,165,675,0,0,0,34294948,1348,3601311323,0,675,315,2,1,14,14,333,0,1,3601435600,3553116769,172724234,275592756,275609140,1,2,1,0,12126081264,73389,73389,14,14,14,275592756,7,3,523379,824346,1712337,27499,3601435600,804712,32584060,1528
848788.72,253952,62,205020,13507815906,30,38406983,0,215,35,35,5089,147,675,898040,21,53531,40,61,144800504,1352,1,0,39,49,14,165,675,0,0,0,38637132,1436,3999035188,0,675,315,2,1,14,14,333,0,1,4000549840,3952338984,180624554,306645520,306645520,1,2,1,0,13492402880,73389,73389,14,14,14,306645520,7,3,528813,920059,1818945,30544,4000549840,898040,36819816,1528
850794.42,253952,62,225524,14858998706,31,41612948,0,267,35,35,5089,150,675,990892,21,59288,40,61,145331408,1352,1,0,39,49,14,165,675,0,0,0,42910876,1578,4395978586,0,675,315,2,1,14,14,333,0,1,4395207632,4347403534,189443218,337354220,337354220,1,2,1,0,14843585680,73389,73389,14,14,14,337354220,7,3,531720,1015285,1935902,33555,4395207632,990892,40976800,1528
852799.03,253952,62,243692,16055762150,32,44460767,0,329,35,35,5089,153,675,1072650,21,64443,40,61,145596860,1352,1,0,39,49,14,165,675,0,0,0,46694630,1723,4744401599,0,675,315,2,1,14,14,333,0,1,4744907728,4697166736,196940547,364559347,364559347,1,2,1,0,16040611268,73389,73389,14,14,14,364559347,7,3,537587,1099151,2033681,36223,4744907728,1072650,44662941,1528
854803.61,253952,62,258176,17010294614,33,46868298,0,352,37,37,5089,156,675,1144387,21,68522,40,61,146127764,1352,1,0,39,51,14,165,675,0,0,0,49777202,1757,5025021599,0,675,315,2,1,14,14,333,0,1,5023960016,4976334891,202837876,386241351,386241351,1,2,1,0,16993898548,73389,73389,14,14,14,386224967,7,3,542389,1172510,2129065,38352,5023960016,1144387,47650256,1528
856808.18,253952,62,277900,18310093882,33,49391953,0,403,37,37,5089,159,675,1243966,21,74069,40,61,146658668,1352,1,0,39,51,14,165,675,0,0,0,53968818,1853,5403611717,0,675,315,2,1,14,14,333,0,1,5403675600,5356126985,210594332,415780754,415797138,1,2,1,0,18294353176,73389,73389,14,14,14,415780754,7,3,548931,1274585,2266313,41249,5403675600,1243966,51704804,1528
858812.82,253952,62,299317,19720685066,33,50185663,0,408,41,41,5089,163,675,1332087,21,80132,40,61,147189572,1352,1,0,39,55,14,165,675,0,0,0,58209193,1949,5812991963,0,675,315,2,1,14,14,333,0,1,5815114571,5768523460,217954375,447849326,447865710,1,2,1,0,19705370344,73389,73389,14,14,14,447849326,7,3,563329,1364880,2402935,44392,5815114571,1332087,55808728,1528
860817.14,253952,62,317092,20891499562,35,52187322,0,416,41,41,5089,167,675,1404443,21,85196,40,61,147720476,1352,1,0,39,55,14,165,675,0,0,0,61726813,2020,6157882650,0,675,315,2,1,14,14,333,0,1,6156588393,6110762314,226633767,474462470,474462470,1,2,1,0,20876348680,73389,73389,14,14,14,474462470,7,3,566050,1439061,2481821,47004,6156588393,1404443,59247603,1528
862821.49,253952,62,334615,22045843820,40,57874813,0,436,45,45,5089,171,675,1486182,21,90208,40,61,148251380,1352,1,0,39,59,14,165,675,0,0,0,65390784,2109,6495007068,0,675,315,2,1,14,14,333,0,1,6493384714,6448066720,246215159,500706974,500706974,1,2,1,0,22031106856,73389,73389,14,14,14,500706974,7,3,579681,1522763,2593632,49580,6493384714,1486182,62799918,1528
864825.84,253952,62,355230,23404301116,42,61596538,0,465,46,46,5089,174,675,1587239,21,96025,40,61,149047736,1352,1,0,39,60,14,165,675,0,0,0,69778693,2162,6890717297,0,675,315,2,1,14,14,333,0,1,6890270730,6845239631,256325621,531563130,531579514,1,2,1,0,23388777720,73389,73389,14,14,14,531563130,7,3,589037,1626307,2745660,52608,6890270730,1587239,67035975,1528
866830.50,253952,62,373731,24623258420,42,63159830,0,499,46,46,5089,178,675,1673042,21,101288,40,61,149844092,1352,1,0,39,60,14,165,675,0,0,0,73728124,2516,7246739084,0,675,315,2,1,14,14,333,0,1,7245863747,7201410057,262813126,559277876,559294260,1,2,1,0,24608226544,73389,73389,14,14,14,559277876,7,3,593069,1714337,2858943,55327,7245863747,1673042,70872289,1528
868835.90,253952,62,387702,25543020728,44,66961754,0,509,50,50,5089,182,675,1731573,21,105319,40,61,150374996,1352,1,0,39,64,14,165,675,0,0,0,76587899,2649,7512513858,0,675,315,2,1,14,14,333,0,1,7513266459,7470206936,270201110,580191991,580208375,1,2,1,0,25528447604,73389,73389,14,14,14,580191991,7,3,606458,1774351,2931845,57380,7513266459,1731573,73659324,1528
870461.24,253952,62,400982,26415782060,49,70535267,4,530,50,50,5089,194,675,1796366,21,109422,47,73,158511825,1359,1,1035,46,71,39,200,675,342,1035,99,79825923,2768,7767211088,8,675,315,2,1,14,14,333,41717467,1,7763869224,7725268584,363214601,600037902,600037902,1,2,1,41717467,26401667688,73389,73389,14,14,14,600037902,7,3,616366,1840786,3026562,59330,7763869224,1796366,76802745,1528
