timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
323763.64,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
325770.78,7,253952,62,8206,539743108,0,1300518,78,3,3,3850,108,0,558,74336,0,7,3200,18,95795055,1118,1,0,4,1242,10050476,8,40201904,17,17,0,14,187,558,0,0,4547941,115588,198329366,0,558,614,0,3,1,14,14,1808,0,3,198547996,172884528,5935917,10194278,10194278,1,3,1,0,530102488,73389,73389,14,14,14,10194282,11,3,75303,75905,221411,1708,198547996,74336,4326704,1701
327777.40,7,253952,62,17247,1135668762,0,2335879,178,3,3,3850,141,0,558,144698,0,7,6732,18,97954869,1118,1,0,4,1242,21350481,8,85272640,17,17,0,14,187,558,0,0,9521464,150663,387707203,0,558,614,0,3,1,14,14,1808,0,3,387473211,360472508,11974362,21655713,21655713,1,3,1,0,1126097108,73389,73389,14,14,14,21655717,11,3,77722,147983,311485,3224,387473211,144698,9210342,1701
329783.14,9,253952,62,26949,1774636194,0,3421705,274,3,3,3850,232,0,567,214712,0,7,10583,18,101324395,1136,1,0,4,1242,33452826,8,133746584,17,17,0,14,187,567,0,0,14444790,158461,592599322,0,567,627,0,3,1,14,14,1808,0,3,592030349,561624833,17998118,33946699,33946699,1,3,1,0,1765228380,73389,73389,14,14,14,33946703,11,3,84929,219708,402509,4988,592030349,214712,14042838,1735
331789.62,9,253952,62,36564,2407612410,0,4565529,363,3,3,3850,268,0,576,282384,0,7,14340,18,104113299,1154,1,0,4,1242,45426656,8,181706624,17,17,0,14,187,576,0,0,19292557,177731,791178617,0,576,636,0,3,1,14,14,1808,0,3,790538617,760776653,24013930,46125156,46125156,1,3,1,0,2397656176,73389,73389,14,14,14,46108776,11,3,88886,288965,505632,6586,790538617,282384,18787680,1765
333796.93,11,253952,62,46191,3041930094,0,5522635,463,3,3,3850,359,0,585,356191,0,7,18150,18,107075282,1172,1,0,4,1242,57413879,8,229655516,17,17,0,14,187,585,0,0,24336475,191868,994122234,0,585,643,0,3,1,14,14,1808,0,3,994459768,960504464,30017911,58299295,58315679,1,3,1,0,3031563372,73389,73389,14,14,14,58299299,11,3,93259,364601,591588,8331,994459768,356191,23744852,1798
335802.19,11,253952,62,55814,3675318330,0,6493694,563,3,3,3850,397,0,594,430637,0,7,21920,18,109796287,1190,1,0,4,1242,69458550,8,277769620,17,17,0,14,187,594,0,0,29385362,199500,1197848440,0,594,650,0,3,1,14,14,1808,0,3,1196801233,1159978653,36046162,70500169,70500169,1,3,1,0,3666008820,73389,73389,14,14,14,70500173,11,3,97356,440741,680874,9968,1196801233,430637,28705663,1825
337807.64,11,253952,62,65399,4305957362,0,7639796,650,3,3,3850,487,0,621,500958,2,7,25712,18,115665231,1244,1,0,4,1242,81372908,8,325426860,17,17,0,14,187,621,0,0,34262035,203753,1393759884,0,619,682,2,3,1,14,14,1808,0,3,1392906783,1358846240,42068638,82600580,82616964,1,3,1,0,4295230192,73389,73389,14,14,14,82600584,11,3,111374,512764,785760,11656,1392906783,500958,33477645,1907
339812.81,12,253952,62,74969,4935857066,0,8677949,740,3,3,3850,527,0,630,575814,4,7,29442,18,118711613,1262,1,0,4,1242,93273205,8,373028228,17,17,0,14,187,630,0,0,39230427,212309,1598742384,0,626,693,4,3,1,14,14,1808,0,3,1597689157,1557672358,48080284,94686766,94686766,1,3,1,0,4923711864,73389,73389,14,14,14,94686770,11,3,115784,589358,868802,13325,1597689157,575814,38363198,1938
341818.63,12,253952,62,84653,5573754962,0,9980075,819,3,3,3850,614,0,657,643924,4,7,33271,18,124730731,1316,1,0,4,1242,105344561,8,421184464,17,17,0,14,187,657,0,0,43958334,213510,1808961030,0,653,718,4,3,1,14,14,1808,0,3,1807315963,1758874794,54108908,106931389,106931389,1,3,1,0,5560432260,73389,73389,14,14,14,106931393,11,3,121229,659214,946836,15125,1807315963,643924,43013277,2029
