timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1001236.29,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
1003240.49,253952,62,23429,1542622214,35,35,5596,118,0,675,119836,18,2414,50,64,140034434,1352,1,49,49,14,187,675,2162629,144,501483334,675,354,2,1,14,14,340,1,505805616,454724244,2351454,34708555,34708555,1,2,1,1526455524,73389,73389,14,14,14,34692171,6,3,460600,121897,817753,3878,505805616,119836,1344968,1846
1005244.36,253952,62,47411,3122801030,35,35,5596,121,0,675,211610,18,9119,50,64,140565338,1352,1,49,49,14,187,675,6442809,316,963916991,675,354,2,1,14,14,340,1,967834416,916695634,9336984,70618731,70618731,1,2,1,3106503268,73389,73389,14,14,14,70602347,6,3,472898,216078,945068,7403,967834416,211610,5498014,1846
1007248.87,253952,62,70891,4670080774,35,35,5596,125,0,675,303896,18,15745,50,64,141361694,1352,1,49,49,14,187,675,10894954,432,1416947786,675,354,2,1,14,14,340,1,1419639600,1369048409,21995098,105783435,105799819,1,2,1,4654471140,73389,73389,14,14,14,105783435,6,3,483761,310796,1084830,10850,1419639600,303896,9810577,1846
1009253.58,253952,62,94236,6208247706,35,35,5596,129,6,675,398339,18,22331,50,64,141892598,1352,1,49,49,14,187,675,15274718,519,1865787668,675,354,2,1,14,14,340,1,1868954416,1818687399,30729634,140729114,140745498,1,2,1,6192081016,73389,73389,14,14,14,140729114,6,3,499012,407670,1217935,14278,1868954416,398339,14057418,1846
1011257.82,253952,62,117262,7725508654,35,35,5596,133,6,675,499123,18,28829,50,64,142423502,1352,1,49,49,14,187,675,19805628,642,2308471618,675,354,2,1,14,14,340,1,2311977776,2262208553,41708468,175224233,175224233,1,2,1,7709866252,73389,73389,14,14,14,175224233,6,3,513259,511055,1361082,17658,2311977776,499123,18445362,1846
1013262.18,253952,62,140869,9280846018,35,35,5596,137,6,675,587571,18,35489,50,64,142942340,1352,1,49,49,14,187,675,24155500,730,2763729422,675,354,2,1,14,14,340,1,2766404400,2716885193,50896783,210563128,210579512,1,2,1,9264777632,73389,73389,14,14,14,210563128,6,3,521376,601970,1494961,21125,2766404400,587571,22661538,1846
1015266.32,253952,62,164474,10836258842,35,35,5596,141,6,675,683864,18,42143,50,64,144004148,1352,1,49,49,14,187,675,28469305,811,3216599701,675,354,2,1,14,14,340,1,3220147152,3171417879,60337464,245928314,245928314,1,2,1,10820845816,73389,73389,14,14,14,245928314,6,3,539775,700748,1644545,24590,3220147152,683864,26825945,1846
1017270.40,253952,62,187952,12383142062,35,35,5596,144,6,675,777721,18,48710,50,64,144269600,1352,1,49,49,14,187,675,32951500,874,3668980783,675,354,2,1,14,14,340,1,3672083408,3623685097,71997170,281078793,281078793,1,2,1,12366745996,73389,73389,14,14,14,281062409,6,3,549347,797133,1788942,28038,3672083408,777721,31163924,1846
1019275.03,253952,62,211811,13955259950,35,35,5596,148,6,675,877441,18,55439,50,64,145065956,1352,1,49,49,14,187,675,37216273,979,4129086374,675,354,2,1,14,14,340,1,4131621840,4083156867,78381289,316816937,316816937,1,2,1,13939224332,73389,73389,14,14,14,316800553,6,3,556645,899210,1921773,31544,4131621840,877441,35296041,1846
1021279.48,253952,62,236002,15549352978,35,35,5596,152,6,675,977398,18,62255,50,64,145596860,1352,1,49,49,14,187,675,41502273,1049,4594171057,675,354,2,1,14,14,340,1,4596796368,4549158656,84470003,353022025,353044442,1,2,1,15532969100,73389,73389,14,14,14,353022025,6,3,561195,1001448,2042196,35093,4596796368,977398,39461792,1846
1023283.82,253952,62,259584,17103100206,35,35,5596,156,6,675,1071446,18,68906,50,64,146127764,1352,1,49,49,14,187,675,45874469,1105,5049425811,675,354,2,1,14,14,340,1,5051091920,5003467868,100821245,388350569,388350569,1,2,1,17087425036,73389,73389,14,14,14,388350569,6,3,576240,1097952,2185600,38559,5051091920,1071446,43690749,1846
1025287.91,253952,62,283267,18663418306,35,35,5596,160,6,675,1165727,18,75587,50,64,146658668,1352,1,49,49,14,187,675,50201650,1163,5504817462,675,354,2,1,14,14,340,1,5506567120,5459462972,111339461,423820536,423820536,1,2,1,18648103584,73389,73389,14,14,14,423820536,6,3,587236,1194688,2313223,42034,5506567120,1165727,47890490,1846
1027291.87,253952,62,307286,20245861422,35,35,5596,164,6,675,1260018,18,82361,50,64,147455024,1352,1,49,49,14,187,675,54497617,1353,5968075306,675,354,2,1,14,14,340,1,5968468811,5922048879,120985819,459785897,459802281,1,2,1,20230579468,73389,73389,14,14,14,459785897,6,3,596699,1291275,2441136,45562,5968468811,1260018,52058726,1846
1029295.70,253952,62,330607,21782262190,35,35,5596,169,6,675,1347720,18,88994,50,64,148251380,1352,1,49,49,14,187,675,58675237,1509,6414578159,675,354,2,1,14,14,340,1,6417028457,6371047019,126728231,494713033,494713033,1,2,1,21767373452,73389,73389,14,14,14,494713033,6,3,604821,1381358,2543902,48991,6417028457,1347720,56133752,1846
1031300.16,253952,62,354075,23328341584,35,35,5596,174,6,675,1431361,18,95710,50,64,149047736,1352,1,49,49,14,187,675,63030258,1856,6866497417,675,354,2,1,14,14,340,1,6867988490,6823059767,142249330,529836777,529853161,1,2,1,23312818188,73389,73389,14,14,14,529836777,6,3,620850,1467254,2666261,52438,6867988490,1431361,60366585,1846
1033304.19,253952,62,378140,24913533904,35,35,5596,179,6,675,1520773,18,102547,50,64,149844092,1352,1,49,49,14,187,675,67199391,1935,7329738788,675,354,2,1,14,14,340,1,7330667331,7286288963,148246243,565869833,565886217,1,2,1,24898272652,73389,73389,14,14,14,565869833,6,3,623699,1558806,2784267,55974,7330667331,1520773,64417881,1846
1035308.69,253952,62,400725,26399245884,35,35,5596,189,6,675,1601043,18,109243,50,64,151171352,1352,1,49,49,14,187,675,71277964,1949,7759026725,675,354,2,1,14,14,340,1,7759919911,7720471600,154209835,599656122,599672506,1,2,1,26384869368,73389,73389,14,14,14,599656122,6,3,627452,1641159,2879500,59290,7759919911,1601043,68401378,1846
