timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
570473.96,0,0,20941,1378494772,0,0,0,0,1,1,3811,117,631,123409,26,1956,12,0,130235785,1263,1,0,11,15,10,750,631,0,0,0,1968777,6356,451801809,0,631,448,2,1,14,14,2876,0,1,453935300,406427585,1975196,31014407,31014407,1,2,1,0,1364633908,73389,73389,14,14,14,31014407,11,3,397073,125458,801279,3481,453935300,123409,1167460,1817
572481.51,253952,62,37883,2494923146,9,10585941,0,38,23,23,3811,120,675,248189,26,6464,34,15,140299886,1352,1,0,33,37,10,911,675,0,0,0,6149278,1331237,775641600,0,675,475,2,1,14,14,2876,0,1,784071472,733211671,35359384,56327182,56343566,1,2,1,0,2478396008,73389,73389,14,14,14,56327182,11,3,519929,252628,1236073,6001,784071472,248189,4913269,1927
574489.68,253952,62,53973,3555237330,19,23469275,0,89,24,24,3811,123,675,368071,26,10978,34,15,140830790,1352,1,0,33,38,10,911,675,0,0,0,10447605,3166931,1093117153,0,675,475,2,1,14,14,2876,0,1,1093925680,1043115326,55615178,80446084,80446084,1,2,1,0,3539627696,73389,73389,14,14,14,80446084,11,3,529806,374966,1409587,8365,1093925680,368071,9038230,1927
576498.22,253952,62,70011,4612143642,19,27060143,0,134,24,24,3811,125,675,496478,26,15507,34,15,141361694,1352,1,0,33,38,10,911,675,0,0,0,14930598,4049538,1399836837,0,675,475,2,1,14,14,2876,0,1,1402469168,1352110589,64897560,104466682,104466682,1,2,1,0,4595813112,73389,73389,14,14,14,104450298,11,3,541724,505929,1594882,10719,1402469168,496478,13336072,1927
578503.32,253952,62,85486,5631622282,19,29388778,0,188,26,26,3811,128,675,613441,26,19889,34,15,141627146,1352,1,0,33,40,10,911,675,0,0,0,19084132,4930282,1699349577,0,675,475,2,1,14,14,2876,0,1,1700264752,1650094708,74375768,127639630,127639630,1,2,1,0,5616143720,73389,73389,14,14,14,127639630,11,3,558473,625300,1778457,12991,1700264752,613441,17306181,1927
580509.69,253952,62,96938,6386387786,24,36085718,0,201,26,26,3811,129,675,663526,26,23069,34,15,141892598,1352,1,0,33,40,10,911,675,0,0,0,21472018,4970511,1921481388,0,675,475,2,1,14,14,2876,0,1,1920990000,1870715089,83624119,144783710,144800094,1,2,1,0,6370483240,73389,73389,14,14,14,144783710,11,3,564942,676700,1847495,14675,1920990000,663526,19625132,1927
582518.19,253952,62,113106,7451813778,24,37743139,0,240,30,30,3811,132,675,776627,26,27645,34,15,142423502,1352,1,0,33,44,10,911,675,0,0,0,25659469,6071696,2229786187,0,675,475,2,1,14,14,2876,0,1,2232154928,2182249444,91927525,169000916,169000916,1,2,1,0,7436040304,73389,73389,14,14,14,169000916,11,3,589156,792238,2035413,17049,2232154928,776627,23624822,1927
584527.52,253952,62,129339,8521234158,26,43081160,0,296,33,33,3811,135,675,890085,26,32258,34,15,142688954,1352,1,0,33,47,10,911,675,0,0,0,29921262,7041220,2541635397,0,675,475,2,1,14,14,2876,0,1,2544368432,2494806407,103164611,193310393,193310393,1,2,1,0,8504936396,73389,73389,14,14,14,193294009,11,3,604208,908253,2235323,19431,2544368432,890085,27686862,1927
586539.67,253952,62,146274,9637191714,30,50422846,0,332,37,37,3811,137,675,1008456,26,36962,34,15,142942340,1352,1,0,33,51,10,911,675,0,0,0,34345325,8406451,2866828160,0,675,475,2,1,14,14,2876,0,1,2870606640,2821063639,120252902,218672320,218672320,1,2,1,0,9621582080,73389,73389,14,14,14,218672320,11,3,634073,1029061,2439830,21920,2870606640,1008456,31906557,1927
588547.15,253952,62,162805,10726082902,31,54353148,0,361,40,40,3811,140,675,1138754,26,41635,34,15,143738696,1352,1,0,33,54,10,911,675,0,0,0,38739280,9927696,3183087455,0,675,475,2,1,14,14,2876,0,1,3188034512,3139261815,135492407,243411655,243428039,1,2,1,0,10710112820,73389,73389,14,14,14,243411655,11,3,661562,1161837,2703847,24345,3188034512,1138754,36036632,1927
