timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1056062.72,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
1058067.88,0,253952,62,9985,656331652,0,1702646,37,3,3,4261,116,0,558,66419,0,13,3896,15,95481339,1118,1,0,4,479,12263401,7,49053604,14,17,0,11,117,558,0,0,4237845,503,242746820,0,558,366,0,3,1,14,14,966,3,242968736,209246078,5940793,12455270,12455270,1,3,1,647674072,73389,73389,14,14,14,12455274,7,3,79994,67913,202041,2064,242968736,66419,4035968,1350
1060072.83,0,253952,62,20453,1346718326,0,3414693,77,3,3,4261,170,1,558,122474,0,13,7997,15,97954869,1118,1,0,4,479,25318647,7,101274588,14,17,0,11,117,558,0,0,8507428,680,459664291,0,558,366,0,3,1,14,14,966,3,459986484,426949576,11922468,25712468,25712468,1,3,1,1337048368,73389,73389,14,14,14,25712472,7,3,83760,125441,274841,3839,459986484,122474,8232914,1350
1062076.77,0,253952,62,29713,1957032562,0,4569424,124,3,3,4261,238,1,558,168895,0,13,11657,15,99837165,1118,1,0,4,479,36893176,7,147572704,14,17,0,11,117,558,0,0,12172154,798,649724202,0,558,366,0,3,1,14,14,966,3,649778657,619058777,16740630,37452431,37452431,1,3,1,1947526444,73389,73389,14,14,14,37452435,7,3,87452,173153,348963,5438,649778657,168895,11823650,1350
1064081.58,0,253952,62,37808,2489766626,1,7342064,145,4,4,4261,314,1,567,207837,0,13,14862,16,102929173,1136,1,0,4,479,46966156,7,187864624,15,18,0,11,125,567,0,0,15344139,954,814941678,0,567,368,0,3,1,14,14,966,3,814616666,786729019,22685206,47685510,47701894,1,3,1,2479646552,73389,73389,14,14,14,47685514,7,3,93078,213212,383979,6855,814616666,207837,14960735,1373
1066086.03,0,253952,62,48452,3190734422,1,9115492,184,4,4,4261,351,1,567,264159,0,13,19006,16,104449489,1136,1,0,4,479,60253302,7,240884076,15,18,0,11,125,567,0,0,19598194,1185,1038213557,0,567,368,0,3,1,14,14,966,3,1037996211,1007791065,28712421,61162177,61162177,1,3,1,3180433236,73389,73389,14,14,14,61162181,7,3,99724,271059,470138,8644,1037996211,264159,19128795,1373
1068090.45,0,253952,62,58643,3861447308,1,10893355,221,4,4,4261,441,1,567,318426,0,13,23040,16,106018069,1136,1,0,4,479,72963604,7,291724884,15,18,0,11,125,567,0,0,23855719,1508,1259013836,0,567,368,0,3,1,14,14,966,3,1258497554,1219050010,34727415,74053338,74053338,1,3,1,3850773608,73389,73389,14,14,14,74053342,7,3,101295,326837,530985,10513,1258497554,318426,23325632,1373
1070094.66,0,253952,62,68773,4528098494,1,12125159,262,4,4,4261,477,1,576,368049,0,13,27005,16,109447532,1154,1,0,4,479,85630060,7,342520240,15,18,0,11,125,576,0,0,27952536,1590,1462444399,0,576,373,0,3,1,14,14,966,3,1462030318,1428697535,40075363,86884996,86884996,1,3,1,4518019824,73389,73389,14,14,14,86885000,7,3,106826,377795,584070,12150,1462030318,368049,27369521,1398
1072098.78,0,253952,62,76374,5030617588,3,14626991,281,6,6,4261,549,6,594,405999,0,13,30027,16,114827906,1190,1,0,4,479,95132060,7,380463644,15,20,0,11,125,594,0,0,30817238,1605,1623997825,0,594,380,0,3,1,14,14,966,3,1623082466,1587264762,45441022,96521330,96521330,1,3,1,5019109192,73389,73389,14,14,14,96521334,7,3,113690,416770,635437,13528,1623082466,405999,30182963,1436
1074103.07,0,253952,62,86848,5720456330,3,16269777,330,6,6,4261,588,6,594,458110,0,13,34126,16,116046572,1190,1,0,4,479,108208964,7,432835856,15,20,0,11,125,594,0,0,35124250,1710,1842223411,0,594,380,0,3,1,14,14,966,3,1842780725,1804322684,51389085,109785005,109801389,1,3,1,5708820292,73389,73389,14,14,14,109785009,7,3,115362,470413,693153,15295,1842780725,458110,34432430,1436
1076107.22,0,253952,62,97341,6411105880,3,18027648,389,6,6,4261,678,6,594,509151,0,13,38266,16,117144578,1190,1,0,4,479,121257272,7,485029088,15,20,0,11,125,594,0,0,39449768,1773,2067413046,0,594,380,0,3,1,14,14,966,3,2066679337,2022175179,57446856,123052998,123052998,1,3,1,6397903960,73389,73389,14,14,14,123036618,7,3,118817,522984,753134,17188,2066679337,509151,38698147,1436
1078111.28,0,253952,62,107735,7097463378,3,19755453,434,6,6,4261,752,6,594,556866,0,13,42362,16,119799098,1190,1,0,4,479,134257321,7,536900028,15,20,0,11,125,594,0,0,43720369,1823,2275782588,0,594,380,0,3,1,14,14,966,3,2274894706,2238739424,63469031,136221799,136221799,1,3,1,7083533580,73389,73389,14,14,14,136221803,7,3,125423,572116,829978,18938,2274894706,556866,42892072,1436
