timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1115106.78,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
1117111.32,6,253952,62,23131,1522827034,0,0,0,0,29,29,4718,118,675,120549,2,16,2331,44,89,139768982,1352,1,0,43,43,1,14,214,675,0,0,0,2061536,26,495287451,0,673,378,2,2,1,14,14,364,1,500038448,448914620,2153690,34260154,34260154,1,2,1,1507446776,73389,73389,14,14,14,34260154,8,3,451022,122613,806979,3834,500038448,120549,1254648,1700
1119116.29,6,253952,62,44277,2916349398,0,0,0,0,29,29,4718,121,675,227267,2,16,8264,44,89,140565338,1352,1,0,43,43,1,14,214,675,0,0,0,6619849,132,903234449,0,673,378,2,2,1,14,14,364,1,907279152,856366970,12004225,65925159,65925159,1,2,1,2899986100,73389,73389,14,14,14,65908775,8,3,473411,231968,968217,6941,907279152,227267,5651902,1700
1121120.58,6,253952,62,65824,4336151698,4,4000406,0,6,29,29,4718,124,675,329649,2,16,14306,44,89,141096242,1352,1,0,43,43,1,14,214,675,0,0,0,10973893,218,1321005367,0,673,378,2,2,1,14,14,364,1,1321859888,1271409239,29963022,98196372,98196372,1,2,1,4320640368,73389,73389,14,14,14,98196372,8,3,481685,336882,1087292,10104,1321859888,329649,9887050,1700
1123125.75,6,253952,62,86068,5670029686,12,13127059,0,50,29,29,4718,128,675,428546,2,16,20049,44,89,141627146,1352,1,0,43,43,1,14,214,675,0,0,0,15287279,278,1710864134,0,673,378,2,2,1,14,14,364,1,1711536944,1661292393,101112642,128514015,128514015,1,2,1,5654616660,73389,73389,14,14,14,128514015,8,3,490805,438241,1241674,13077,1711536944,428546,14046236,1700
1125130.35,6,253952,62,102621,6760687038,27,29792883,0,110,29,29,4718,130,675,505688,2,16,24671,44,89,141892598,1352,1,0,43,43,1,14,214,675,0,0,0,18768563,430,2030177289,0,673,378,2,2,1,14,14,364,1,2030172976,1980181027,174900152,153296469,153296469,1,2,1,6745044636,73389,73389,14,14,14,153296469,8,3,495092,517357,1337631,15508,2030172976,505688,17431727,1700
1127134.83,6,253952,62,114886,7568998762,27,31320646,0,144,29,29,4718,132,675,554484,2,16,28125,44,89,142423502,1352,1,0,43,43,1,14,214,675,0,0,0,21102818,501,2265930032,0,673,378,2,2,1,14,14,364,1,2266757936,2216501886,178775373,171650806,171667190,1,2,1,7552635464,73389,73389,14,14,14,171650806,8,3,501062,567373,1390436,17313,2266757936,554484,19713256,1700
1129139.88,6,253952,62,132067,8701078174,27,32833650,0,184,31,31,4718,135,675,645477,2,16,32978,44,89,142688954,1352,1,0,43,45,1,14,214,675,0,0,0,24862120,549,2596650265,0,673,378,2,2,1,14,14,364,1,2596928304,2547377232,184780086,197397757,197397757,1,2,1,8685501308,73389,73389,14,14,14,197397757,8,3,513912,660560,1512303,19832,2596928304,645477,23350842,1700
1131144.85,6,253952,62,152545,10049967214,27,33521680,0,191,32,32,4718,139,675,769499,2,16,38756,44,89,143207792,1352,1,0,43,46,1,14,214,675,0,0,0,29450198,1036,2990467230,0,673,378,2,2,1,14,14,364,1,2990509008,2941674565,193116879,228057305,228057305,1,2,1,10034521420,73389,73389,14,14,14,228057305,8,3,515428,787432,1651773,22838,2990509008,769499,27799654,1700
1133149.64,6,253952,62,172272,11349963090,27,34596395,0,217,32,32,4718,142,675,883672,2,16,44324,44,89,144004148,1352,1,0,43,46,1,14,214,675,0,0,0,33978093,1098,3369817521,0,673,378,2,2,1,14,14,364,1,3370093520,3321565168,201047113,257604900,257604900,1,2,1,11333894704,73389,73389,14,14,14,257588516,8,3,519405,904321,1771996,25734,3370093520,883672,32207512,1700
