timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
631491.08,9,0,0,20436,1345133640,0,0,0,1,1,8752,117,621,130047,30,1909,1,11,13,155,128068016,1244,1,0,10,15,13,9,6420,621,0,0,0,1991146,41,443675908,0,621,384,2,1,14,14,366,1,443580612,396624238,1992201,30254710,30271094,1,2,1,1331207240,73389,73389,14,14,14,30254710,6,3,305420,132390,698231,3402,443580612,130047,1293013,1871
633501.21,9,253952,62,31908,2101221930,12,13482189,37,14,14,8752,119,675,191249,30,4781,9,24,13,767,140299886,1352,1,0,23,28,13,9,7073,675,0,0,0,4466251,73915,668394912,0,675,410,2,1,14,14,366,1,669121328,618097897,19110240,47382406,47398790,1,2,1,2084825864,73389,73389,14,14,14,47382406,6,3,360089,195057,855805,5124,669121328,191249,3610631,2017
635516.12,9,253952,62,44124,2906322390,13,16005866,69,17,17,8752,121,675,287622,30,8274,9,24,13,767,140565338,1352,1,0,23,31,13,9,7073,675,0,0,0,7730475,1387299,904054359,0,675,410,2,1,14,14,366,1,904526640,853444226,26174825,65695783,65695783,1,2,1,2889893556,73389,73389,14,14,14,65679399,6,3,369602,295265,991537,6920,904526640,287622,6739248,2017
637525.82,9,253952,62,56944,3751006594,14,20105765,109,19,19,8752,123,675,402613,30,11846,9,24,13,767,140830790,1352,1,0,23,33,13,9,7073,675,0,0,0,11454725,2706742,1149809232,0,675,410,2,1,14,14,366,1,1151073072,1100356803,35967827,84893896,84893896,1,2,1,3735331424,73389,73389,14,14,14,84893896,6,3,378471,413926,1145232,8801,1151073072,402613,10309932,2017
639534.81,9,253952,62,67174,4425156202,17,24862886,139,19,19,8752,125,675,454018,30,14731,9,24,13,767,141361694,1352,1,0,23,33,13,9,7073,675,0,0,0,13811144,2770471,1347165647,0,675,410,2,1,14,14,366,1,1347943216,1297465599,44246092,100215478,100215478,1,2,1,4409481032,73389,73389,14,14,14,100215478,6,3,382516,466646,1197296,10303,1347943216,454018,12614379,2017
641549.32,9,253952,62,81157,5346324226,19,29538075,168,25,25,8752,127,675,565108,30,18653,9,24,13,767,141361694,1352,1,0,23,39,13,9,7073,675,0,0,0,17655740,3997440,1615607723,0,675,410,2,1,14,14,366,1,1617034032,1566685599,55554637,121156328,121156328,1,2,1,5330878432,73389,73389,14,14,14,121156328,6,3,400640,580028,1362279,12356,1617034032,565108,16294129,2017
643558.76,9,253952,62,95489,6290895218,20,33919613,203,26,26,8752,129,675,675869,30,22673,9,24,13,767,141892598,1352,1,0,23,40,13,9,7073,675,0,0,0,21572652,5522604,1890997603,0,675,410,2,1,14,14,366,1,1892809520,1842826461,66115974,142608956,142625340,1,2,1,6274794064,73389,73389,14,14,14,142608956,6,3,412559,693071,1523650,14460,1892809520,675869,20049811,2017
645575.71,9,253952,62,109383,7206495990,22,40645643,240,26,26,8752,131,675,777209,30,26571,9,24,13,767,142158050,1352,1,0,23,40,13,9,7073,675,0,0,0,25438629,6314636,2159972875,0,675,410,2,1,14,14,366,1,2160720688,2110540854,76699583,163424767,163424767,1,2,1,7190689748,73389,73389,14,14,14,163424767,6,3,424197,796694,1686586,16504,2160720688,777209,23752998,2017
647581.43,9,253952,62,122041,8040297910,24,45486017,279,28,28,8752,134,675,865872,30,30212,9,24,13,767,142423502,1352,1,0,23,42,13,9,7073,675,0,0,0,28798911,7266536,2401001467,0,675,410,2,1,14,14,366,1,2404121392,2354206255,88340539,182379279,182379279,1,2,1,8024688276,73389,73389,14,14,14,182379279,6,3,432826,887294,1803109,18361,2404121392,865872,26996930,2017
649588.83,9,253952,62,133530,8797488246,26,49057149,294,29,29,8752,135,675,930816,30,33375,9,24,13,767,142688954,1352,1,0,23,43,13,9,7073,675,0,0,0,31451213,7356355,2625110119,0,675,410,2,1,14,14,366,1,2625370928,2575580171,94724720,199588895,199588895,1,2,1,8781190484,73389,73389,14,14,14,199572511,6,3,442589,953756,1896842,20049,2625370928,930816,29555608,2017
