timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
306534.09,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,626,0,0,0,0,0,0,0,0,626,7,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
308538.89,0,0,20731,1364732212,0,0,0,0,1,1,4249,117,630,125882,10,1936,6,0,130104650,1262,1,626,0,5,15,0,4,1627,630,0,626,7,0,0,1974280,21259,449836589,0,630,446,2,1,14,14,446,1,450003140,402369429,1996193,30686727,30703111,1,2,1,1350215988,73389,73389,14,14,14,30686727,9,3,395353,127998,793507,3451,450003140,125882,1180866,1829
310544.06,253952,62,38675,2547093110,19,19539836,0,52,31,31,4249,120,675,234090,10,6680,36,32,140299886,1352,1,626,0,35,45,17,4,1761,675,0,626,7,0,0,5796664,662901,790045935,0,675,471,2,1,14,14,446,1,799406896,748464428,38177251,57529247,57529247,1,2,1,2531286868,73389,73389,14,14,14,57529247,9,3,520824,238548,1203442,6118,799406896,234090,4593554,1956
312559.05,253952,62,50927,3354552866,29,31235584,0,62,32,32,4249,122,675,288370,10,10134,36,32,140830790,1352,1,626,0,35,46,17,4,1761,675,0,626,7,0,0,8584605,901835,1034204997,0,675,471,2,1,14,14,446,1,1035467568,984462347,55910100,75883584,75883584,1,2,1,3338877696,73389,73389,14,14,14,75883584,9,3,525225,294348,1285270,7919,1035467568,288370,7299763,1956
314572.73,253952,62,70435,4640196358,30,33555871,0,111,35,35,4249,125,675,424476,10,15622,36,32,141361694,1352,1,626,0,35,49,17,4,1761,675,0,626,7,0,0,13251932,1427216,1406851778,0,675,471,2,1,14,14,446,1,1410595632,1360261819,64331677,105095307,105111691,1,2,1,4624193508,73389,73389,14,14,14,105095307,9,3,550340,433271,1491158,10781,1410595632,424476,11761339,1956
316580.02,253952,62,90191,5941827326,31,36553875,0,168,36,36,4249,128,675,555664,10,21171,36,32,141627146,1352,1,626,0,35,50,17,4,1761,675,0,626,7,0,0,17982288,1827086,1788285367,0,675,471,2,1,14,14,446,1,1791097648,1740765781,73222124,134677829,134694213,1,2,1,5925824476,73389,73389,14,14,14,134677829,9,3,565997,567330,1687014,13684,1791097648,555664,16295981,1956
318590.60,253952,62,109475,7212525302,32,39597565,0,230,37,37,4249,132,675,686627,10,26613,36,32,142158050,1352,1,626,0,35,51,17,4,1761,675,0,626,7,0,0,22725066,2261047,2162391794,0,675,471,2,1,14,14,446,1,2162424624,2112290093,82256582,163564031,163564031,1,2,1,7196817364,73389,73389,14,14,14,163564031,9,3,581291,701104,1860618,16517,2162424624,686627,20865338,1956
320595.57,253952,62,125908,8295052882,36,45148786,0,270,39,39,4249,134,675,782355,10,31242,36,32,142423502,1352,1,626,0,35,53,17,4,1761,675,0,626,7,0,0,26515341,2755462,2478008148,0,675,471,2,1,14,14,446,1,2478439216,2428660433,92904613,188160228,188176612,1,2,1,8279050032,73389,73389,14,14,14,188160228,9,3,587913,798983,2001805,18928,2478439216,782355,24514555,1956
322603.94,253952,62,140368,9248012482,37,47979133,0,287,42,42,4249,137,675,850626,10,35357,36,32,142942340,1352,1,626,0,35,56,17,4,1761,675,0,626,7,0,0,29434616,2971686,2755340200,0,675,471,2,1,14,14,446,1,2756967216,2707313310,98930029,209825848,209825848,1,2,1,9231616416,73389,73389,14,14,14,209809464,9,3,605506,868965,2108030,21053,2756967216,850626,27327710,1956
324616.77,253952,62,159946,10537653670,37,51086658,0,325,43,43,4249,140,675,969264,10,40852,36,32,143738696,1352,1,626,0,35,57,17,4,1761,675,0,626,7,0,0,34094647,3773614,3129943561,0,675,471,2,1,14,14,446,1,3132984272,3084186535,108930255,239127683,239144067,1,2,1,10521618052,73389,73389,14,14,14,239127683,9,3,624890,990247,2335219,23925,3132984272,969264,31760713,1956
