timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
298494.83,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,2097278,2,1,1081,0,0,0,0,0,0,0,0,0,0,0,1081,5,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0
300500.49,6,253952,62,6543,430394760,1,2242406,55,4,4,4580,102,0,558,70575,0,27,2537,13,95746791,1118,1,1081,0,4,4015,7936269,8,31745076,12,18,8,2393,558,1081,5,0,0,4007221,154513,169507737,0,558,653,0,3,1,14,14,4715,3,169753902,138219089,6400740,8099285,8115669,1,3,1,421162852,73389,73389,14,14,14,8099289,10,1,3,81281,71903,270909,1476,169753902,70575,3736453,2105
302507.39,6,253952,62,11969,787597874,2,4845789,69,4,4,4580,109,0,558,100592,0,27,4651,13,97037853,1118,1,1081,0,4,4015,14709988,8,58839952,12,18,8,2393,558,1081,5,0,0,6415983,154940,279369461,0,558,653,0,3,1,14,14,4715,3,279652411,250788599,11413276,14969770,14969770,1,3,1,778428072,73389,73389,14,14,14,14969774,10,1,3,85233,102737,306883,2331,279652411,100592,6109338,2105
304516.34,8,253952,62,19325,1271538854,2,6140388,144,5,5,4580,191,0,558,166634,0,27,7570,13,97954869,1118,1,1081,0,4,4015,23888621,8,95554484,12,19,8,2393,558,1081,5,0,0,10911955,349464,438019184,0,558,653,0,3,1,14,14,4715,3,438519424,403390614,17374444,24262928,24262928,1,3,1,1261672288,73389,73389,14,14,14,24262932,10,1,3,90770,170468,398714,3722,438519424,166634,10513633,2105
306523.84,9,253952,62,26895,1770168168,2,7378224,219,5,5,4580,219,0,558,227444,0,27,10540,13,99221799,1118,1,1081,0,4,4015,33369842,8,133414728,12,19,8,2393,558,1081,5,0,0,15535643,551103,592197547,0,558,653,0,3,1,14,14,4715,3,591647940,560235485,23424101,33863064,33863064,1,3,1,1760879360,73389,73389,14,14,14,33863068,10,1,3,95744,232783,474081,4959,591647940,227444,15062110,2105
308529.09,9,253952,62,32596,2145996982,3,9898708,238,5,5,4580,280,0,567,258079,0,27,12808,13,102301741,1136,1,1081,0,4,4015,40470155,8,161880620,12,19,8,2393,567,1081,5,0,0,17986213,552227,706222988,0,567,659,0,3,1,14,14,4715,3,705973119,678336857,28394877,41097871,41097871,1,3,1,2136237356,73389,73389,14,14,14,41081491,10,1,3,100574,264304,506199,5959,705973119,258079,17480655,2130
310534.08,9,253952,62,39818,2622423068,3,11062899,282,6,6,4580,303,0,576,313478,0,27,15627,13,105983529,1154,1,1081,0,4,4015,49486385,8,197880920,12,20,8,2393,576,1081,5,0,0,21796152,601405,864674200,0,576,664,0,3,1,14,14,4715,3,863889832,828674965,33414520,50243129,50243129,1,3,1,2612642740,73389,73389,14,14,14,50243133,10,1,3,107515,321074,587229,7220,863889832,313478,21209707,2156
312541.29,9,253952,62,45416,2991200024,4,13710521,291,7,7,4580,363,0,576,342582,0,27,17857,13,107576241,1154,1,1081,0,4,4015,56483964,8,225806536,12,21,8,2393,576,1081,5,0,0,24162711,601814,975757000,0,576,664,0,3,1,14,14,4715,3,975245165,944736912,38428715,57324447,57340831,1,3,1,2980871276,73389,73389,14,14,14,57324451,10,1,3,111247,351013,625204,8193,975245165,342582,23538381,2156
314549.49,10,253952,62,53694,3536192628,4,14939283,374,7,7,4580,395,0,576,407860,0,27,21103,13,108481191,1154,1,1081,0,4,4015,66837689,8,267350756,12,21,8,2393,576,1081,5,0,0,28853570,714809,1149918898,0,576,664,0,3,1,14,14,4715,3,1148886588,1116025840,44426430,67825703,67842087,1,3,1,3526936588,73389,73389,14,14,14,67825707,10,1,3,115093,417851,708347,9594,1148886588,407860,28146276,2156
316556.32,10,253952,62,62237,4099203836,4,16147077,457,7,7,4580,436,0,594,474136,0,27,24449,13,113373739,1190,1,1081,0,4,4015,77461783,8,309847132,12,21,8,2393,594,1081,5,0,0,33603372,784921,1330214263,0,594,690,0,3,1,14,14,4715,3,1328989631,1293705734,50436246,78633937,78633937,1,3,1,4088964756,73389,73389,14,14,14,78633941,10,1,3,117985,485814,784103,11062,1328989631,474136,32820495,2218
