timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
628559.79,0,0,21487,1414542880,0,0,0,0,1,1,7265,117,0,648,123474,10,2006,7,0,133912466,1298,1,0,6,15,0,5,1452,648,0,0,0,1983674,413,463468084,0,648,476,2,1,14,14,417,0,1,465993924,417139183,1984533,31806872,31823256,1,2,1,0,1399502368,73389,73389,14,14,14,31806872,11,3,407563,125667,798795,3573,465993924,123474,1184968,2055
630564.84,253952,62,41271,2718020922,5,5000788,0,5,30,30,7265,120,0,675,225787,10,7388,36,31,140299886,1352,1,0,35,44,9,5,1566,675,0,0,0,6380712,431098,844744258,0,675,495,2,1,14,14,417,0,1,849345328,798437620,16541472,61413970,61413970,1,2,1,0,2701493784,73389,73389,14,14,14,61397586,11,3,513147,230433,1119742,6499,849345328,225787,5261209,2143
632570.08,253952,62,61660,4061884270,5,5000788,0,7,30,30,7265,124,0,675,325586,10,13169,36,31,141096242,1352,1,0,35,44,9,5,1566,675,0,0,0,11063950,520645,1238513536,0,675,495,2,1,14,14,417,0,1,1241774896,1191254373,36654088,91934254,91956671,1,2,1,0,4045107176,73389,73389,14,14,14,91934254,11,3,625059,332756,1470954,9493,1241774896,325586,9593383,2143
634578.86,253952,62,78405,5165172798,25,26490505,0,43,30,30,7265,126,0,675,423831,10,17850,36,31,141361694,1352,1,0,35,44,9,5,1566,675,0,0,0,15063384,1256202,1563076568,0,675,495,2,1,14,14,417,0,1,1564212016,1513804815,145525739,117017653,117034037,1,2,1,0,5148776732,73389,73389,14,14,14,117017653,11,3,644558,433353,1648767,11953,1564212016,423831,13415162,2143
636590.89,253952,62,91080,6000354282,26,29744994,0,77,31,31,7265,129,0,675,524107,10,21470,36,31,141627146,1352,1,0,35,45,9,5,1566,675,0,0,0,18654649,2696525,1806864954,0,675,495,2,1,14,14,417,0,1,1808268080,1757885003,160021872,136019158,136019158,1,2,1,0,5984842952,73389,73389,14,14,14,136019158,11,3,649072,538702,1772110,13815,1808268080,524107,16883203,2143
638595.88,253952,62,103111,6793065130,29,34353025,0,119,31,31,7265,130,0,675,596157,10,24804,36,31,141892598,1352,1,0,35,45,9,5,1566,675,0,0,0,21506421,3045085,2038972969,0,675,495,2,1,14,14,417,0,1,2039741232,1989635865,168096180,154023398,154039782,1,2,1,0,6777029512,73389,73389,14,14,14,154023398,11,3,652935,612504,1886397,15581,2039741232,596157,19620801,2143
640608.18,253952,62,115898,7635586646,29,36501359,0,144,33,33,7265,133,0,675,675398,10,28471,36,31,142423502,1352,1,0,35,47,9,5,1566,675,0,0,0,24584382,3532336,2284720849,0,675,495,2,1,14,14,417,0,1,2286025520,2235923710,174134505,173180551,173180551,1,2,1,0,7619223348,73389,73389,14,14,14,173164167,11,3,659620,693565,2000528,17460,2286025520,675398,22584756,2143
642618.06,253952,62,130791,8616923334,29,39128874,0,178,34,34,7265,135,0,675,789379,10,32632,36,31,142688954,1352,1,0,35,48,9,5,1566,675,0,0,0,28498292,4419120,2571654633,0,675,495,2,1,14,14,417,0,1,2572548912,2522775845,182187432,195485147,195485147,1,2,1,0,8600625572,73389,73389,14,14,14,195468763,11,3,665724,809814,2141489,19646,2572548912,789379,26357855,2143
644627.02,253952,62,145681,9598063414,29,42124817,0,214,35,35,7265,137,0,675,895931,10,36800,36,31,142942340,1352,1,0,35,49,9,5,1566,675,0,0,0,32395488,5674115,2858983619,0,675,495,2,1,14,14,417,0,1,2859334448,2809632974,191280803,217781551,217781551,1,2,1,0,9582388244,73389,73389,14,14,14,217781551,11,3,675605,918640,2304919,21834,2859334448,895931,30091776,2143
646635.10,253952,62,160112,10548544712,30,49210683,0,246,35,35,7265,140,0,675,1003852,10,40898,36,31,143738696,1352,1,0,35,49,9,5,1566,675,0,0,0,36211411,6724583,3135651846,0,675,495,2,1,14,14,417,0,1,3136261072,3087345916,203677280,239389827,239389827,1,2,1,0,10532431492,73389,73389,14,14,14,239373443,11,3,691649,1028792,2477370,23950,3136261072,1003852,33735380,2143
648640.61,253952,62,171501,11299169382,33,53750787,0,271,35,35,7265,142,0,675,1065079,10,44112,36,31,144004148,1352,1,0,35,49,9,5,1566,675,0,0,0,38693059,6851735,3355689289,0,675,495,2,1,14,14,417,0,1,3355282384,3306704510,211614796,256451987,256451987,1,2,1,0,11283887428,73389,73389,14,14,14,256451987,11,3,691724,1091364,2539073,25621,3355282384,1065079,36155431,2143
650647.83,253952,62,185928,12249700842,33,55025902,0,300,40,40,7265,144,0,675,1166811,10,48158,36,31,144269600,1352,1,0,35,54,9,5,1566,675,0,0,0,42172082,7427115,3631338664,0,675,495,2,1,14,14,417,0,1,3633155024,3584689024,217424164,278046038,278046038,1,2,1,0,12234025672,73389,73389,14,14,14,278046038,11,3,710428,1195207,2707714,27741,3633155024,1166811,39465948,2143
652659.67,253952,62,200669,13221076058,36,60730745,0,329,41,41,7265,146,0,675,1284273,10,52295,36,31,144535052,1352,1,0,35,55,9,5,1566,675,0,0,0,46074444,8742956,3917092545,0,675,495,2,1,14,14,417,0,1,3916925904,3868555860,228977392,300129450,300145834,1,2,1,0,13205695800,73389,73389,14,14,14,300129450,11,3,732420,1314979,2913521,29906,3916925904,1284273,43162646,2143
654665.74,253952,62,213725,14081226758,37,64624035,0,367,41,41,7265,149,0,675,1376508,10,56015,36,31,145065956,1352,1,0,35,55,9,5,1566,675,0,0,0,49306460,9706908,4168075965,0,675,495,2,1,14,14,417,0,1,4168190928,4120025211,238376205,319679819,319679819,1,2,1,0,14065912036,73389,73389,14,14,14,319679819,11,3,738078,1409012,3033034,31823,4168190928,1376508,46275258,2143
656675.31,253952,62,225649,14867190706,39,68506638,0,381,42,42,7265,151,0,675,1453843,10,59352,36,31,145331408,1352,1,0,35,56,9,5,1566,675,0,0,0,52086774,9882318,4399270951,0,675,495,2,1,14,14,417,0,1,4397829072,4349769946,245119230,337542636,337542636,1,2,1,0,14851875984,73389,73389,14,14,14,337542636,11,3,740593,1487982,3132328,33575,4397829072,1453843,48956390,2143
658683.52,253952,62,239579,15784885322,39,71572660,0,415,44,44,7265,153,0,675,1567015,10,63323,36,31,145596860,1352,1,0,35,58,9,5,1566,675,0,0,0,55896779,10951942,4666276443,0,675,495,2,1,14,14,417,0,1,4665740240,4617980153,254218381,358385182,358401566,1,2,1,0,15768948008,73389,73389,14,14,14,358385182,11,3,757779,1603945,3313721,35619,4665740240,1567015,52585149,2143
