timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
739078.60,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
741083.46,0,253952,62,7257,477863160,2,3115996,0,49,4,4,4243,100,0,558,58730,0,14,2826,10,0,95795055,1118,1,0,4,782,8885045,6,35475520,9,18,5,719,558,0,0,3428874,58977,182939847,0,558,3510,0,3,1,14,14,1307,0,3,182802484,153152657,6601479,9012471,9012471,1,3,1,0,468648524,73389,73389,14,14,14,9012475,8,3,82613,60027,253588,1565,182802484,58730,3175425,1668
743089.98,0,253952,62,14817,975149352,2,4611215,0,74,5,5,4243,121,0,558,103890,0,14,5776,10,0,97001655,1118,1,0,4,782,18305787,6,73223148,9,19,5,719,558,0,0,6773261,86391,339980434,0,558,3510,0,3,1,14,14,1307,0,3,340509254,309643144,11464220,18584157,18584157,1,3,1,0,966376196,73389,73389,14,14,14,18584161,8,3,90238,106404,322546,2814,340509254,103890,6450992,1668
745097.31,6,253952,62,24308,1600011170,2,5842531,0,162,5,5,4243,213,0,558,170587,0,14,9538,10,0,98292717,1118,1,0,4,782,30159413,6,120637652,9,19,5,719,558,0,0,11539022,111269,535780278,0,558,3510,0,3,1,14,14,1307,0,3,535841990,506595104,17477300,30590582,30590582,1,3,1,0,1590710296,73389,73389,14,14,14,30590586,8,3,93704,174827,394320,4503,535841990,170587,11145168,1668
747103.12,7,253952,62,33757,2222711710,2,7058339,0,248,5,5,4243,252,0,558,243237,0,14,13238,10,0,100175013,1118,1,0,4,782,41959818,6,167774640,9,19,5,719,558,0,0,16283528,164036,734234170,0,558,3510,0,3,1,14,14,1307,0,3,734365551,702540940,23479062,42568113,42568113,1,3,1,0,2213541908,73389,73389,14,14,14,42568117,8,3,100023,249182,480348,6109,734365551,243237,15803842,1668
749109.79,7,253952,62,43549,2868470266,2,8269606,0,337,5,5,4243,345,0,567,318171,0,14,17126,10,0,103822057,1136,1,0,4,782,54168288,6,216673152,9,19,5,719,567,0,0,21085219,189130,939228876,0,567,3520,0,3,1,14,14,1307,0,3,938900928,906122598,29512483,54975502,54975502,1,3,1,0,2857874168,73389,73389,14,14,14,54959122,8,3,102973,325911,575244,7866,938900928,318171,20510836,1697
751114.67,7,253952,62,53597,3529196138,2,9559210,0,417,5,5,4243,386,0,567,389204,0,14,21043,10,0,104787337,1136,1,0,4,782,66688164,6,266688132,9,19,5,719,567,0,0,25822546,194295,1145951519,0,567,3520,0,3,1,14,14,1307,0,3,1145682527,1114203750,35543490,67674373,67674373,1,3,1,0,3519067428,73389,73389,14,14,14,67674377,8,3,108157,398659,650301,9543,1145682527,389204,25173320,1697
753119.59,7,253952,62,63795,4200983142,2,10992049,0,491,5,5,4243,475,0,567,458088,0,14,25077,10,0,106042201,1136,1,0,4,782,79393822,6,317575288,9,19,5,719,567,0,0,30406518,197276,1359627511,0,567,3520,0,3,1,14,14,1307,0,3,1359657936,1325842343,41550725,80577600,80593984,1,3,1,0,4190035232,73389,73389,14,14,14,80577604,8,3,113077,469287,731235,11363,1359657936,458088,29676565,1697
755124.74,8,253952,62,74058,4877681550,2,12501478,0,551,5,5,4243,518,0,567,523277,0,14,29104,10,0,107634913,1136,1,0,4,782,92239838,6,368959352,9,19,5,719,567,0,0,34860583,197474,1576164288,0,567,3520,0,3,1,14,14,1307,0,3,1575483416,1538996446,47524132,93591197,93591197,1,3,1,0,4865890308,73389,73389,14,14,14,93574817,8,3,117796,536071,814090,13113,1575483416,523277,34047953,1697
757129.36,8,253952,62,84418,5561002402,2,14160549,0,610,5,5,4243,603,0,567,584587,0,14,33207,10,0,109806793,1136,1,0,4,782,105212964,6,420851856,9,19,5,719,567,0,0,39275585,197616,1790880027,0,567,3520,0,3,1,14,14,1307,0,3,1789525786,1754091408,53595661,106733707,106733707,1,3,1,0,5550152796,73389,73389,14,14,14,106733711,8,3,122645,599001,895081,14927,1789525786,584587,38382146,1697
