timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
237707.27,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
239712.88,1,0,0,20886,1374890292,0,0,0,0,1,1,9827,117,630,124240,19,1950,16,12,130104650,1262,1,0,15,15,0,14,57,630,0,0,0,1992285,96,451540810,0,630,485,2,1,14,14,360,0,1,452755652,405354237,1993610,30932487,30932487,1,2,1,0,1360308532,73389,73389,14,14,14,30916103,4,3,396851,126373,791200,3472,452755652,124240,1201176,1927
241726.74,1,253952,62,38583,2541063798,25,26524853,0,58,32,32,9827,120,675,243547,19,6656,47,44,140299886,1352,1,0,46,46,24,14,187,675,0,0,0,6402261,1223799,794257515,0,675,511,2,1,14,14,360,0,1,797571888,746699036,50983340,57381791,57398175,1,2,1,0,2524798804,73389,73389,14,14,14,57381791,4,3,507859,250293,1169578,6104,797571888,243547,5232912,2062
243732.37,1,253952,62,50189,3305921846,30,32661652,0,82,32,32,9827,122,675,305125,19,9932,47,44,140830790,1352,1,0,46,46,24,14,187,675,0,0,0,8975281,1313980,1021110534,0,675,511,2,1,14,14,360,0,1,1021180720,970211494,60083073,74779823,74779823,1,2,1,0,3290312212,73389,73389,14,14,14,74779823,4,3,508510,313390,1246643,7810,1021180720,305125,7728932,2062
245737.56,1,253952,62,61663,4062129142,30,34511354,0,115,32,32,9827,124,675,362672,19,13169,47,44,141096242,1352,1,0,46,46,24,14,187,675,0,0,0,11386029,1316363,1241132877,0,675,511,2,1,14,14,360,0,1,1241905968,1191315581,64360090,91956671,91956671,1,2,1,0,4046093524,73389,73389,14,14,14,91956671,4,3,512688,372291,1315776,9494,1241905968,362672,10070632,2062
247752.14,1,253952,62,75457,4970910862,30,36320067,0,144,36,36,9827,126,675,475809,19,17042,47,44,141361694,1352,1,0,46,50,24,14,187,675,0,0,0,15030180,2276847,1506409122,0,675,511,2,1,14,14,360,0,1,1507326768,1457019045,71343646,112618993,112618993,1,2,1,0,4955235692,73389,73389,14,14,14,112618993,4,3,536846,487606,1499015,11519,1507326768,475809,13531659,2062
249763.94,1,253952,62,90017,5930158610,32,40470878,0,190,38,38,9827,128,675,596818,19,21125,47,44,141627146,1352,1,0,46,52,24,14,187,675,0,0,0,19021067,3528212,1787159269,0,675,511,2,1,14,14,360,0,1,1787820848,1737368867,81480263,134409652,134426036,1,2,1,0,5914024688,73389,73389,14,14,14,134409652,4,3,556921,610998,1686068,13659,1787820848,596818,17335616,2062
251775.48,1,253952,62,105344,6940203374,34,46555498,0,234,38,38,9827,131,675,718268,19,25471,47,44,142158050,1352,1,0,46,52,24,14,187,675,0,0,0,23119530,4671832,2081948463,0,675,511,2,1,14,14,360,0,1,2082601776,2032743488,93787684,157359257,157375641,1,2,1,0,6923807308,73389,73389,14,14,14,157359257,4,3,566130,734867,1836078,15908,2082601776,718268,21284216,2062
253783.21,1,253952,62,120925,7966894282,35,49752493,0,282,39,39,9827,133,675,844602,19,29828,47,44,142423502,1352,1,0,46,53,24,14,187,675,0,0,0,27276572,5659471,2382103219,0,675,511,2,1,14,14,360,0,1,2382756656,2332788771,102433854,180710270,180710270,1,2,1,0,7951251880,73389,73389,14,14,14,180710270,4,3,576466,863736,2028411,18198,2382756656,844602,25249056,2062
255788.57,1,253952,62,132287,8715496094,37,53168136,0,302,39,39,9827,135,675,895757,19,33036,47,44,142688954,1352,1,0,46,53,24,14,187,675,0,0,0,29599334,5683898,2600948443,0,675,511,2,1,14,14,360,0,1,2601122608,2551596546,108456913,197725437,197725437,1,2,1,0,8699198332,73389,73389,14,14,14,197709053,4,3,576540,916216,2090610,19864,2601122608,895757,27509704,2062
