timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
877098.51,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
879102.88,0,253952,62,10705,704434588,0,1588778,0,37,3,3,4886,118,558,58629,0,11,4176,12,11,96084639,1118,1,0,4,640,13177567,6,52710268,11,17,0,8,333,558,0,0,4202234,97,258262968,0,558,441,0,3,1,14,14,1101,0,3,258366702,224643906,5791795,13366297,13366297,1,3,1,0,695047476,73389,73389,14,14,14,13366301,6,3,80805,60240,193715,2188,258366702,58629,4008674,1225
881107.97,0,253952,62,21877,1440355306,0,3333932,0,81,4,4,4886,216,558,109715,0,11,8600,13,11,97954869,1118,1,0,4,640,27141236,6,108564944,12,18,0,8,339,558,0,0,8507175,193,486135970,0,558,441,0,3,1,14,14,1101,0,3,487052173,456114152,11837629,27528933,27528933,1,3,1,0,1431504548,73389,73389,14,14,14,27528937,6,3,86232,112891,246422,4143,487052173,109715,8261059,1225
883112.29,0,253952,62,33009,2173757728,1,6025099,0,135,4,4,4886,255,576,161603,0,11,12949,13,11,103450276,1154,1,0,4,640,41019982,6,164015276,12,18,0,8,339,576,0,0,12834036,257,713943156,0,576,447,0,3,1,14,14,1101,0,3,714652874,687158748,18831778,41621715,41621715,1,3,1,0,2164329212,73389,73389,14,14,14,41621719,6,3,90692,166251,300428,5973,714652874,161603,12534064,1269
885117.00,0,253952,62,43990,2897474786,1,7792715,0,180,4,4,4886,349,585,216383,0,11,17293,13,11,106819802,1172,1,0,4,640,54715205,6,218748580,12,18,0,8,339,585,0,0,17131124,416,949282863,0,585,453,0,3,1,14,14,1101,0,3,949576914,915334062,24921046,55528240,55528240,1,3,1,0,2887468512,73389,73389,14,14,14,55528244,6,3,94811,222752,370470,7965,949576914,216383,16761266,1294
887121.68,0,253952,62,54865,3612133478,1,9552905,0,220,4,4,4886,387,594,270119,0,11,21532,13,11,109539951,1190,1,0,4,640,68231241,6,272924964,12,18,0,8,339,594,0,0,21388890,478,1176079789,0,594,459,0,3,1,14,14,1101,0,3,1175566452,1140258546,30937024,69269654,69269654,1,3,1,0,3602022040,73389,73389,14,14,14,69269658,6,3,99159,278027,431523,9782,1175566452,270119,20958130,1316
889126.12,0,253952,62,65613,4321171882,1,11353989,0,252,4,4,4886,480,594,321701,0,11,25780,13,11,111735963,1190,1,0,4,640,81655254,6,326491868,12,18,0,8,339,594,0,0,25543714,541,1395644263,0,594,459,0,3,1,14,14,1101,0,3,1395247019,1364074755,36814361,82868757,82868757,1,3,1,0,4309175396,73389,73389,14,14,14,82868761,6,3,104677,331132,484373,11651,1395247019,321701,25060244,1316
891130.48,0,253952,62,77145,5080733824,3,14936416,0,309,6,6,4886,523,603,382478,0,11,30281,15,11,115095794,1208,1,0,4,640,96022972,6,384027348,14,20,1,8,349,603,0,0,30119631,3515,1642833699,0,603,468,0,3,1,14,14,1101,0,3,1642659724,1602977300,45052918,97490145,97490145,1,3,1,0,5069487572,73389,73389,14,14,14,97490149,6,3,113251,393570,560393,13659,1642659724,382478,29560307,1337
893135.01,0,253952,62,88394,5821231406,3,16536284,0,372,6,6,4886,617,630,438211,0,11,34749,15,11,121981090,1262,1,0,4,640,110087163,6,440348652,14,20,1,8,349,630,0,0,34523267,3591,1876812033,0,630,482,0,3,1,14,14,1101,0,3,1876084348,1836543539,51053779,111705807,111705807,1,3,1,0,5808701996,73389,73389,14,14,14,111705811,6,3,116389,450976,638488,15639,1876084348,438211,33886000,1404
895139.12,0,253952,62,99710,6566010140,3,18185321,0,429,6,6,4886,710,630,493935,0,11,39198,15,11,123272152,1262,1,0,4,640,124137679,6,496550716,14,20,1,8,349,630,0,0,38878541,3674,2114199804,0,630,482,0,3,1,14,14,1101,0,3,2113736744,2071636842,57056934,125973224,125973224,1,3,1,0,6550607680,73389,73389,14,14,14,125973228,6,3,118314,508370,700504,17661,2113736744,493935,38179416,1404
