event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,0,39213,39213,Total time spent analyzing index of patch parts
ArenaAllocBytes,0,23068672,23068672,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,0,5632,5632,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,155,155,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,1128,13337,12209,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,1,107,106,Time spent resetting task for Common executor.
CompileExpressionsBytes,0,16384,16384,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,0,99506,99506,Total time spent for compilation of expressions to LLVM code.
CompileFunction,0,2,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,95,38582963,38582868,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,2605781,2541848492301,2541845886520,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,0,8116,8116,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,0,9298570773,9298570773,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,0,184822,184822,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,0,8116,8116,Total number of CPU slots acquired
ConcurrencyControlUpscales,0,8116,8116,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,0,4172920789,4172920789,Total time a query was waiting on resource requests for CPU slots.
ContextLock,1038,156689,155651,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,4,9834,9830,Context lock wait time in microseconds
CreatedReadBufferOrdinary,300,88616,88316,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,93367,514302146,514208779,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,8,8,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,0,3081752,3081752,Number of dequeues invoked at all FairPolicyNodes
FileOpen,357,1063,706,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,0,10586,10586,Time spent filtering parts by PK.
FunctionExecute,0,13114627,13114627,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,668,1238,570,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,2731650,4525688,1794038,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,705,6406,5701,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,94,106382,106288,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,33551,491701,458150,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,1,33,32,Number of created server HTTP connections
HTTPServerConnectionsExpired,0,17,17,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,0,88,88,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,0,1,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,0,72,72,Number of reused server HTTP connections
IOBufferAllocBytes,21191413,18349120687,18327929274,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,420,177958,177538,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,1,90,89,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,250,95871,95621,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,0,108955,108955,Number of bytes sent through HTTP interfaces
JoinBuildTableRowCount,0,180,180,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,0,144798,144798,Total time spent executing JOIN plan optimizations.
