event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,7128,17555,10427,Total time spent analyzing index of patch parts
ArenaAllocBytes,1900544,3801088,1900544,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,464,928,464,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,1332991,1332991,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,56,56,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,4,4,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,56,56,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,300,464,164,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,1832141,2262103,429962,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,47,69,22,Time spent resetting task for Common executor.
CompileExpressionsBytes,24576,24576,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,46136,46136,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,3,3,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,6634667,13212945,6578278,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,429880762151,859688822097,429808059946,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,419,419,0,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,27,44,17,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,27,44,17,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlWaitMicroseconds,107992496,107992496,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,29389,54717,25328,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,291,745,454,Context lock wait time in microseconds
CreatedReadBufferOrdinary,7504,13723,6219,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,123943171,283957037,160013866,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,23463,42042,18579,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,464,464,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,1449,1824,375,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,117,228,111,Time spent filtering parts by PK.
FunctionExecute,2224117,4432844,2208727,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,759,864,105,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,6128789,7719911,1591122,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,1338,1949,611,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,2863,16818,13955,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,129329,428031,298702,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,10,19,9,Number of created server HTTP connections
HTTPServerConnectionsExpired,2,3,1,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,15,30,15,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,2,3,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,15,30,15,Number of reused server HTTP connections
HardPageFaults,4,4,0,"The number of hard page faults in query execution threads. High values indicate either that you forgot to turn off swap on your server, or eviction of memory pages of the ClickHouse binary during very high memory pressure, or successful usage of the 'mmap' read method for the tables data."
IOBufferAllocBytes,1572900369,2978796716,1405896347,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,15450,28553,13103,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,18,34,16,"Same as Query, but only counts initial queries (see is_initial_query)."
InsertedBytes,3367556,5506072,2138516,Number of bytes (uncompressed; for columns as they stored in memory) INSERTed to all tables.
InsertedCompactParts,27,44,17,Number of parts inserted in Compact format.
InsertedRows,274,448,174,Number of rows INSERTed to all tables.
InterfaceHTTPReceiveBytes,16247,31537,15290,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,52189,89060,36871,Number of bytes sent through HTTP interfaces
JoinBuildTableRowCount,28,56,28,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,11098,27704,16606,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,4141195443,8282390886,4141195443,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,36,79,43,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,16564781772,33129563544,16564781772,Total number of rows in the result of a JOIN operation.
LoadedDataParts,21,21,0,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,1663750,1663750,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,1126293,1284959,158666,Number of marks loaded (total across columns).
LoadedMarksFiles,80,98,18,Number of mark files loaded.
LoadedMarksMemoryBytes,4187592,4455816,268224,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,5257584893,13138027570,7880442677,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,729,1324,595,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,19053530,44127206,25073676,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,1047621,2094163,1046542,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,1859033,24812663,22953630,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,642,1207,565,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
