event,start_value,end_value,diff,description
AddressesDiscovered,40,40,0,Total count of new addresses in DNS resolve results for HTTP connections
AddressesExpired,24,24,0,Total count of expired addresses which is no longer presented in DNS resolve results for HTTP connections
AnalyzePatchRangesMicroseconds,1403,1575,172,Total time spent analyzing index of patch parts
ArenaAllocBytes,3653632,3907584,253952,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,656,718,62,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,184,184,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,145,145,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,145,145,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsynchronousReaderIgnoredBytes,10102667,12777441,2674774,Number of bytes ignored during asynchronous reading
AsynchronousRemoteReadWaitMicroseconds,74446,74446,0,Time spent in waiting for asynchronous remote reads.
CannotWriteToWriteBufferDiscard,2124,2124,0,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,8398173,8398173,0,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,121,121,0,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,20548,20548,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,8856483,9330452,473969,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,670416709320,701641476340,31224767020,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,766,827,61,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,1607,1616,9,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,1607,1616,9,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ContextLock,115986,119525,3539,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,394,410,16,Context lock wait time in microseconds
CreatedReadBufferDirectIO,4113,5184,1071,Number of times a read buffer with O_DIRECT was created for reading data (while choosing among other read methods).
