timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5037.44,6,262144,64,25890,1706066124,64,39,117,0,585,408340,6,3663,67,124484256,1172,1,66,4249,821654,2,181952,585,4558225,15068825,550632843,585,1008,2,1,2,2,833,1,548184476,501982728,26295063,38426835,38443219,2,1,1690780740,73389,73389,2,2,2,38426835,12,3,199487,11848453,1025700,35042,4184,548184476,373298,3531540,6007
10064.12,6,262144,64,32111,2116154648,64,39,118,0,585,494107,6,5412,67,124749708,1172,1,66,5164,992162,2,181952,585,6904460,20129636,670986259,585,1008,2,1,2,2,833,1,667984284,621891103,69023885,47738092,47754476,2,1,2100476048,73389,73389,2,2,2,47738092,12,3,208289,14534400,1127540,38877,5098,667984284,455230,5775314,6007
15099.76,6,262144,64,37757,2488029068,64,39,119,0,585,568740,6,7008,67,124749708,1172,1,66,5993,1136264,2,181952,585,8900142,24800041,780154003,585,1008,2,1,2,2,833,1,776642972,730562628,116587670,56193507,56209891,2,1,2472514308,73389,73389,2,2,2,56193507,12,3,213511,17255471,1216795,42469,5927,776642972,526271,7682055,6007
20159.20,6,262144,64,42919,2828184064,64,39,119,0,585,637710,6,8415,67,124749708,1172,1,66,6752,1370707,2,181952,585,10332643,29798312,880111871,585,1008,2,1,2,2,833,1,876126620,830025760,150225456,63919834,63936218,2,1,2812472696,73389,73389,2,2,2,63919834,12,3,218392,20287042,1289240,45849,6686,876126620,591861,9041996,6007
25182.28,6,262144,64,49112,3236437580,64,39,121,0,585,719622,6,10212,67,125280612,1172,1,66,7664,1567609,2,181952,585,12609970,35150570,1000194366,585,1008,2,1,2,2,833,1,995664284,949467052,209124530,73206515,73206515,2,1,3220365764,73389,73389,2,2,2,73190131,12,3,227209,23214191,1396849,49656,7598,995664284,669966,11216348,6007
30192.45,6,262144,64,56287,3709059514,64,39,122,0,585,815291,6,12227,67,125280612,1172,1,66,8714,1723710,2,181952,585,14949384,40087666,1138445576,585,1008,2,1,2,2,833,1,1133289884,1087578400,233342696,83951372,83951372,2,1,3693860368,73389,73389,2,2,2,83951372,12,3,229757,25698377,1493137,57706,8648,1133289884,757585,13455176,6007
35202.37,6,262144,64,82952,5465867774,64,39,126,0,585,1051818,6,19716,67,125811516,1172,1,66,12631,1789992,2,181952,585,22098665,42887088,1653858324,585,1008,2,1,2,2,833,1,1646698908,1601183063,330072415,123877343,123877343,2,1,5450603092,73389,73389,2,2,2,123877343,12,3,253849,27250694,1698654,75196,12565,1646698908,976622,20399372,6007
40284.38,6,262144,64,89547,5900732214,64,39,127,1,585,1136482,6,21570,67,126076968,1172,1,66,13602,1965311,2,181952,585,23835045,47437230,1781842276,585,1008,2,1,2,2,833,1,1774100892,1728268044,349536735,133751689,133768073,2,1,5885074316,73389,73389,2,2,2,133751689,12,3,255574,30177846,1770187,79045,13537,1774100892,1057437,22064469,6007
45325.95,6,262144,64,94414,6221529958,64,39,128,1,585,1203654,6,22953,67,126318288,1172,1,66,14315,2263984,2,181952,585,25333614,52415531,1875746590,585,1008,2,1,2,2,833,1,1867555228,1821998030,434661180,141043840,141060224,2,1,6205928960,73389,73389,2,2,2,141043840,12,3,260367,33162395,1845678,83185,14250,1867555228,1120469,23486954,6007
50366.77,6,262144,64,98928,6518952174,64,39,129,1,585,1266363,6,24239,67,126571674,1172,1,66,14982,2530348,2,181952,585,26815064,57449322,1963459937,585,1008,2,1,2,2,833,1,1954849180,1908955746,456942486,147813862,147813862,2,1,6503809928,73389,73389,2,2,2,147813862,12,3,263485,36288119,1922864,86175,14916,1954849180,1180188,24891464,6007
55399.94,6,262144,64,103077,6792453750,64,39,130,1,585,1320740,6,25425,67,126837126,1172,1,66,15591,2809536,2,181952,585,28922861,63456045,2043673811,585,1008,2,1,2,2,833,1,2034672028,1988873187,546261075,154018636,154035020,2,1,6776819984,73389,73389,2,2,2,154018636,12,3,267172,39581252,2004036,88913,15525,2034672028,1231827,26918121,6007
60413.04,6,262144,64,107179,7062875134,64,39,130,1,585,1376620,6,26544,67,126837126,1172,1,66,16195,3058178,2,181952,585,29899862,67981670,2123220105,585,1008,2,1,2,2,833,1,2113839516,2067950792,570598652,160166066,160182450,2,1,7047306904,73389,73389,2,2,2,160166066,12,3,267681,42617156,2063951,91645,16129,2113839516,1284975,27834072,6007
65474.63,6,262144,64,112573,7417969030,64,39,131,1,585,1447979,6,28071,67,126837126,1172,1,66,16985,3276948,2,181952,585,32973487,73883377,2227250160,585,1008,2,1,2,2,833,1,2217386396,2171723203,668001927,168238616,168255000,2,1,7402499104,73389,73389,2,2,2,168238616,12,3,272019,45500190,2173036,94891,16919,2217386396,1353088,30798284,6007
70489.84,6,262144,64,118914,7835921874,64,39,132,1,585,1532532,6,29853,67,127102578,1172,1,66,17915,3445866,2,181952,585,35355933,79277439,2349709529,585,1008,2,1,2,2,833,1,2339283356,2293925116,735191176,177746481,177746481,2,1,7820845164,73389,73389,2,2,2,177746481,12,3,277569,48033090,2266842,102580,17849,2339283356,1429952,33087053,6007
75536.86,6,262144,64,125684,8281989662,64,39,133,1,585,1622392,6,31758,67,127102578,1172,1,66,18910,3582650,2,181952,585,37404901,83959568,2480857649,585,1008,2,1,2,2,833,1,2469831068,2424270575,766382157,187885130,187901514,2,1,8266945720,73389,73389,2,2,2,187885130,12,3,282313,50617287,2362944,106934,18845,2469831068,1515458,35040085,6007
80575.75,6,262144,64,131552,8668678526,64,39,134,1,585,1701055,6,33411,67,127368030,1172,1,66,19773,3757488,2,181952,585,39724383,89082426,2594497030,585,1008,2,1,2,2,833,1,2582946204,2537327437,800431902,196666066,196682450,2,1,8653306904,73389,73389,2,2,2,196666066,12,3,287429,53305941,2465716,110367,19708,2582946204,1590688,37256634,6007
85619.77,6,262144,64,136362,8985499398,64,39,135,1,585,1767416,6,34776,67,127368030,1172,1,66,20478,4017335,2,181952,585,41699028,94500130,2687215422,585,1008,2,1,2,2,833,1,2675220892,2630024154,877966364,203870264,203870264,2,1,8969570720,73389,73389,2,2,2,203853880,12,3,292638,56587928,2552243,113721,20412,2675220892,1653695,39144510,6007
90707.51,6,262144,64,140734,9273615502,64,39,136,1,585,1827110,6,36024,67,127621416,1172,1,66,21122,4402110,2,181952,585,43112008,99799641,2772161744,585,1008,2,1,2,2,833,1,2759762332,2714178695,915949080,210410910,210427294,2,1,9258080040,73389,73389,2,2,2,210410910,12,3,296411,60102269,2619740,116466,21057,2759762332,1710644,40490215,6007
95762.36,6,262144,64,145463,9585393410,64,39,137,1,585,1907257,6,37370,67,127886868,1172,1,66,21819,4726539,2,181952,585,45105320,106009577,2863823127,585,1008,2,1,2,2,833,1,2850988444,2805348221,964124718,217506453,217506453,2,1,9570283932,73389,73389,2,2,2,217506453,12,3,299689,63535674,2700168,135157,21753,2850988444,1772100,42403335,6007
101151.25,6,262144,64,150127,9892646026,64,39,137,1,585,1969649,6,38640,67,127886868,1172,1,66,22503,5170478,2,181952,585,46793662,112324146,2953901703,585,1008,2,1,2,2,833,1,2940641692,2895153390,1002419110,224489467,224489467,2,1,9877536548,73389,73389,2,2,2,224489467,12,3,302817,67480656,2767197,138091,22437,2940641692,1831558,44024869,6007
106826.10,6,262144,64,154055,10151398694,64,39,138,1,585,2025921,6,39766,67,127886868,1172,1,66,23079,5455787,2,181952,585,47928206,117780744,3029763394,585,1008,2,1,2,2,833,1,3016139164,2970784152,1029266568,230360528,230376912,2,1,10135863232,73389,73389,2,2,2,230360528,12,3,303963,71127318,2820539,141385,23013,3016139164,1884536,45106244,6007
111870.84,6,262144,64,158393,10437286574,64,39,139,1,585,2088085,6,41006,67,128152320,1172,1,66,23716,5693047,2,181952,585,49826714,124151334,3113655947,585,1008,2,1,2,2,833,1,3099632028,3054331710,1164675246,236868406,236868406,2,1,10422209864,73389,73389,2,2,2,236868406,12,3,305218,75296493,2884535,144241,23650,3099632028,1943844,46940786,6007
117284.53,6,262144,64,162657,10718059338,64,39,140,1,585,2145755,6,42224,67,128152320,1172,1,66,24344,5943812,2,181952,585,51329729,129838967,3196491386,585,1008,2,1,2,2,833,1,3182076316,3136456499,1216939327,243247371,243247371,2,1,10702884324,73389,73389,2,2,2,243247371,12,3,306151,78811234,2944252,147153,24279,3182076316,1998602,48384538,6007
122321.66,6,262144,64,166661,10982058194,64,39,140,1,585,2200379,6,43314,67,128152320,1172,1,66,24930,6228088,2,181952,585,52654083,135584181,3273540651,585,1008,2,1,2,2,833,1,3258753436,3213622848,1252598161,249247345,249247345,2,1,10966883180,73389,73389,2,2,2,249247345,12,3,307010,82639841,2998877,149640,24864,3258753436,2050739,49654586,6007
127362.74,6,262144,64,171055,11271616090,64,39,141,1,585,2260174,6,44564,67,128417772,1172,1,66,25576,6567016,2,181952,585,54440816,141590667,3358745511,585,1008,2,1,2,2,833,1,3343557020,3298222963,1655909129,255820759,255837143,2,1,11256113396,73389,73389,2,2,2,255820759,12,3,310987,86293006,3064493,152717,25511,3343557020,2107457,51375740,6007
132377.37,6,262144,64,175674,11575919586,64,39,142,1,585,2319653,6,45878,67,128417772,1172,1,66,26255,6805894,2,181952,585,56012639,147404236,3448167859,585,1008,2,1,2,2,833,1,3432554908,3387161028,2009260618,262746429,262746429,2,1,11560842876,73389,73389,2,2,2,262746429,12,3,313283,89571343,3130190,155528,26190,3432554908,2164125,52882409,6007
137390.36,6,262144,64,180864,11917909590,64,39,143,1,585,2382673,6,47352,67,128683224,1172,1,66,27018,7094199,2,181952,585,57655255,152299044,3548517556,585,1008,2,1,2,2,833,1,3532431772,3487178209,2037916387,270505524,270521908,2,1,11902243056,73389,73389,2,2,2,270505524,12,3,316726,92469417,3195853,158574,26953,3532431772,2224099,54459428,6007
142433.76,6,262144,64,185889,12249086154,64,39,143,1,585,2445255,6,48723,67,128683224,1172,1,66,27758,7321921,2,181952,585,59026854,157177773,3645966833,585,1008,2,1,2,2,833,1,3629425052,3583923940,2066093348,278035243,278051627,2,1,12233550692,73389,73389,2,2,2,278035243,12,3,318752,95601104,3262899,162863,27692,3629425052,2282392,55763605,6007
148278.37,6,262144,64,190674,12564534078,64,39,144,1,585,2505396,6,50082,67,128948676,1172,1,66,28460,7621793,2,181952,585,60224252,163349449,3738426618,585,1008,2,1,2,2,833,1,3721437596,3676188100,2101734466,285196322,285212706,2,1,12548638168,73389,73389,2,2,2,285196322,12,3,319167,99111375,3324377,165865,28394,3721437596,2339531,56899781,6007
153345.22,6,262144,64,195442,12878336986,64,39,145,1,585,2566818,6,51434,67,128948676,1172,1,66,29159,7821130,2,181952,585,62021029,168957196,3830480074,585,1008,2,1,2,2,833,1,3813056924,3767898298,2149117322,292345335,292345335,2,1,12862473844,73389,73389,2,2,2,292328951,12,3,319710,102088365,3389706,168733,29093,3813056924,2398085,58631113,6007
158378.79,6,262144,64,199689,13158526542,64,39,146,1,585,2620318,6,52650,67,129214128,1172,1,66,29784,8023269,2,181952,585,63486054,174904165,3912796356,585,1008,2,1,2,2,833,1,3894976924,3849838328,2353799465,298695406,298711790,2,1,13142597864,73389,73389,2,2,2,298695406,12,3,320702,105363451,3440751,171416,29718,3894976924,2448902,60044796,6007
164069.95,6,262144,64,204064,13446573802,64,39,147,2,585,2676600,6,53901,67,129214128,1172,1,66,30424,8415530,2,181952,585,65356432,181517082,3997215554,585,1008,2,1,2,2,833,1,3978994076,3933935286,2411075713,305254595,305270979,2,1,13431202180,73389,73389,2,2,2,305254595,12,3,323233,109563184,3501417,174259,30359,3978994076,2502341,61854042,6007
170780.07,6,262144,64,208539,13741440114,64,39,147,2,585,2747390,6,55122,67,129214128,1172,1,66,31082,8766563,2,181952,585,66672762,188292797,4083742740,585,1008,2,1,2,2,833,1,4065108380,4020227842,2468498897,311959081,311975465,2,1,13726199564,73389,73389,2,2,2,311959081,12,3,324354,114486784,3560414,188524,31016,4065108380,2558866,63111146,6007
176488.22,6,262144,64,212538,14005111290,64,39,148,2,585,2798919,6,56265,67,129479580,1172,1,66,31671,9273777,2,181952,585,68162430,194156651,4161307476,585,1008,2,1,2,2,833,1,4142309788,4097310259,2534938764,317942671,317959055,2,1,13989477524,73389,73389,2,2,2,317942671,12,3,325437,118751385,3612294,191100,31605,4142309788,2607819,64548800,6007
181525.35,6,262144,64,216873,14290537110,64,39,149,2,585,2877523,6,57501,67,129479580,1172,1,66,32305,9436574,2,181952,585,69441560,199315581,4244808623,585,1008,2,1,2,2,833,1,4225409436,4180777820,2551830338,324436324,324436324,2,1,14275198256,73389,73389,2,2,2,324436324,12,3,326481,122110773,3657594,219073,32239,4225409436,2658450,65781912,6007
186581.52,6,262144,64,221747,14611552286,64,39,149,2,585,2937002,6,58830,67,129479580,1172,1,66,33022,9777141,2,181952,585,70480118,204132561,4339232357,585,1008,2,1,2,2,833,1,4319388060,4274665166,2627697695,331730634,331730634,2,1,14595427000,73389,73389,2,2,2,331714250,12,3,327935,125182731,3712375,221876,32956,4319388060,2715126,66765360,6007
191638.45,6,262144,64,227663,15001652330,64,39,150,2,585,3006233,6,60500,67,129745032,1172,1,66,33894,9983536,2,181952,585,73150695,210887140,4454058683,585,1008,2,1,2,2,833,1,4433682844,4388625252,2880276585,340599523,340599523,2,1,14986379012,73389,73389,2,2,2,340599523,12,3,333856,128232588,3796932,225047,33828,4433682844,2781186,69350135,6007
196649.12,6,262144,64,246550,16246139458,64,39,154,2,585,3171315,6,65871,67,130275936,1172,1,66,36667,10052714,2,181952,585,79042306,217157272,4818992977,585,1008,2,1,2,2,833,1,4797145500,4752463355,3136841865,368873484,368889868,2,1,16230433296,73389,73389,2,2,2,368873484,12,3,349661,130381686,4001444,233001,36601,4797145500,2938314,75038846,6007
201681.84,6,262144,64,264720,17443564878,64,39,157,2,585,3333386,6,70991,67,130806840,1172,1,66,39337,10103990,2,181952,585,84422764,222671217,5170381022,585,1008,2,1,2,2,833,1,5147107740,5102443871,3181736931,396098869,396098869,2,1,17428350236,73389,73389,2,2,2,396098869,12,3,360371,132610926,4162156,240990,39271,5147107740,3092396,80259101,6007
206714.19,6,262144,64,270896,17850173378,64,39,158,2,585,3413007,6,72732,67,130806840,1172,1,66,40243,10268328,2,181952,585,86688784,228314799,5289812780,585,1008,2,1,2,2,833,1,5265990044,5221305143,3658918979,405340716,405357100,2,1,17834991504,73389,73389,2,2,2,405340716,12,3,363852,135330631,4255375,251715,40178,5265990044,3161292,82431873,6007
211757.97,6,262144,64,277684,18297686266,64,39,159,2,585,3491908,6,74637,67,131072292,1172,1,66,41241,10429528,2,181952,585,88864539,233339047,5421084829,585,1008,2,1,2,2,833,1,5396668828,5352127621,3890801402,415509974,415526358,2,1,18282438856,73389,73389,2,2,2,415509974,12,3,372980,138183794,4361900,255315,41175,5396668828,3236593,84501506,6007
216787.20,6,262144,64,284075,18718915910,64,39,160,2,585,3564847,6,76434,67,131337744,1172,1,66,42183,10526053,2,181952,585,91131830,239084747,5545121541,585,1008,2,1,2,2,833,1,5520138652,5475361634,3948814294,425075183,425091567,2,1,18703308052,73389,73389,2,2,2,425075183,12,3,376018,140729158,4450156,260251,42117,5520138652,3304596,86680704,6007
221899.82,6,262144,64,294274,19390768450,64,39,162,2,585,3671270,6,79326,67,131603196,1172,1,66,43679,10632158,2,181952,585,94747747,244599237,5742057730,585,1008,2,1,2,2,833,1,5716222364,5671740682,4204931678,440349772,440366156,2,1,19375389968,73389,73389,2,2,2,440349772,12,3,383472,143110397,4587822,269455,43613,5716222364,3401815,90158547,6007
