timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5057.44,6,262144,64,24547,1617785824,64,42,116,1,585,439320,11,3240,61,67,41103,124484256,1172,1,66,4055,2302628,2,126930,585,4611271,19884637,524860637,585,1161,2,1,2,2,749,1,1,522494364,476202233,36371164,36413762,36430146,2,1,1602205528,73389,73389,2,2,2,36413762,15,1,3,155099,16188597,960972,30238,3989,522494364,409082,3651897,179417
10171.55,6,262144,64,30106,1983958612,64,42,117,1,585,513814,11,4812,61,67,41103,124484256,1172,1,66,4870,2467778,2,126930,585,5840061,24385954,632310464,585,1161,2,1,2,2,749,1,1,629449116,583186185,60086286,44738105,44754489,2,1,1968476620,73389,73389,2,2,2,44738105,15,1,3,161315,19231092,1054892,33639,4804,629449116,480175,4787267,179417
15200.43,6,262144,64,35550,2342594760,64,42,118,1,585,604303,11,6351,61,67,41103,124749708,1172,1,66,5669,2735738,2,126930,585,7320467,29208918,737658352,585,1161,2,1,2,2,749,1,1,734306716,688115089,85818954,52890416,52906800,2,1,2327178304,73389,73389,2,2,2,52890416,15,1,3,162630,22067851,1123867,54344,5604,734306716,549959,6198808,179417
20210.91,6,262144,64,41798,2754187304,64,42,119,1,585,686228,11,8109,61,67,41103,124749708,1172,1,66,6587,2977539,2,126930,585,9522628,34171336,858399968,585,1161,2,1,2,2,749,1,1,854499740,808386659,188087546,62252984,62252984,2,1,2739131296,73389,73389,2,2,2,62252984,15,1,3,167940,24779835,1229224,58196,6521,854499740,628032,8295655,179417
25223.61,6,262144,64,49073,3233881676,64,42,121,1,585,779669,11,10163,61,67,41103,125280612,1172,1,66,7658,3080895,2,126930,585,11779659,38872971,999274897,585,1161,2,1,2,2,749,1,1,994746780,948665462,247147792,73140979,73157363,2,1,3218203076,73389,73389,2,2,2,73140979,15,1,3,170639,27218290,1336514,62483,7592,994746780,717186,10445250,179417
30243.46,6,262144,64,76190,5020589726,64,42,125,1,585,1011050,11,17817,61,67,41103,125811516,1172,1,66,11639,3118962,2,126930,585,18557784,42031534,1523229616,585,1161,2,1,2,2,749,1,1,1516675484,1471001005,286391134,113744727,113761111,2,1,5004767988,73389,73389,2,2,2,113744727,15,1,3,191991,28766453,1516686,70121,11574,1516675484,940929,17043106,179417
35279.47,6,262144,64,82204,5416581394,64,42,126,1,585,1090032,11,19512,61,67,41103,125811516,1172,1,66,12521,3224681,2,126930,585,21575399,46722426,1639370495,585,1161,2,1,2,2,749,1,1,1632280988,1586777220,344644378,122757198,122757198,2,1,5400595816,73389,73389,2,2,2,122740814,15,1,3,195021,31538061,1605284,73872,12455,1632280988,1016160,19971686,179417
40582.17,6,262144,64,86886,5725279110,64,42,127,1,585,1153102,11,20844,61,67,41103,126076968,1172,1,66,13211,3558783,2,126930,585,22615451,51247520,1730237109,585,1161,2,1,2,2,749,1,1,1722720668,1677001054,397706058,129762629,129779013,2,1,5709555676,73389,73389,2,2,2,129762629,15,1,3,195846,34717301,1668472,76874,13145,1722720668,1076228,20948466,179417
45596.03,6,262144,64,91789,6048436150,64,42,128,1,585,1218508,11,22236,61,67,41103,126318288,1172,1,66,13930,3794721,2,126930,585,25267668,57534876,1824922103,585,1161,2,1,2,2,749,1,1,1816961436,1771397542,500412442,137120316,137120316,2,1,6033293904,73389,73389,2,2,2,137120316,15,1,3,201899,38073386,1772546,80059,13864,1816961436,1138449,23496425,179417
50628.58,6,262144,64,96466,6356540734,64,42,128,1,585,1281633,11,23512,61,67,41103,126318288,1172,1,66,14618,4073794,2,126930,585,27073522,63188438,1915529260,585,1161,2,1,2,2,749,1,1,1907138972,1861515360,522172064,144119714,144136098,2,1,6341267416,73389,73389,2,2,2,144119714,15,1,3,204233,41370536,1845278,83169,14552,1907138972,1198464,25228135,179417
