timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5036.58,262144,64,27509,1812699812,64,57,117,0,585,370559,2,4100,67,47,124484256,1172,1,66,4489,198141,2,13004,585,5425317,7486353,581915663,585,1612,2,1,2,2,472,1,579510684,533108950,25824999,40847349,40863733,2,1,1797283356,73389,73389,2,2,2,40847349,7,3,262807,4909431,1197516,14771,4423,579510684,355788,4227113,4364
10060.91,262144,64,32821,2162950660,64,57,118,0,585,443401,2,5602,67,47,124749708,1172,1,66,5267,483653,2,13004,585,6613275,12217189,684369005,585,1612,2,1,2,2,472,1,681484700,635615767,42594652,48792701,48809085,2,1,2146878844,73389,73389,2,2,2,48792701,7,3,266480,7977103,1260388,18278,5201,681484700,425123,5352233,4364
15316.22,262144,64,37587,2476622496,64,57,119,0,585,510728,2,6960,67,47,124749708,1172,1,66,5968,741201,2,13004,585,8679713,17982765,776689923,585,1612,2,1,2,2,472,1,773366172,727285825,85369923,55941714,55941714,2,1,2461435416,73389,73389,2,2,2,55941714,7,3,276649,11479421,1346731,21557,5902,773366172,489171,7332396,4364
20336.39,262144,64,42422,2795347220,64,57,119,0,585,575194,2,8272,67,47,124749708,1172,1,66,6678,996625,2,13004,585,10219696,23309175,870189213,585,1612,2,1,2,2,472,1,866427292,820427582,127221608,63176521,63192905,2,1,2779766924,73389,73389,2,2,2,63176521,7,3,282428,14827812,1430782,24764,6612,866427292,550430,8788187,4364
25401.33,262144,64,46648,3073895068,64,57,120,0,585,632757,2,9486,67,47,125015160,1172,1,66,7298,1230529,2,13004,585,11867349,28553640,951974621,585,1612,2,1,2,2,472,1,947823004,901864672,180891981,69504175,69520559,2,1,3058183700,73389,73389,2,2,2,69504175,7,3,286552,17959781,1502307,27545,7233,947823004,605212,10364223,4364
30435.51,262144,64,51785,3412411664,64,57,121,0,585,700141,2,10943,67,47,125280612,1172,1,66,8055,1349608,2,13004,585,13453633,33628643,1051532865,585,1612,2,1,2,2,472,1,1046913436,1000899787,274781135,77205926,77205926,2,1,3397060744,73389,73389,2,2,2,77205926,7,3,290975,20605525,1573763,30717,7989,1046913436,669424,11879647,4364
35545.99,262144,64,58326,3843483774,64,57,122,0,585,784271,2,12783,67,47,125280612,1172,1,66,9013,1532363,2,13004,585,15911493,38638645,1177806078,585,1612,2,1,2,2,472,1,1172611484,1126807723,318073770,87000511,87016895,2,1,3828022484,73389,73389,2,2,2,87000511,7,3,293167,23331414,1667911,34634,8948,1172611484,749637,14242240,4364
40557.99,262144,64,65176,4294794442,64,57,123,0,585,869677,2,14705,67,47,125546064,1172,1,66,10019,1654434,2,13004,585,18382693,43884398,1310133649,585,1612,2,1,2,2,472,1,1304338844,1258845882,349202667,97262040,97262040,2,1,4279529760,73389,73389,2,2,2,97262040,7,3,301319,25903813,1778793,38430,9953,1304338844,831247,16602658,4364
45622.80,262144,64,70992,4677809982,64,57,124,0,585,945562,2,16344,67,47,125546064,1172,1,66,10874,1836225,2,13004,585,19488724,48199406,1422856792,585,1612,2,1,2,2,472,1,1416536476,1370868765,362908362,105946831,105963215,2,1,4661660564,73389,73389,2,2,2,105946831,7,3,304410,28975277,1854098,42050,10809,1416536476,903512,17632608,4364
50660.44,262144,64,75384,4967502258,64,57,125,0,585,1004170,2,17598,67,47,125811516,1172,1,66,11522,2104584,2,13004,585,21154326,53813285,1508064423,585,1612,2,1,2,2,472,1,1501340060,1455421977,407840010,112542662,112559046,2,1,4951877128,73389,73389,2,2,2,112542662,7,3,311034,32087329,1935335,44778,11456,1501340060,959392,19217238,4364
