timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5169.21,2,262144,64,26201,1726447820,64,45,117,0,585,929837,3,3747,40,67,6907,116262,124484256,1172,1,66,4295,795697,2,174392,585,5061722,16546131,556555785,585,1009,2,1,2,2,757,1,554082716,507924295,40757955,38885587,38901971,2,1,1710965828,73389,73389,2,2,2,38885587,12,3,176935,12839173,1001229,24966,4229,554082716,904871,4060785,14202
10216.11,2,262144,64,32337,2130965784,64,45,118,0,585,1013067,3,5472,40,67,6907,116262,124749708,1172,1,66,5197,1082425,2,174392,585,6633341,21539092,675327170,585,1009,2,1,2,2,757,1,672309660,626271217,62437596,48082156,48082156,2,1,2114893968,73389,73389,2,2,2,48065772,12,3,178745,15794113,1076847,32878,5131,672309660,980189,5557201,14202
15258.49,2,262144,64,36950,2434876064,64,45,118,0,585,1075173,3,6732,40,67,6907,116262,124749708,1172,1,66,5876,1273210,2,174392,585,8294487,26853753,764747871,585,1009,2,1,2,2,757,1,761307548,715055850,90826605,54983250,54999634,2,1,2419263000,73389,73389,2,2,2,54983250,12,3,184223,19009037,1162916,35823,5810,761307548,1039350,7132838,14202
20315.12,2,262144,64,41563,2738786344,64,45,119,0,585,1134651,3,8046,40,67,6907,116262,124749708,1172,1,66,6552,1489614,2,174392,585,9645627,31837850,853770685,585,1009,2,1,2,2,757,1,849912220,803886800,145832835,61892536,61908920,2,1,2723271584,73389,73389,2,2,2,61892536,12,3,191230,22235719,1248742,38776,6487,849912220,1095875,8397943,14202
25343.72,2,262144,64,46393,3057183388,64,45,120,0,585,1201837,3,9417,40,67,6907,116262,125015160,1172,1,66,7261,1845507,2,174392,585,10957992,36835429,947267142,585,1009,2,1,2,2,757,1,942973340,896986166,235889862,69127343,69143727,2,1,3041603092,73389,73389,2,2,2,69127343,12,3,193120,25423769,1324990,41510,7196,942973340,1160327,9634244,14202
30389.42,2,262144,64,50409,3321715290,64,45,121,0,585,1255754,3,10566,40,67,6907,116262,125280612,1172,1,66,7852,2283122,2,174392,585,11966102,41744989,1024972771,585,1009,2,1,2,2,757,1,1020305820,974416683,250960211,75129476,75145860,2,1,3305696944,73389,73389,2,2,2,75129476,12,3,194002,29024010,1370686,44055,7786,1020305820,1211699,10596951,14202
35972.78,2,262144,64,54601,3598022848,64,45,121,0,585,1311810,3,11709,40,67,6907,116262,125280612,1172,1,66,8467,2652379,2,174392,585,13841441,48756104,1105969853,585,1009,2,1,2,2,757,1,1100915100,1055162081,295501139,81424362,81424362,2,1,3581951032,73389,73389,2,2,2,81407978,12,3,196060,33220684,1445932,46692,8401,1100915100,1265118,12397204,14202
41044.17,2,262144,64,58121,3829783442,64,45,122,0,585,1363107,3,12726,40,67,6907,116262,125280612,1172,1,66,8984,2959313,2,174392,585,14871568,53883893,1174060026,585,1009,2,1,2,2,757,1,1168679324,1122896496,309753166,86683182,86699566,2,1,3814060008,73389,73389,2,2,2,86683182,12,3,199125,36874257,1507237,48981,8918,1168679324,1314126,13366484,14202
46059.22,2,262144,64,61719,4067174682,64,45,123,0,585,1412855,3,13761,40,67,6907,116262,125546064,1172,1,66,9514,3280576,2,174392,585,16713332,59795187,1243861302,585,1009,2,1,2,2,757,1,1238147484,1192262056,392835923,92076948,92093332,2,1,4051385712,73389,73389,2,2,2,92076948,12,3,200895,40344093,1570072,53608,9448,1238147484,1359247,15144534,14202
51330.72,2,262144,64,65864,4340148662,64,45,123,0,585,1466936,3,14892,40,67,6907,116262,125546064,1172,1,66,10123,3623246,2,174392,585,18049926,65004651,1324065154,585,1009,2,1,2,2,757,1,1317970332,1272060329,415842816,98283881,98300265,2,1,4324490764,73389,73389,2,2,2,98283881,12,3,202927,43941135,1634895,56158,10057,1317970332,1410778,16417181,14202
