timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5162.63,8,262144,64,23666,1559517704,64,43,116,585,512542,18,2996,61,67,130237,124484256,1172,1,66,3924,2667756,2,257233,585,3662610,25468253,507776386,585,4836,2,1,2,2,957,1,505455004,459153704,34166575,35090976,35107360,2,1,1544002944,73389,73389,2,2,2,35090976,21,3,74854,22491784,573364,14689,3858,505455004,497853,3089485,18626
10194.19,8,262144,64,28452,1874765712,64,43,117,585,579506,18,4359,61,67,130237,124484256,1172,1,66,4626,2913351,2,257233,585,5104530,30698411,600220559,585,4836,2,1,2,2,957,1,597467548,551340232,59626468,42262406,42262406,2,1,1859545864,73389,73389,2,2,2,42262406,21,3,80282,25748675,647857,17985,4560,597467548,561521,4456643,18626
15233.21,8,262144,64,33069,2179203588,64,43,118,585,647453,18,5673,61,67,130237,124749708,1172,1,66,5305,3114123,2,257233,585,6222236,35464912,689640866,585,4836,2,1,2,2,957,1,686465436,640332208,103186262,49169533,49185917,2,1,2163459452,73389,73389,2,2,2,49169533,21,3,83297,28841125,712791,25338,5239,686465436,622115,5509561,18626
20272.29,8,262144,64,38580,2542230648,64,43,119,585,724626,18,7233,61,67,130237,124749708,1172,1,66,6112,3315512,2,257233,585,7982290,40381378,796041388,585,4836,2,1,2,2,957,1,792371612,746369885,141204850,57428340,57444724,2,1,2526846960,73389,73389,2,2,2,57428340,21,3,87219,31984699,799704,34713,6047,792371612,689913,7183635,18626
25300.61,8,262144,64,45361,2989019332,64,43,120,585,810572,18,9135,61,67,130237,125015160,1172,1,66,7111,3433434,2,257233,585,10201998,45744286,927447077,585,4836,2,1,2,2,957,1,923181468,877085823,199305724,67575181,67591565,2,1,2973307964,73389,73389,2,2,2,67575181,21,3,93501,34656088,894099,38456,7045,923181468,772116,9308031,18626
30340.96,8,262144,64,51718,3408020752,64,43,121,585,889834,18,10925,61,67,130237,125280612,1172,1,66,8046,3569523,2,257233,585,12603073,50604944,1050562992,585,4836,2,1,2,2,957,1,1045733788,999603361,273579293,77107622,77107622,2,1,3392735368,73389,73389,2,2,2,77107622,21,3,94473,37108529,967598,42018,7980,1045733788,847816,11635083,18626
35588.56,8,262144,64,56994,3755658918,64,43,122,585,959306,18,12418,61,67,130237,125280612,1172,1,66,8820,3854330,2,257233,585,15250282,56757170,1152491957,585,4836,2,1,2,2,957,1,1147183516,1101210936,342295754,85005981,85022365,2,1,3740263164,73389,73389,2,2,2,85005981,21,3,99295,40147198,1083906,45267,8754,1147183516,914039,14166432,18626
40662.13,8,262144,64,61467,4050394158,64,43,123,585,1016655,18,13690,61,67,130237,125546064,1172,1,66,9476,4007827,2,257233,585,17486099,66226894,1238885337,585,4836,2,1,2,2,957,1,1233166748,1187359292,412171840,91710467,91710467,2,1,4035260548,73389,73389,2,2,2,91710467,21,3,108905,43660505,1187829,48115,9410,1233166748,968540,16297880,18626
45702.53,8,262144,64,66027,4350831030,64,43,123,585,1078673,18,14937,61,67,130237,125546064,1172,1,66,10146,4373575,2,257233,585,18690448,71436067,1327119877,585,4836,2,1,2,2,957,1,1320984988,1275168961,446946014,98529641,98546025,2,1,4335304204,73389,73389,2,2,2,98529641,21,3,113920,47326789,1263374,50936,10080,1320984988,1027737,17426434,18626
50781.67,8,262144,64,70279,4630817362,64,43,124,585,1137862,18,16152,61,67,130237,125546064,1172,1,66,10771,4624461,2,257233,585,19589099,76122018,1409434534,585,4836,2,1,2,2,957,1,1402904988,1357096343,456598918,104892222,104908606,2,1,4615257768,73389,73389,2,2,2,104892222,21,3,115658,50769349,1307471,54144,10705,1402904988,1083718,18281307,18626
55926.71,8,262144,64,74445,4905433050,64,43,125,585,1194524,18,17338,61,67,130237,125811516,1172,1,66,11383,4908978,2,257233,585,21828872,83404842,1490033513,585,4836,2,1,2,2,957,1,1483121052,1437346117,610727352,111137956,111137956,2,1,4890070064,73389,73389,2,2,2,111137956,21,3,126640,54474497,1424942,56693,11317,1483121052,1137831,20404022,18626
61574.46,8,262144,64,78726,5187585378,64,43,125,585,1250996,18,18510,61,67,130237,125811516,1172,1,66,12011,5177317,2,257233,585,23254099,90689384,1572744325,585,4836,2,1,2,2,957,1,1565434268,1519787745,649037681,117547530,117555722,2,1,5172091320,73389,73389,2,2,2,117547530,21,3,129269,58656138,1484578,59539,11946,1565434268,1191457,21769988,18626
67391.87,8,262144,64,82804,5456168446,64,43,126,585,1307229,18,19675,61,67,130237,125811516,1172,1,66,12608,5449316,2,257233,585,24221228,96348600,1651507746,585,4836,2,1,2,2,957,1,1643815324,1598326590,666645900,123647967,123664351,2,1,5440510548,73389,73389,2,2,2,123647967,21,3,130214,62635455,1543140,62677,12543,1643815324,1244552,22678274,18626
72672.91,8,262144,64,87152,5742711686,64,43,127,585,1366403,18,20910,61,67,130237,126076968,1172,1,66,13251,5810587,2,257233,585,26344467,104476447,1736052890,585,4836,2,1,2,2,957,1,1727963548,1682101172,719134426,130155845,130172229,2,1,5726857180,73389,73389,2,2,2,130155845,21,3,131172,66601621,1602954,66455,13185,1727963548,1299948,24741647,18626
77896.16,8,262144,64,91163,6007145162,64,43,128,585,1418653,18,22067,61,67,130237,126318288,1172,1,66,13839,6123863,2,257233,585,27638131,111351748,1813491165,585,4836,2,1,2,2,957,1,1805033884,1759364707,813939608,136180395,136180395,2,1,5991937380,73389,73389,2,2,2,136180395,21,3,133590,70284179,1669359,68872,13773,1805033884,1349781,25968120,18626
82937.44,8,262144,64,95063,6264062822,64,43,128,585,1467022,18,23128,61,67,130237,126318288,1172,1,66,14410,6452631,2,257233,585,28802579,116723587,1888828994,585,4836,2,1,2,2,957,1,1880007068,1834427165,837582353,142010496,142026880,2,1,6248461824,73389,73389,2,2,2,142010496,21,3,134133,73803013,1721522,71232,14345,1880007068,1395790,27080587,18626
88028.24,8,262144,64,99111,6530945262,64,43,129,585,1526360,18,24288,61,67,130237,126571674,1172,1,66,15008,6583490,2,257233,585,30581541,122137102,1967456527,585,4836,2,1,2,2,957,1,1958257052,1912458107,890952855,148076006,148092390,2,1,6515344264,73389,73389,2,2,2,148076006,21,3,135357,76943074,1775679,79674,14943,1958257052,1446686,28805603,18626
93066.83,8,262144,64,104651,6896138318,64,43,130,585,1594445,18,25854,61,67,130237,126837126,1172,1,66,15821,6757976,2,257233,585,32482294,127564067,2074514526,585,4836,2,1,2,2,957,1,2064818588,2019208834,972906184,156373614,156389998,2,1,6880439016,73389,73389,2,2,2,156373614,21,3,136056,80061138,1843402,82783,15755,2064818588,1511662,30638976,18626
98284.00,8,262144,64,109135,7191594454,64,43,131,585,1650975,18,27134,61,67,130237,126837126,1172,1,66,16480,7047848,2,257233,585,34520900,133335561,2161302270,585,4836,2,1,2,2,957,1,2151195036,2105548482,1083616343,163102676,163102676,2,1,7176517744,73389,73389,2,2,2,163102676,21,3,138807,83188470,1910110,85422,16415,2151195036,1565553,32611303,18626
103379.50,8,262144,64,113810,7499567966,64,43,131,585,1714430,18,28407,61,67,130237,126837126,1172,1,66,17166,7323396,2,257233,585,35684286,138076495,2251638962,585,4836,2,1,2,2,957,1,2241110428,2195602195,1105094278,170102074,170102074,2,1,7484491256,73389,73389,2,2,2,170102074,21,3,139164,87058331,1950815,88263,17100,2241110428,1626167,33734194,18626
108428.43,8,262144,64,118684,7820848594,64,43,132,585,1778835,18,29792,61,67,130237,127102578,1172,1,66,17881,7705435,2,257233,585,38502292,147548968,2345797333,585,4836,2,1,2,2,957,1,2334826908,2289545161,1263857072,177402417,177402417,2,1,7805706348,73389,73389,2,2,2,177402417,21,3,141149,90306674,2021108,91178,17815,2334826908,1687657,36482098,18626
113756.22,8,262144,64,123014,8105946734,64,43,133,585,1835309,18,31029,61,67,130237,127102578,1172,1,66,18519,8058477,2,257233,585,39713244,152734703,2429685380,585,4836,2,1,2,2,957,1,2418319772,2372776751,1309070111,183879686,183896070,2,1,8090706184,73389,73389,2,2,2,183879686,21,3,142168,93838056,2071341,93722,18453,2418319772,1741587,37642882,18626
119299.80,8,262144,64,127175,8380234742,64,43,134,585,1891444,18,32217,61,67,130237,127368030,1172,1,66,19129,8349217,2,257233,585,41563332,158901008,2510287036,585,4836,2,1,2,2,957,1,2498535836,2453027146,1394559757,190109036,190125420,2,1,8364797584,73389,73389,2,2,2,190109036,21,3,144313,98004222,2118651,96405,19064,2498535836,1795039,39445750,18626
126202.51,8,262144,64,131867,8689322366,64,43,134,585,1957379,18,33490,61,67,130237,127368030,1172,1,66,19819,8613620,2,257233,585,43308013,168844070,2601027961,585,4836,2,1,2,2,957,1,2588844444,2543422947,1437957654,197141202,197141202,2,1,8673491992,73389,73389,2,2,2,197124818,21,3,144887,103155168,2189182,99375,19753,2588844444,1858004,41119532,18626
131639.04,8,262144,64,136112,8969115398,64,43,135,585,2015788,18,34709,61,67,130237,127368030,1172,1,66,20443,8978220,2,257233,585,45000545,176665908,2683206396,585,4836,2,1,2,2,957,1,2670633372,2625186824,1496425409,203493432,203493432,2,1,8953711008,73389,73389,2,2,2,203493432,21,3,145918,107097538,2262460,102079,20377,2670633372,1913709,42739224,18626
136686.95,8,262144,64,140891,9283904654,64,43,136,585,2078807,18,36068,61,67,130237,127621416,1172,1,66,21146,9442964,2,257233,585,45970792,181293586,2775787027,585,4836,2,1,2,2,957,1,2762776988,2717183070,1636235141,210656670,210656670,2,1,9268893480,73389,73389,2,2,2,210656670,21,3,146948,110401553,2308171,104941,21080,2762776988,1973866,43663878,18626
141748.21,8,262144,64,145947,9617378286,64,43,137,585,2142487,18,37500,61,67,130237,127886868,1172,1,66,21888,9744905,2,257233,585,48613876,187686016,2873503764,585,4836,2,1,2,2,957,1,2860032412,2814693246,1826507279,218233382,218233382,2,1,9601547912,73389,73389,2,2,2,218216998,21,3,152137,113483769,2395855,107719,21822,2860032412,2034768,46219350,18626
146758.24,8,262144,64,153054,10085531706,64,43,138,585,2221359,18,39495,61,67,130237,127886868,1172,1,66,22934,9986905,2,257233,585,50486898,193040091,3011221431,585,4836,2,1,2,2,957,1,2997133724,2951522489,1888230057,228863551,228879935,2,1,10069996244,73389,73389,2,2,2,228863551,21,3,153839,116329927,2474529,111096,22868,2997133724,2110263,48013610,18626
151776.47,8,262144,64,173814,11453491722,64,43,141,585,2403244,18,45321,61,67,130237,128417772,1172,1,66,25982,10031949,2,257233,585,57389362,199297135,3412467239,585,4836,2,1,2,2,957,1,3396772252,3351338353,2041530332,259957275,259973659,2,1,11438120100,73389,73389,2,2,2,259957275,21,3,167547,118328462,2661643,120195,25917,3396772252,2283049,54728825,18626
156853.55,8,262144,64,188298,12407758734,64,43,144,585,2533825,18,49436,61,67,130237,128948676,1172,1,66,28110,10134395,2,257233,585,61690504,204665837,3692410221,585,4836,2,1,2,2,957,1,3675562396,3630364299,2114383948,281649630,281649630,2,1,12392583720,73389,73389,2,2,2,281649630,21,3,187136,120550136,2853475,128960,28044,3675562396,2404865,58837682,18626
161951.27,8,262144,64,194864,12840457178,64,43,145,585,2607924,18,51278,61,67,130237,128948676,1172,1,66,29074,10290398,2,257233,585,63632405,209735837,3819468074,585,4836,2,1,2,2,957,1,3802046876,3756766147,2166152257,291476983,291493367,2,1,12824987252,73389,73389,2,2,2,291476983,21,3,192334,123518867,2935220,132158,29009,3802046876,2475766,60697677,18626
166980.14,8,262144,64,201126,13252979292,64,43,146,585,2679814,18,53043,61,67,130237,129214128,1172,1,66,29994,10510753,2,257233,585,65575746,215249467,3940605604,585,4836,2,1,2,2,957,1,3922633116,3877412467,2241613690,300847743,300864127,2,1,13237300692,73389,73389,2,2,2,300847743,21,3,198062,126362636,3026279,135263,29929,3922633116,2544551,62549974,18626
172031.54,8,262144,64,209467,13802522974,64,43,147,585,2763736,18,55370,61,67,130237,129214128,1172,1,66,31217,10659228,2,257233,585,67733114,220102148,4101612568,585,4836,2,1,2,2,957,1,4082934172,4038050073,2281634683,313341370,313357754,2,1,13787020280,73389,73389,2,2,2,313341370,21,3,201113,129116949,3108080,138790,31152,4082934172,2624946,64625365,18626
177066.82,8,262144,64,218170,14376068206,64,43,149,585,2857811,18,57857,61,67,130237,129479580,1172,1,66,32497,10767901,2,257233,585,71089095,225846575,4269991376,585,4836,2,1,2,2,957,1,4250575260,4205769210,2346995282,326381702,326381702,2,1,14360794888,73389,73389,2,2,2,326381702,21,3,208697,132002385,3216746,144698,32431,4250575260,2713113,67872264,18626
182084.88,8,262144,64,230373,15180316698,64,43,151,585,2980831,18,61293,61,67,130237,130010484,1172,1,66,34292,10864508,2,257233,585,76115925,233700132,4506263517,585,4836,2,1,2,2,957,1,4485849500,4440877507,2445963531,344645927,344662311,2,1,15164420788,73389,73389,2,2,2,344645927,21,3,219292,134298807,3372454,155661,34226,4485849500,2825170,72743696,18626
187187.25,8,262144,64,241205,15893991374,64,43,153,585,3094571,18,64356,61,67,130237,130275936,1172,1,66,35882,10946373,2,257233,585,80162947,239297709,4715559728,585,4836,2,1,2,2,957,1,4694253980,4649521521,2495627367,360876821,360876821,2,1,15878580124,73389,73389,2,2,2,360876821,21,3,225304,136767268,3485701,164302,35816,4694253980,2930269,76677313,18626
192234.01,8,262144,64,247864,16332784666,64,43,154,585,3175466,18,66230,61,67,130237,130275936,1172,1,66,36858,11076202,2,257233,585,82395368,245415268,4844202227,585,4836,2,1,2,2,957,1,4822311324,4777795211,2536107202,370851630,370851630,2,1,16317471720,73389,73389,2,2,2,370851630,21,3,229297,139820693,3560496,167523,36793,4822311324,3007943,78835559,18626
197277.77,8,262144,64,254684,16782129254,64,43,155,585,3257970,18,68142,61,67,130237,130541388,1172,1,66,37863,11204511,2,257233,585,85066098,251074671,4976395136,585,4836,2,1,2,2,957,1,4953907612,4909142050,2614713684,381064007,381064007,2,1,16766095412,73389,73389,2,2,2,381047623,21,3,234330,142699453,3675594,170975,37797,4953907612,3086995,81390782,18626
202300.07,8,262144,64,268209,17673281790,64,43,157,585,3411950,18,71941,61,67,130237,130806840,1172,1,66,39849,11295709,2,257233,585,89216985,256832402,5237791512,585,4836,2,1,2,2,957,1,5214216604,5169637526,2678621422,401316729,401316729,2,1,17657936076,73389,73389,2,2,2,401316729,21,3,242831,145094615,3817854,175881,39783,5214216604,3236069,85399293,18626
207320.35,8,262144,64,279934,18445938622,64,43,159,585,3520063,18,75251,61,67,130237,131072292,1172,1,66,41572,11405140,2,257233,585,92361134,261561367,5464590998,585,4836,2,1,2,2,957,1,5440053660,5395513987,2735918748,418886793,418886793,2,1,18431018892,73389,73389,2,2,2,418886793,21,3,248419,147474667,3930936,180116,41506,5440053660,3339947,88430136,18626
212374.18,8,262144,64,286953,18908590326,64,43,160,585,3598649,18,77220,61,67,130237,131337744,1172,1,66,42605,11587162,2,257233,585,95377423,267611348,5600599908,585,4836,2,1,2,2,957,1,5575451036,5530767170,2806700926,429391923,429408307,2,1,18893244612,73389,73389,2,2,2,429391923,21,3,254987,150298176,4027785,184185,42539,5575451036,3414464,91349760,18626
217422.02,8,262144,64,293199,19319798412,64,43,161,585,3670256,18,78978,61,67,130237,131337744,1172,1,66,43520,11760644,2,257233,585,97868719,274246981,5721077003,585,4836,2,1,2,2,957,1,5695381916,5650988854,2986559205,438732074,438748458,2,1,19304211256,73389,73389,2,2,2,438732074,21,3,260710,153317073,4120869,187480,43454,5695381916,3482776,93748283,18626
222432.95,8,262144,64,304860,20088248874,64,43,163,585,3784360,18,82267,61,67,130237,131603196,1172,1,66,45235,11850113,2,257233,585,101935915,280374249,5946822204,585,4836,2,1,2,2,957,1,5920170396,5875607838,3095203697,456203834,456220218,2,1,20072968696,73389,73389,2,2,2,456203834,21,3,275260,155760158,4279782,193797,45169,5920170396,3590563,97656703,18626
227466.33,8,262144,64,317982,20952990402,64,43,166,585,3908692,18,86010,61,67,130237,132134100,1172,1,66,47161,11927784,2,257233,585,105950816,285838608,6200458663,585,4836,2,1,2,2,957,1,6172746140,6128455001,3192441803,475850348,475866732,2,1,20937415312,73389,73389,2,2,2,475850348,21,3,292294,158250862,4448216,198765,47096,6172746140,3709927,101502949,18626
232527.11,8,262144,64,326932,21542723026,64,43,167,585,4003864,18,88506,61,67,130237,132399552,1172,1,66,48478,12110202,2,257233,585,109198811,292012585,6373710290,585,4836,2,1,2,2,957,1,6345236892,6300789091,3230936638,489267512,489267512,2,1,21527770528,73389,73389,2,2,2,489267512,21,3,301116,160956475,4586036,202737,48412,6345236892,3801127,104613428,18626
237540.72,8,262144,64,342487,22567456612,64,43,170,585,4140757,18,92913,61,67,130237,132665004,1172,1,66,50759,12197067,2,257233,585,114045962,298104255,6673920797,585,4836,2,1,2,2,957,1,6644212124,6600341371,3879946594,512555148,512555148,2,1,22552426512,73389,73389,2,2,2,512555148,21,3,322073,163318371,4773477,208418,50693,6644212124,3932339,109274031,18626
242566.42,8,262144,64,352645,23237141014,64,43,171,585,4244950,18,95737,61,67,130237,132930456,1172,1,66,52254,12282057,2,257233,585,116590605,303003381,6870714880,585,4836,2,1,2,2,957,1,6840164764,6796060908,3930247866,527768075,527784459,2,1,23221795300,73389,73389,2,2,2,527768075,21,3,326144,165762863,4865374,215040,52188,6840164764,4029910,111726908,18626
247666.30,8,262144,64,359068,23660202358,64,43,172,585,4318591,18,97547,61,67,130237,132930456,1172,1,66,53196,12409945,2,257233,585,118804137,308374391,6994750992,585,4836,2,1,2,2,957,1,6963634588,6919754328,3967695527,537392787,537392787,2,1,23645282628,73389,73389,2,2,2,537392787,21,3,328911,168605055,4949171,218298,53130,6963634588,4100293,113856751,18626
252722.33,8,262144,64,365567,24088509890,64,43,174,585,4401112,18,99394,61,67,130237,133461360,1172,1,66,54151,12538116,2,257233,585,121407407,313701136,7120497731,585,4836,2,1,2,2,957,1,7088808348,7045030261,4031157967,547121836,547121836,2,1,24073360784,73389,73389,2,2,2,547121836,21,3,337812,171216444,5039404,224034,54085,7088808348,4177078,116369731,18626
257741.13,8,262144,64,371950,24508961860,64,43,175,585,4477009,18,101223,61,67,130237,133461360,1172,1,66,55087,12672923,2,257233,585,124153858,319649030,7243745390,585,4836,2,1,2,2,957,1,7211491740,7167882361,4075993811,556681012,556681012,2,1,24493964528,73389,73389,2,2,2,556681012,21,3,343854,174025141,5122565,229385,55021,7211491740,4247624,119033191,18626
262782.38,8,262144,64,378220,24922261648,64,43,176,585,4552378,18,102989,61,67,130237,133726812,1172,1,66,56008,12856483,2,257233,585,126378666,324790486,7365017519,585,4836,2,1,2,2,957,1,7332209052,7288731445,4108811288,566074189,566074189,2,1,24907264316,73389,73389,2,2,2,566074189,21,3,347591,176684090,5203173,232616,55942,7332209052,4319762,121177583,18626
