timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5041.50,6,262144,64,24540,1617327072,64,38,116,0,585,1667331,13,3239,60,67,226729,124484256,1172,1,66,4054,1698088,2,257056,585,4649870,19815372,524861740,585,1217,2,1,2,2,821,1,522494364,476053257,35078133,36413762,36413762,2,1,1602205528,73389,73389,2,2,2,36413762,17,3,158206,18376499,982235,20650,3988,522494364,1646681,3669372,19162
10054.58,6,262144,64,29573,1948762472,64,38,117,0,585,1735114,13,4667,60,67,226729,124484256,1172,1,66,4791,2056329,2,257056,585,6378439,24706128,621916402,585,1217,2,1,2,2,821,1,619094428,572956045,63974957,43945640,43945640,2,1,1933608160,73389,73389,2,2,2,43945640,17,3,167457,21412441,1063600,23744,4725,619094428,1711370,5316020,19162
15076.79,6,262144,64,34863,2297306076,64,38,118,0,585,1821541,13,6158,60,67,226729,124749708,1172,1,66,5568,2258585,2,257056,585,8180911,29995012,724237894,585,1217,2,1,2,2,821,1,720937372,674885936,112876667,51852191,51868575,2,1,2281496404,73389,73389,2,2,2,51852191,17,3,171169,24306767,1139694,43329,5503,720937372,1778216,7042316,19162
20101.90,6,262144,64,41767,2752155688,64,38,119,0,585,1913741,13,8100,60,67,226729,124749708,1172,1,66,6583,2391853,2,257056,585,10050568,34723860,857873726,585,1217,2,1,2,2,821,1,853975452,807832290,140961831,62203832,62203832,2,1,2736968608,73389,73389,2,2,2,62203832,17,3,171973,27007375,1206015,47673,6517,853975452,1866068,8846437,19162
25122.16,6,262144,64,48359,3186558068,64,38,120,0,585,1998624,13,9950,60,67,226729,125015160,1172,1,66,7550,2544874,2,257056,585,12537142,39580897,985200263,585,1217,2,1,2,2,821,1,980722076,934761656,195764314,72072145,72088529,2,1,3171174380,73389,73389,2,2,2,72072145,17,3,177467,29442241,1302463,52174,7484,980722076,1946450,11235973,19162
30153.74,6,262144,64,74831,4930995398,64,38,125,0,585,2228051,13,17448,60,67,226729,125811516,1172,1,66,11439,2621999,2,257056,585,18863237,42105112,1496926676,585,1217,2,1,2,2,821,1,1490461084,1444838299,243584100,111717429,111733813,2,1,4915566876,73389,73389,2,2,2,111717429,17,3,194812,31008246,1475782,62363,11373,1490461084,2165688,17388899,19162
35199.35,6,262144,64,81301,5357136934,64,38,126,0,585,2319135,13,19266,60,67,226729,125811516,1172,1,66,12390,2761587,2,257056,585,21601898,46654756,1622147658,585,1217,2,1,2,2,821,1,1615110556,1569384575,267036365,121407677,121407677,2,1,5341216892,73389,73389,2,2,2,121391293,17,3,198874,33600758,1562170,73021,12324,1615110556,2246114,20041060,19162
40257.96,6,262144,64,86207,5680514714,64,38,127,0,585,2390223,13,20658,60,67,226729,126076968,1172,1,66,13109,2947243,2,257056,585,24065064,52075769,1716965834,585,1217,2,1,2,2,821,1,1709482396,1663928112,319858774,128740788,128757172,2,1,5664594672,73389,73389,2,2,2,128740788,17,3,202146,36521171,1634980,81079,13044,1709482396,2309144,22431902,19162
45287.21,6,262144,64,91383,6021563082,64,38,128,0,585,2462686,13,22127,60,67,226729,126318288,1172,1,66,13871,3225712,2,257056,585,25649589,57791110,1817177304,585,1217,2,1,2,2,821,1,1809228188,1763582049,357831995,136508075,136508075,2,1,6006355300,73389,73389,2,2,2,136508075,17,3,205175,39939149,1713523,84364,13805,1809228188,2378322,23938203,19162
50318.08,6,262144,64,95766,6310400082,64,38,128,0,585,2522295,13,23322,60,67,226729,126318288,1172,1,66,14516,3455984,2,257056,585,26264254,62004995,1902121536,585,1217,2,1,2,2,821,1,1893769628,1847951681,362911662,143065105,143081489,2,1,6294864620,73389,73389,2,2,2,143065105,17,3,205176,43096965,1759090,87285,14450,1893769628,2435010,24506798,19162
55354.74,6,262144,64,100535,6624799430,64,38,129,0,585,2587348,13,24677,60,67,226729,126571674,1172,1,66,15214,3827765,2,257056,585,28866000,68617446,1994173982,585,1217,2,1,2,2,821,1,1985388956,1939911519,462358888,150217992,150217992,2,1,6609591648,73389,73389,2,2,2,150217992,17,3,218966,46420947,1879058,90422,15149,1985388956,2496926,26988660,19162
60385.43,6,262144,64,106620,7025975058,64,38,130,0,585,2670762,13,26391,60,67,226729,126837126,1172,1,66,16110,4016352,2,257056,585,31268572,74380001,2112155701,585,1217,2,1,2,2,821,1,2102829468,2057142082,543093217,159324449,159340833,2,1,7010275756,73389,73389,2,2,2,159324449,17,3,231207,49421281,1995744,97633,16045,2102829468,2573129,29274615,19162
65403.43,6,262144,64,112663,7423867270,64,38,131,0,585,2750473,13,28095,60,67,226729,126837126,1172,1,66,16997,4173731,2,257056,585,33259151,79557726,2228951707,585,1217,2,1,2,2,821,1,2219090332,2173473557,655644503,168369688,168386072,2,1,7408266272,73389,73389,2,2,2,168369688,17,3,236452,52006535,2086715,102501,16932,2219090332,2647972,31173229,19162
70428.42,6,262144,64,119595,7880817342,64,38,132,0,585,2839486,13,30041,60,67,226729,127102578,1172,1,66,18017,4283243,2,257056,585,34546024,83775614,2363252105,585,1217,2,1,2,2,821,1,2352783772,2307037015,668656508,178768322,178768322,2,1,7865806168,73389,73389,2,2,2,178768322,17,3,239530,54772763,2154219,108844,17952,2352783772,2730642,32392337,19162
75515.83,6,262144,64,125105,8243778866,64,38,133,0,585,2933577,13,31597,60,67,226729,127102578,1172,1,66,18826,4633019,2,257056,585,38064994,90294527,2469785080,585,1217,2,1,2,2,821,1,2458821020,2413092429,754018367,187010745,187027129,2,1,8228472780,73389,73389,2,2,2,187010745,17,3,250447,57937479,2289673,132746,18761,2458821020,2800831,35775771,19162
80620.52,6,262144,64,130006,8566828966,64,38,134,0,585,3000965,13,32990,60,67,226729,127368030,1172,1,66,19546,4942827,2,257056,585,39264836,95171283,2564468875,585,1217,2,1,2,2,821,1,2553061788,2507570016,847114724,194360240,194360240,2,1,8551850560,73389,73389,2,2,2,194360240,17,3,256272,61173285,2364265,135754,19480,2553061788,2865211,36901465,19162
85775.30,6,262144,64,134522,8864116802,64,38,135,0,585,3063286,13,34275,60,67,226729,127368030,1172,1,66,20208,5207377,2,257056,585,41012849,100715547,2651784915,585,1217,2,1,2,2,821,1,2639962524,2594526321,869103421,201099653,201116037,2,1,8848384732,73389,73389,2,2,2,201099653,17,3,258788,64700346,2443350,138683,20143,2639962524,2924603,38570210,19162
91018.67,6,262144,64,138933,9155054262,64,38,136,0,585,3129475,13,35532,60,67,226729,127621416,1172,1,66,20859,5535957,2,257056,585,42232407,105648440,2737514553,585,1217,2,1,2,2,821,1,2725290396,2679518698,965052375,207711868,207728252,2,1,9139322192,73389,73389,2,2,2,207711868,17,3,261212,68111883,2507841,148603,20794,2725290396,2980872,39725397,19162
96057.64,6,262144,64,143409,9449986110,64,38,136,0,585,3190421,13,36753,60,67,226729,127621416,1172,1,66,21517,5821928,2,257056,585,44303854,111993971,2824037985,585,1217,2,1,2,2,821,1,2811404700,2765775083,1045005172,214416354,214432738,2,1,9434319576,73389,73389,2,2,2,214416354,17,3,262427,72132616,2582998,151700,21451,2811404700,3038721,41721357,19162
101817.40,6,262144,64,147498,9719555526,64,38,137,0,585,3253476,13,37925,60,67,226729,127886868,1172,1,66,22118,6338632,2,257056,585,45807809,118248505,2903192703,585,1217,2,1,2,2,821,1,2890178972,2844576630,1093322043,220555592,220555592,2,1,9704446048,73389,73389,2,2,2,220555592,17,3,265196,76410168,2645740,157703,22052,2890178972,3095773,43161506,19162
