timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5043.08,4,262144,64,24067,1586063092,64,43,116,1,585,382015,12,3108,60,67,47355,124484256,1172,1,66,3984,2151929,2,111433,585,4082604,24618194,515666055,585,1170,2,1,2,2,844,1,513319324,466937807,35739727,35703217,35703217,2,1,1570220652,73389,73389,2,2,2,35686833,16,3,128826,20458171,901243,16954,3918,513319324,365061,3181384,34040
10068.54,4,262144,64,30128,1985400404,64,43,117,1,585,462762,12,4818,60,67,47355,124484256,1172,1,66,4873,2343074,2,111433,585,6028529,29555467,632857094,585,1170,2,1,2,2,844,1,629973404,583597613,63502587,44770873,44787257,2,1,1969918412,73389,73389,2,2,2,44770873,16,3,140123,23361850,1008407,20673,4808,629973404,442089,5020425,34040
15084.07,4,262144,64,37310,2458469024,64,43,119,1,585,554534,12,6869,60,67,47355,124749708,1172,1,66,5928,2483541,2,111433,585,8299523,34186739,771629784,585,1170,2,1,2,2,844,1,768123292,721933918,100679371,55532114,55532114,2,1,2442692120,73389,73389,2,2,2,55515730,16,3,152843,25760482,1161500,25020,5862,768123292,529514,7137841,34040
20108.31,4,262144,64,63998,4217327582,64,43,123,1,585,786709,12,14382,60,67,47355,125546064,1172,1,66,9849,2531804,2,111433,585,14927382,36890758,1287566446,585,1170,2,1,2,2,844,1,1282056604,1236164985,158987243,95502919,95502919,2,1,4202128436,73389,73389,2,2,2,95502919,16,3,164788,27282479,1358563,33084,9783,1282056604,753625,13568493,34040
25143.19,4,262144,64,70201,4625705554,64,43,124,1,585,867192,12,16128,60,67,47355,125546064,1172,1,66,10759,2652879,2,111433,585,16764987,41707806,1407393414,585,1170,2,1,2,2,844,1,1401332124,1355632513,190104052,104777534,104777534,2,1,4610211496,73389,73389,2,2,2,104777534,16,3,173098,30023326,1476807,36724,10693,1401332124,830468,15287358,34040
30177.12,4,262144,64,75300,4961997234,64,43,125,1,585,942589,12,17574,60,67,47355,125811516,1172,1,66,11509,2782529,2,111433,585,19191640,46829751,1506291057,585,1170,2,1,2,2,844,1,1499767196,1453861481,246980413,112411590,112427974,2,1,4946109960,73389,73389,2,2,2,112411590,16,3,181108,32817927,1567060,44467,11444,1499767196,898122,17623673,34040
35209.28,4,262144,64,79251,5221991778,64,43,126,1,585,1003720,12,18708,60,67,47355,125811516,1172,1,66,12090,3154252,2,111433,585,20600022,51773593,1582679507,585,1170,2,1,2,2,844,1,1575788956,1529860228,273193342,118325770,118342154,2,1,5206333880,73389,73389,2,2,2,118325770,16,3,182999,36163653,1615100,53862,12024,1575788956,949858,18983559,34040
40237.40,4,262144,64,84083,5540519894,64,43,126,1,585,1069024,12,20025,60,67,47355,125811516,1172,1,66,12800,3409209,2,111433,585,22119224,57234624,1676177367,585,1170,2,1,2,2,844,1,1668850076,1623030128,325957247,125560577,125576961,2,1,5524665388,73389,73389,2,2,2,125560577,16,3,186264,39487731,1677973,57101,12734,1668850076,1011923,20439974,34040
45254.09,4,262144,64,88807,5851970122,64,43,127,1,585,1132262,12,21369,60,67,47355,126076968,1172,1,66,13493,3733589,2,111433,585,23884654,62474780,1767435660,585,1170,2,1,2,2,844,1,1759682972,1713982670,351877354,132647928,132664312,2,1,5836508832,73389,73389,2,2,2,132647928,16,3,187898,42487309,1741829,60214,13427,1759682972,1072048,22142017,34040
50306.98,4,262144,64,94266,6211565178,64,43,128,1,585,1208861,12,22913,60,67,47355,126318288,1172,1,66,14295,3929743,2,111433,585,25241095,67114612,1873044666,585,1170,2,1,2,2,844,1,1864802716,1819130804,474819453,140824815,140824815,2,1,6196291860,73389,73389,2,2,2,140824815,16,3,190871,45403848,1808735,67527,14229,1864802716,1141334,23430783,34040
55329.50,4,262144,64,100678,6634171078,64,43,129,1,585,1289550,12,24714,60,67,47355,126571674,1172,1,66,15237,4103357,2,111433,585,28452082,73513530,1997082277,585,1170,2,1,2,2,844,1,1988272540,1942671762,589683324,150430984,150430984,2,1,6618963296,73389,73389,2,2,2,150430984,16,3,197654,48063818,1919147,71598,15171,1988272540,1217952,26531524,34040
60343.92,4,262144,64,108138,7125989610,64,43,130,1,585,1383729,12,26807,60,67,47355,126837126,1172,1,66,16334,4240622,2,111433,585,30910762,78441392,2141511812,585,1170,2,1,2,2,844,1,2132058524,2086368996,616397840,161613891,161613891,2,1,7111011204,73389,73389,2,2,2,161613891,16,3,201039,50565093,2009172,75926,16268,2132058524,1307803,28899317,34040
65375.11,4,262144,64,113302,7466010226,64,43,131,1,585,1450929,12,28269,60,67,47355,126837126,1172,1,66,17093,4394401,2,111433,585,32591796,83408144,2241466650,585,1170,2,1,2,2,844,1,2231542172,2185805283,661445898,169325993,169342377,2,1,7450343692,73389,73389,2,2,2,169325993,16,3,210466,53569592,2108213,79137,17027,2231542172,1371792,30481371,34040
70435.86,4,262144,64,117681,7754597148,64,43,132,1,585,1515064,12,29517,60,67,47355,127102578,1172,1,66,17736,4667165,2,111433,585,34137849,88448297,2326153204,585,1170,2,1,2,2,844,1,2315821468,2270147445,690618095,175883023,175899407,2,1,7738853012,73389,73389,2,2,2,175883023,16,3,215165,56812993,2184682,85916,17670,2315821468,1429148,31951433,34040
75618.51,4,262144,64,122602,8078945902,64,43,133,1,585,1582076,12,30912,60,67,47355,127102578,1172,1,66,18458,4953907,2,111433,585,35479533,93465771,2421234007,585,1170,2,1,2,2,844,1,2410455452,2364958380,747993036,183273478,183289862,2,1,8064033032,73389,73389,2,2,2,183273478,16,3,218996,60074133,2241147,88989,18392,2410455452,1493087,33236648,34040
80630.99,4,262144,64,126442,8331931402,64,43,134,1,585,1634526,12,31964,60,67,47355,127102578,1172,1,66,19023,5183241,2,111433,585,36782675,98524175,2495649118,585,1170,2,1,2,2,844,1,2484511132,2438904305,782236394,189021659,189021659,2,1,8316952996,73389,73389,2,2,2,189021659,16,3,223897,63496409,2319523,91395,18957,2484511132,1543131,34461667,34040
85888.18,4,262144,64,130662,8610086034,64,43,134,1,585,1692333,12,33168,60,67,47355,127368030,1172,1,66,19642,5444689,2,111433,585,37633282,103390022,2577172203,585,1170,2,1,2,2,844,1,2565644700,2520213471,791703820,195332929,195349313,2,1,8594648876,73389,73389,2,2,2,195332929,16,3,227679,67056969,2381232,93939,19576,2565644700,1598394,35250290,34040
91072.39,4,262144,64,133914,8824270914,64,43,135,1,585,1738412,12,34110,60,67,47355,127368030,1172,1,66,20119,5719889,2,111433,585,39067317,108767476,2639997375,585,1170,2,1,2,2,844,1,2628166044,2582858344,880414681,200198533,200214917,2,1,8808735452,73389,73389,2,2,2,200198533,16,3,229140,70733552,2420335,96025,20053,2628166044,1642387,36645140,34040
96112.41,4,262144,64,137449,9057002482,64,43,135,1,585,1788091,12,35075,60,67,47355,127368030,1172,1,66,20640,5973271,2,111433,585,39643985,113122213,2708617976,585,1170,2,1,2,2,844,1,2696454556,2650886438,891748078,205498313,205498313,2,1,9041925772,73389,73389,2,2,2,205498313,16,3,229307,74097948,2455773,98882,20574,2696454556,1689209,37186679,34040
