timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5025.76,2,262144,64,26679,1758039480,64,91,117,0,585,457102,11,3878,67,1165,124484256,1172,1,66,4364,1506782,2,170353,585,5392832,14385932,565640738,585,12513,2,1,2,2,666,1,1,563126684,517172829,29625972,39612516,39612516,2,1,1742950704,73389,73389,2,2,2,39612516,12,3,283674,11397290,1482185,32689,4298,563126684,424413,3910929,10526
10037.14,2,262144,64,34772,2291342300,64,91,118,0,585,570043,11,6138,67,1165,124749708,1172,1,66,5555,1628759,2,170353,585,7135323,18269711,722442974,585,12513,2,1,2,2,666,1,1,719233436,673094370,47381212,51721119,51737503,2,1,2275729236,73389,73389,2,2,2,51721119,12,3,292036,13773569,1614008,38208,5489,719233436,531835,5521341,10526
15050.66,2,262144,64,69836,4601784914,64,91,124,0,585,904107,11,16031,67,1165,125546064,1172,1,66,10706,1666956,2,170353,585,15057460,21314675,1400246185,585,12513,2,1,2,2,666,1,1,1394385308,1348594491,101734323,104236862,104236862,2,1,4586421928,73389,73389,2,2,2,104236862,12,3,307510,15402329,1874566,49995,10640,1394385308,854112,13183719,10526
20062.90,2,262144,64,78617,5180441954,64,91,125,0,585,1021220,11,18479,67,1165,125811516,1172,1,66,11995,1748001,2,170353,585,17983461,25663777,1569942637,585,12513,2,1,2,2,666,1,1,1563337116,1517710000,132403454,117383690,117400074,2,1,5164882360,73389,73389,2,2,2,117383690,12,3,320283,17658636,2034768,55516,11929,1563337116,965704,15949804,10526
25074.61,2,262144,64,85322,5622249902,64,91,127,0,585,1116977,11,20418,67,1165,126076968,1172,1,66,12979,1923773,2,170353,585,19872009,30086208,1699637545,585,12513,2,1,2,2,666,1,1,1692443036,1646846324,181009520,127424035,127440419,2,1,5606657540,73389,73389,2,2,2,127424035,12,3,332955,20308927,2151244,60019,12914,1692443036,1056958,17721839,10526
30103.21,2,262144,64,90707,5977260746,64,91,128,0,585,1197361,11,21936,67,1165,126318288,1172,1,66,13773,2184849,2,170353,585,21988014,35138869,1804066914,585,12513,2,1,2,2,666,1,1,1796383132,1750577235,230558370,135492267,135508651,2,1,5961659748,73389,73389,2,2,2,135492267,12,3,340916,23310609,2276006,63963,13707,1796383132,1133398,19712711,10526
35116.22,2,262144,64,97489,6424114966,64,91,129,0,585,1297157,11,23844,67,1165,126571674,1172,1,66,14769,2324531,2,170353,585,23843132,39597337,1935209637,585,12513,2,1,2,2,666,1,1,1926930844,1881278154,281492177,145655492,145655492,2,1,6408120752,73389,73389,2,2,2,145639108,12,3,346130,25797788,2376632,69771,14703,1926930844,1227386,21466588,10526
40121.07,2,262144,64,110600,7288135598,64,91,131,0,585,1449773,11,27492,67,1165,126837126,1172,1,66,16693,2401562,2,170353,585,28268743,44385428,2188444546,585,12513,2,1,2,2,666,1,1,2179113372,2133747591,454500057,165293814,165310198,2,1,7272927816,73389,73389,2,2,2,165293814,12,3,381071,27909937,2607333,76060,16627,2179113372,1373713,25661739,10526
45146.29,2,262144,64,127125,8376957942,64,91,134,0,585,1618091,11,32200,67,1165,127368030,1172,1,66,19122,2526329,2,170353,585,32156969,48343221,2508233737,585,12513,2,1,2,2,666,1,1,2497618332,2452074222,535950512,190043500,190043500,2,1,8361914000,73389,73389,2,2,2,190043500,12,3,392245,30217099,2749157,81677,19057,2497618332,1536414,29408365,10526
50177.72,2,262144,64,133093,8769934954,64,91,135,0,585,1712522,11,33887,67,1165,127368030,1172,1,66,19998,2693960,2,170353,585,33862598,53113535,2623584751,585,12513,2,1,2,2,666,1,1,2612437404,2566977316,570278597,198974051,198974051,2,1,8754858244,73389,73389,2,2,2,198974051,12,3,400800,32810343,2848748,97310,19933,2612437404,1615212,31014488,10526
55218.74,2,262144,64,138567,9130802634,64,91,136,0,585,1789000,11,35433,67,1165,127368030,1172,1,66,20805,2864216,2,170353,585,36103522,58130023,2729855761,585,12513,2,1,2,2,666,1,1,2718212508,2672439662,614935330,207165163,207181547,2,1,9115267172,73389,73389,2,2,2,207165163,12,3,414712,35598229,2948599,100742,20740,2718212508,1688258,33155275,10526
60245.54,2,262144,64,143759,9472923710,64,91,136,0,585,1861971,11,36849,67,1165,127621416,1172,1,66,21569,3050951,2,170353,585,37261673,62626868,2830336533,585,12513,2,1,2,2,666,1,1,2818220444,2772461437,627763159,214940642,214957026,2,1,9457388248,73389,73389,2,2,2,214940642,12,3,417574,38620187,3015754,104116,21503,2818220444,1757855,34245983,10526
65274.89,2,262144,64,149462,9848799134,64,91,137,0,585,1946225,11,38460,67,1165,127886868,1172,1,66,22405,3267536,2,170353,585,40259812,68302912,2940553289,585,12513,2,1,2,2,666,1,1,2927927708,2882316429,693635793,223484010,223500394,2,1,9833296440,73389,73389,2,2,2,223484010,12,3,429915,41370113,3143758,114712,22340,2927927708,1831513,37116206,10526
70286.69,2,262144,64,156643,10322067670,64,91,139,0,585,2043206,11,40527,67,1165,128152320,1172,1,66,23462,3417150,2,170353,585,42798026,73210238,3079462001,585,12513,2,1,2,2,666,1,1,3066339740,3020693554,811518260,234234900,234251284,2,1,10306335600,73389,73389,2,2,2,234234900,12,3,434926,43917700,3254633,119069,23396,3066339740,1924137,39543219,10526
75293.51,2,262144,64,175840,11586798562,64,91,142,0,585,2227802,11,45883,67,1165,128417772,1172,1,66,26278,3540203,2,170353,585,46795117,76609296,3450161455,585,12513,2,1,2,2,666,1,1,3435438492,3390371495,909687193,262992189,262992189,2,1,11570935420,73389,73389,2,2,2,262975805,12,3,452861,45710876,3419517,125741,26212,3435438492,2102061,43376457,10526
80377.78,2,262144,64,189232,12469500262,64,91,144,0,585,2359140,11,49691,67,1165,128948676,1172,1,66,28249,3599615,2,170353,585,52009691,80357819,3709568712,585,12513,2,1,2,2,666,1,1,3693781404,3648374964,975783634,283054336,283054336,2,1,12454390784,73389,73389,2,2,2,283054336,12,3,463920,47723988,3578177,130782,28183,3693781404,2228358,48432519,10526
85412.55,2,262144,64,194371,12807882478,64,91,145,0,585,2428511,11,51145,67,1165,128948676,1172,1,66,29003,3749345,2,170353,585,53771719,85339152,3808998250,585,12513,2,1,2,2,666,1,1,3792740764,3747297609,999712046,290733670,290750054,2,1,12792281480,73389,73389,2,2,2,290733670,12,3,468266,50538545,3665746,134516,28938,3792740764,2293995,50106791,10526
90449.22,2,262144,64,198884,13105239158,64,91,146,0,585,2487687,11,52431,67,1165,129214128,1172,1,66,29663,3996029,2,170353,585,55400908,90393884,3895916648,585,12513,2,1,2,2,666,1,1,3879248284,3834253423,1057665161,297487308,297503692,2,1,13089441552,73389,73389,2,2,2,297487308,12,3,472830,53556091,3737373,137521,29598,3879248284,2350166,51664560,10526
95462.72,2,262144,64,203575,13414526698,64,91,146,0,585,2550481,11,53712,67,1165,129214128,1172,1,66,30355,4211506,2,170353,585,57970750,95834342,3986921690,585,12513,2,1,2,2,666,1,1,3969819036,3924654305,1174572298,304525507,304541891,2,1,13399122308,73389,73389,2,2,2,304525507,12,3,482826,56769961,3835333,140702,30289,3969819036,2409779,54136362,10526
100496.78,2,262144,64,207745,13689139078,64,91,147,0,585,2607008,11,54905,67,1165,129214128,1172,1,66,30963,4397363,2,170353,585,58781561,100346849,4067004708,585,12513,2,1,2,2,666,1,1,4049510812,4004910520,1182869402,310773400,310773400,2,1,13674029600,73389,73389,2,2,2,310773400,12,3,486034,59664978,3885525,143562,30897,4049510812,2463446,54896764,10526
