timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5022.10,262144,64,36807,2425504416,64,47,118,0,585,531337,18,4,6693,67,98,124749708,1172,1,66,5854,83312,2,323,585,8210972,3466513,761594528,567,513,18,2,1,2,2,251,1,758555036,712302856,28520196,54770258,54786642,2,1,2409891352,73389,73389,2,2,2,54770258,4,3,384914,2497953,2004022,16206,5789,758555036,515131,6206043,3711
10032.17,262144,64,44462,2929837016,64,47,120,0,585,639704,18,4,8891,67,98,125015160,1172,1,66,6978,189652,2,323,585,11670272,8040608,909450671,567,513,18,2,1,2,2,251,1,905748892,859789108,65670978,66242044,66242044,2,1,2914649936,73389,73389,2,2,2,66242044,4,3,403705,4699482,2199570,21335,6912,905748892,618369,9470002,3711
15041.95,262144,64,52246,3442889212,64,47,121,0,585,749685,18,4,11067,67,98,125280612,1172,1,66,8122,288129,2,323,585,13822274,12415508,1060069728,567,513,18,2,1,2,2,251,1,1055695260,1009796186,112775019,77900087,77900087,2,1,3426882932,73389,73389,2,2,2,77883703,4,3,410559,6866047,2317313,28895,8056,1055695260,720790,11505215,3711
20051.24,262144,64,82831,5457937918,64,47,126,0,585,1039778,18,4,19685,67,98,125811516,1172,1,66,12613,316966,2,323,585,21056061,15246639,1651014115,567,513,18,2,1,2,2,251,1,1644339612,1598880239,177351537,123697119,123697119,2,1,5442673236,73389,73389,2,2,2,123697119,4,3,446751,8422721,2604326,40878,12547,1644339612,998900,18452754,3711
25062.46,262144,64,91740,6045224886,64,47,128,0,585,1165239,18,4,22224,67,98,126318288,1172,1,66,13924,450031,2,323,585,24950513,19926044,1823737945,567,513,18,2,1,2,2,251,1,1816306076,1770433364,244761998,137038396,137054780,2,1,6029689424,73389,73389,2,2,2,137038396,4,3,459977,10749837,2781323,46784,13859,1816306076,1118455,22169226,3711
30075.75,262144,64,97709,6438532886,64,47,129,0,585,1250555,18,4,23906,67,98,126571674,1172,1,66,14802,668379,2,323,585,26703041,24331259,1939221573,567,513,18,2,1,2,2,251,1,1931256220,1885492258,281393940,145983172,145983172,2,1,6423259568,73389,73389,2,2,2,145983172,4,3,465529,13338686,2876537,50898,14736,1931256220,1199657,23825727,3711
35089.58,262144,64,102867,6778691190,64,47,130,0,585,1326465,18,4,25368,67,98,126837126,1172,1,66,15560,926927,2,323,585,28772495,28969746,2039040392,567,513,18,2,1,2,2,251,1,2030608796,1984883535,343357090,153707340,153723724,2,1,6763122960,73389,73389,2,2,2,153707340,4,3,476416,16087657,2990518,56921,15494,2030608796,1269544,25780845,3711
40111.03,262144,64,109806,7235569110,64,47,131,0,585,1427321,18,4,27317,67,98,126837126,1172,1,66,16578,1014942,2,323,585,30814452,33557741,2173082631,567,513,18,2,1,2,2,251,1,2164040092,2118431734,375054168,164102100,164102100,2,1,7220492400,73389,73389,2,2,2,164102100,4,3,481690,18408341,3090509,61625,16512,2164040092,1365696,27722971,3711
45115.53,262144,64,126375,8327540490,64,47,133,0,585,1615556,18,4,31890,67,98,127102578,1172,1,66,19011,1084784,2,323,585,35520536,38109394,2493267416,567,513,18,2,1,2,2,251,1,2482938268,2437609118,525957893,188923355,188923355,2,1,8312627620,73389,73389,2,2,2,188923355,4,3,502808,20541822,3273440,74291,18945,2482938268,1541265,32246980,3711
50137.67,262144,64,140363,9249301646,64,47,136,0,585,1772057,18,4,35912,67,98,127621416,1172,1,66,21066,1217878,2,323,585,39793456,42104523,2763862591,567,513,18,2,1,2,2,251,1,2752422300,2707059352,556679838,209870238,209870238,2,1,9234290472,73389,73389,2,2,2,209870238,4,3,514439,22775535,3419779,79708,21001,2752422300,1692349,36374009,3711
55163.03,262144,64,146033,9623014382,64,47,137,0,585,1850902,18,4,37524,67,98,127886868,1172,1,66,21901,1383239,2,323,585,41572320,47169819,2873689759,567,513,18,2,1,2,2,251,1,2861736348,2816344926,611580722,218348070,218364454,2,1,9607315080,73389,73389,2,2,2,218348070,4,3,521881,25531411,3512617,83303,21835,2861736348,1767599,38059839,3711
60228.46,262144,64,151708,9996789346,64,47,138,0,585,1928065,18,4,39126,67,98,127886868,1172,1,66,22736,1523564,2,323,585,43691419,52501669,2983645820,567,513,18,2,1,2,2,251,1,2971181468,2925643210,697643591,226852637,226852637,2,1,9980795132,73389,73389,2,2,2,226836253,4,3,531169,28280063,3610403,86851,22670,2971181468,1841214,40081855,3711
