timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5048.05,6,262144,64,24991,1646883808,64,48,116,585,431544,14,3358,35,67,38268,44853,124484256,1172,1,66,4119,1089583,2,252671,585,4707843,18082852,533407539,585,992,2,1,2,2,832,1,531014044,484716873,33161214,37085506,37085506,2,1,1631041368,73389,73389,2,2,2,37069122,12,3,223779,13764433,1117385,17758,4053,531014044,413786,3591710,21332
10079.68,6,262144,64,31035,2045107008,64,48,118,585,516253,14,5068,35,67,38268,44853,124484256,1172,1,66,5008,1275158,2,252671,585,7045050,23082446,650464925,585,992,2,1,2,2,832,1,647537052,601159826,68811808,46120394,46136778,2,1,2029297336,73389,73389,2,2,2,46120394,12,3,231507,16372484,1230978,21626,4942,647537052,494627,5813717,21332
15112.49,6,262144,64,36460,2402497972,64,48,118,585,589835,14,6597,35,67,38268,44853,124749708,1172,1,66,5804,1504342,2,252671,585,8645729,27802981,755285973,585,992,2,1,2,2,832,1,751870364,705609073,113065486,54256321,54256321,2,1,2386557228,73389,73389,2,2,2,54239937,12,3,242591,19362984,1338117,25017,5738,751870364,564818,7306926,21332
20128.50,6,262144,64,41727,2749534248,64,48,119,585,660048,14,8091,35,67,38268,44853,124749708,1172,1,66,6578,1705543,2,252671,585,10022913,32395737,857210997,585,992,2,1,2,2,832,1,853320092,806989215,145855631,62138296,62154680,2,1,2734085024,73389,73389,2,2,2,62138296,12,3,243768,22269252,1393174,28374,6512,853320092,631674,8629001,21332
25150.45,6,262144,64,48365,3186951284,64,48,120,585,746482,14,9954,35,67,38268,44853,125015160,1172,1,66,7551,1809631,2,252671,585,12516155,38142408,985322627,585,992,2,1,2,2,832,1,980853148,934924011,208014706,72088529,72088529,2,1,3171174380,73389,73389,2,2,2,72072145,12,3,245915,24598287,1505977,32415,7485,980853148,714067,11009500,21332
30156.61,6,262144,64,57727,3803962258,64,48,122,585,855789,14,12618,35,67,38268,44853,125280612,1172,1,66,8925,1913735,2,252671,585,15555800,43226346,1166192259,585,992,2,1,2,2,832,1,1160946076,1115347502,282299195,86093358,86109742,2,1,3788107752,73389,73389,2,2,2,86093358,12,3,255787,27178344,1652980,38363,8859,1160946076,817426,13902662,21332
35180.88,6,262144,64,83304,5489201898,64,48,126,585,1076765,14,19812,35,67,38268,44853,125811516,1172,1,66,12684,1966708,2,252671,585,22102712,46224961,1660815053,585,992,2,1,2,2,832,1,1653645724,1607998834,345142343,124407664,124407664,2,1,5473937216,73389,73389,2,2,2,124407664,12,3,279002,28809630,1837350,45731,12618,1653645724,1031034,20264947,21332
40272.98,6,262144,64,89259,5881592394,64,48,127,585,1154355,14,21490,35,67,38268,44853,126076968,1172,1,66,13559,2123968,2,252671,585,24744559,50936817,1776032078,585,992,2,1,2,2,832,1,1768333724,1722647951,406548219,133319672,133336056,2,1,5866065568,73389,73389,2,2,2,133319672,12,3,283567,31486506,1945265,49473,13493,1768333724,1104882,22798320,21332
45302.52,6,262144,64,93945,6190528122,64,48,128,585,1219835,14,22812,35,67,38268,44853,126318288,1172,1,66,14248,2345135,2,252671,585,26177029,56034296,1866764678,585,992,2,1,2,2,832,1,1858642332,1812936037,508215743,140349679,140349679,2,1,6175385876,73389,73389,2,2,2,140349679,12,3,286248,34908507,2020260,52564,14182,1858642332,1167271,24157721,21332
50355.14,6,262144,64,98682,6502830318,64,48,129,585,1285517,14,24171,35,67,38268,44853,126571674,1172,1,66,14943,2543318,2,252671,585,27762245,61867765,1958293205,585,992,2,1,2,2,832,1,1949737372,1904226064,637050500,147437030,147453414,2,1,6487229320,73389,73389,2,2,2,147437030,12,3,287577,38136074,2083318,56084,14877,1949737372,1229433,25680214,21332
