timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5040.65,1,262144,64,24540,1617327072,64,48,116,585,380629,3,3239,60,67,6353,124484256,1172,1,66,4053,1618069,2,67565,585,4672873,22056190,524752142,585,893,2,1,2,2,553,1,522363292,476053257,41154321,36413762,36413762,2,1,1602205528,73389,73389,2,2,2,36413762,9,3,200859,17392411,1098797,14461,3987,522363292,366168,3574204,21172
10068.20,1,262144,64,29671,1955185000,64,48,117,585,450834,3,4694,60,67,6353,124484256,1172,1,66,4806,1902765,2,67565,585,6105041,26751943,623916459,585,893,2,1,2,2,553,1,621060508,574804979,60796832,44093096,44093096,2,1,1940096224,73389,73389,2,2,2,44093096,9,3,205536,20207042,1149724,19551,4740,621060508,431283,4955818,21172
15089.79,1,262144,64,36125,2380543412,64,48,118,585,540840,3,6507,60,67,6353,124749708,1172,1,66,5754,2030779,2,67565,585,8320690,31535536,748742526,585,893,2,1,2,2,553,1,745316764,699152372,116346606,53748417,53764801,2,1,2364930348,73389,73389,2,2,2,53748417,9,3,212298,22792825,1254083,25901,5688,745316764,514939,7067836,21172
20097.26,1,262144,64,47159,3107649416,64,48,120,585,668617,3,9607,60,67,6353,125015160,1172,1,66,7374,2196663,2,67565,585,11512727,36285624,961976756,585,893,2,1,2,2,553,1,957653404,911749654,193389252,70280256,70296640,2,1,3092331264,73389,73389,2,2,2,70280256,9,3,220461,25240640,1366390,33794,7308,957653404,634823,10147806,21172
25121.41,1,262144,64,70343,4635277118,64,48,124,585,871647,3,16167,60,67,6353,125546064,1172,1,66,10779,2263495,2,67565,585,17606564,38987931,1410024258,585,893,2,1,2,2,553,1,1403953564,1358389862,248877625,104996559,104996559,2,1,4619848596,73389,73389,2,2,2,104996559,9,3,235320,27071899,1548990,40497,10713,1403953564,831150,16059822,21172
30167.32,1,262144,64,76554,5044444830,64,48,125,585,964245,3,17916,60,67,6353,125811516,1172,1,66,11692,2479548,2,67565,585,20023796,44204528,1530246705,585,893,2,1,2,2,553,1,1523622300,1477974040,301438041,114285399,114301783,2,1,5028557556,73389,73389,2,2,2,114285399,9,3,240239,29830488,1644716,55582,11626,1523622300,908663,18381777,21172
35199.37,1,262144,64,81270,5355105318,64,48,126,585,1032204,3,19259,60,67,6353,125811516,1172,1,66,12385,2711519,2,67565,585,21087212,48897840,1621513046,585,893,2,1,2,2,553,1,1614455196,1568829987,348727170,121358525,121358525,2,1,5339775100,73389,73389,2,2,2,121358525,9,3,240952,32832344,1700822,59928,12319,1614455196,972276,19390239,21172
40226.92,1,262144,64,86366,5690934938,64,48,127,585,1098987,3,20701,60,67,6353,126076968,1172,1,66,13132,2933801,2,67565,585,23470127,55049138,1720016670,585,893,2,1,2,2,553,1,1712497052,1666911792,446415373,128986548,129002932,2,1,5675408112,73389,73389,2,2,2,128986548,9,3,245831,36108070,1777190,63076,13067,1712497052,1035911,21696708,21172
45262.32,1,262144,64,90546,5966468130,64,48,127,585,1157084,3,21841,60,67,6353,126076968,1172,1,66,13748,3282250,2,67565,585,24906237,60464737,1801140660,585,893,2,1,2,2,553,1,1793237404,1747443283,481316328,135248666,135265050,2,1,5950941304,73389,73389,2,2,2,135248666,9,3,246365,39534357,1825416,66646,13683,1793237404,1090438,23084392,21172
50296.29,1,262144,64,95508,6293491794,64,48,128,585,1223910,3,23252,60,67,6353,126318288,1172,1,66,14478,3447420,2,67565,585,26914383,66987734,1897141552,585,893,2,1,2,2,553,1,1888788892,1843050668,588829956,142688273,142688273,2,1,6278284012,73389,73389,2,2,2,142688273,9,3,247313,42674596,1894988,70027,14413,1888788892,1153883,25023645,21172
55306.94,1,262144,64,101595,6694798494,64,48,129,585,1310172,3,24956,60,67,6353,126571674,1172,1,66,15373,3619718,2,67565,585,28970524,72028939,2014987411,585,893,2,1,2,2,553,1,2006098332,1960359742,644364314,151802922,151819306,2,1,6679328568,73389,73389,2,2,2,151802922,9,3,250361,45500150,1970258,82103,15307,2006098332,1228069,27004849,21172
60330.76,1,262144,64,107644,7093349374,64,48,130,585,1386865,3,26672,60,67,6353,126837126,1172,1,66,16263,3796183,2,67565,585,30967649,76981315,2132177160,585,893,2,1,2,2,553,1,2122752412,2076860437,695349421,160870578,160870578,2,1,7078305432,73389,73389,2,2,2,160870578,9,3,257154,47966530,2065765,85511,16197,2122752412,1301354,28905633,21172
65419.87,1,262144,64,115151,7587982646,64,48,132,585,1484659,3,28829,60,67,6353,127102578,1172,1,66,17365,4003025,2,67565,585,33169713,81777916,2277265714,585,893,2,1,2,2,553,1,2267193756,2221432630,785803345,172112988,172112988,2,1,7572971472,73389,73389,2,2,2,172112988,9,3,266660,50762802,2208359,89808,17299,2267193756,1394851,30965851,21172
70459.03,1,262144,64,119879,7899429566,64,48,132,585,1552261,3,30115,60,67,6353,127102578,1172,1,66,18059,4265904,2,67565,585,34970890,87222885,2368664016,585,893,2,1,2,2,553,1,2358157724,2312491029,808230648,179177922,179194306,2,1,7883828568,73389,73389,2,2,2,179177922,9,3,272556,53694340,2290050,97350,17993,2358157724,1454911,32685748,21172
75572.50,1,262144,64,124413,8198162502,64,48,133,585,1624411,3,31410,60,67,6353,127102578,1172,1,66,18723,4502814,2,67565,585,36338641,92121172,2456248587,585,893,2,1,2,2,553,1,2445320604,2399779228,880305213,185972520,185988904,2,1,8182790880,73389,73389,2,2,2,185972520,9,3,276766,57034274,2362610,110368,18658,2445320604,1514043,33980921,21172
80636.54,1,262144,64,128636,8476513742,64,48,134,585,1683280,3,32616,60,67,6353,127368030,1172,1,66,19345,4899663,2,67565,585,38090314,98003189,2538034852,585,893,2,1,2,2,553,1,2526716316,2481120301,934646361,192300174,192316558,2,1,8461207656,73389,73389,2,2,2,192300174,9,3,277579,60257201,2424511,113034,19279,2526716316,1570246,35670810,21172
85735.70,1,262144,64,132705,8744506986,64,48,135,585,1756226,3,33780,60,67,6353,127368030,1172,1,66,19944,5231541,2,67565,585,39299093,102762919,2616920518,585,893,2,1,2,2,553,1,2605228444,2559557291,955262379,198384227,198400611,2,1,8728905988,73389,73389,2,2,2,198384227,9,3,277961,63567445,2466308,134671,19878,2605228444,1621555,36838220,21172
90864.50,1,262144,64,136366,8985761542,64,48,135,585,1807836,3,34779,60,67,6353,127368030,1172,1,66,20479,5467795,2,67565,585,41196905,108982569,2687386040,585,893,2,1,2,2,553,1,2675351964,2630025338,1042960261,203870264,203886648,2,1,8970291616,73389,73389,2,2,2,203870264,9,3,282601,66918922,2546546,136961,20413,2675351964,1670875,38655855,21172
96319.30,1,262144,64,140416,9252775054,64,48,136,585,1911086,3,35937,60,67,6353,127621416,1172,1,66,21075,5805306,2,67565,585,42790811,115180289,2765878985,585,893,2,1,2,2,553,1,2753470876,2708111367,1115376814,209935774,209952158,2,1,9237174056,73389,73389,2,2,2,209935774,9,3,284576,70924856,2604275,185484,21009,2753470876,1725602,40192013,21172
102143.16,1,262144,64,144519,9523261974,64,48,137,585,1967004,3,37113,60,67,6353,127886868,1172,1,66,21681,6053307,2,67565,585,43848178,121103259,2845695414,585,893,2,1,2,2,553,1,2832900508,2787184811,1141732740,216091396,216107780,2,1,9508021424,73389,73389,2,2,2,216091396,9,3,286208,74564627,2667280,188334,21615,2832900508,1778670,41186388,21172
107368.54,1,262144,64,148572,9790206642,64,48,137,585,2023703,3,38217,60,67,6353,127886868,1172,1,66,22275,6478455,2,67565,585,45315164,126752707,2923926852,585,893,2,1,2,2,553,1,2910757276,2865216509,1175595182,222150873,222167257,2,1,9774638412,73389,73389,2,2,2,222150873,9,3,288778,78331415,2732673,190908,22209,2910757276,1832795,42587968,21172
112509.22,1,262144,64,152923,10076681038,64,48,138,585,2084088,3,39459,60,67,6353,127886868,1172,1,66,22914,6700256,2,67565,585,46512450,131744186,3008082951,585,893,2,1,2,2,553,1,2994512284,2948966440,1202636220,228660910,228677294,2,1,10061080040,73389,73389,2,2,2,228660910,9,3,289774,81951961,2788201,194337,22848,2994512284,1889751,43730055,21172
117523.21,1,262144,64,157174,10356879352,64,48,139,585,2141041,3,40671,60,67,6353,128152320,1172,1,66,23539,7149748,2,67565,585,48787792,139185545,3090391539,585,893,2,1,2,2,553,1,3076432284,3030872320,1264227845,235037716,235037716,2,1,10341659504,73389,73389,2,2,2,235037716,9,3,292643,85515628,2863873,196912,23473,3076432284,1944129,45929474,21172
122649.58,1,262144,64,161727,10657110858,64,48,139,585,2201268,3,41909,60,67,6353,128152320,1172,1,66,24208,7429284,2,67565,585,50270545,144563195,3178492631,585,893,2,1,2,2,553,1,3164119452,3118613811,1385729046,241862923,241862923,2,1,10641968612,73389,73389,2,2,2,241862923,9,3,298204,88810575,2937113,200419,24142,3164119452,2000849,47338895,21172
127976.69,1,262144,64,167717,11051529662,64,48,140,585,2274933,3,43604,60,67,6353,128152320,1172,1,66,25088,7613261,2,67565,585,52449888,150435620,3294366538,585,893,2,1,2,2,553,1,3279462812,3233937967,1502457557,250826242,250826242,2,1,11036354648,73389,73389,2,2,2,250826242,9,3,301889,91837587,3028590,203669,25022,3279462812,2071264,49426584,21172
