timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5032.85,8,262144,64,25235,1662874592,64,49,117,1,585,398249,3,3483,6,67,49800,1308,124484256,1172,1,66,4155,933613,2,230409,585,5004192,17212899,538151296,585,811,2,1,2,2,804,1,535732636,489363102,37377890,37437762,37454146,2,1,1647261528,73389,73389,2,2,2,37437762,19,1,3,223472,12808822,1034645,26706,4089,535732636,371543,3969413,7675
10050.48,8,262144,64,30624,2017906260,64,49,117,1,585,470982,3,4953,6,67,49800,1308,124484256,1172,1,66,4945,1135440,2,230409,585,6294390,21681728,642183427,585,811,2,1,2,2,804,1,639279516,593150107,53873503,45508153,45524537,2,1,2002358732,73389,73389,2,2,2,45508153,19,1,3,230741,15474900,1110722,30384,4879,639279516,440598,5182805,7675
15075.52,8,262144,64,36175,2383820212,64,49,118,1,585,544002,3,6521,6,67,49800,1308,124749708,1172,1,66,5762,1329181,2,230409,585,7632264,26508150,749773597,585,811,2,1,2,2,804,1,746365340,700156614,78639373,53830337,53830337,2,1,2368534828,73389,73389,2,2,2,53830337,19,1,3,240041,18550304,1210266,34202,5696,746365340,509800,6422092,7675
20094.72,8,262144,64,41084,2707129148,64,49,119,1,585,614123,3,7916,6,67,49800,1308,124749708,1172,1,66,6482,1507108,2,230409,585,9719163,32018257,844601168,585,811,2,1,2,2,804,1,840737180,794660583,133974035,61181991,61181991,2,1,2692007604,73389,73389,2,2,2,61181991,19,1,3,248081,21290933,1303893,40909,6416,840737180,573214,8415461,7675
25119.23,8,262144,64,47871,3154576500,64,49,120,1,585,703407,3,9819,6,67,49800,1308,125015160,1172,1,66,7479,1622697,2,230409,585,11663776,36770347,975876591,585,811,2,1,2,2,804,1,971415964,925473817,222933144,71351249,71351249,2,1,3139454956,73389,73389,2,2,2,71351249,19,1,3,258024,23937803,1404210,44977,7413,971415964,658430,10259939,7675
30125.91,8,262144,64,56805,3743031294,64,49,122,1,585,815975,3,12366,6,67,49800,1308,125280612,1172,1,66,8789,1756665,2,230409,585,14435418,42474685,1148332591,585,811,2,1,2,2,804,1,1143120284,1097548011,349455825,84721420,84721420,2,1,3727021584,73389,73389,2,2,2,84705036,19,1,3,271256,26317778,1546016,55246,8723,1143120284,760729,12889930,7675
35137.21,8,262144,64,82414,5430609406,64,49,126,1,585,1035909,3,19569,6,67,49800,1308,125811516,1172,1,66,12552,1829859,2,230409,585,21381436,45575412,1643475101,585,811,2,1,2,2,804,1,1636344220,1590895975,430757934,123074527,123074527,2,1,5415279188,73389,73389,2,2,2,123074527,19,1,3,286618,27868041,1728787,62515,12486,1636344220,973394,19653707,7675
40169.55,8,262144,64,88380,5823720798,64,49,127,1,585,1115862,3,21252,6,67,49800,1308,126076968,1172,1,66,13429,2059590,2,230409,585,23458456,50327192,1759090781,585,811,2,1,2,2,804,1,1751425436,1705749272,472377704,132002919,132019303,2,1,5808128436,73389,73389,2,2,2,132002919,19,1,3,291645,30749641,1812965,66250,13364,1751425436,1049612,21646102,7675
45198.25,8,262144,64,93308,6148516238,64,49,128,1,585,1198266,3,22652,6,67,49800,1308,126318288,1172,1,66,14155,2314972,2,230409,585,25430090,56291628,1854570465,585,811,2,1,2,2,804,1,1846452636,1800666564,523231469,139393374,139393374,2,1,6133308456,73389,73389,2,2,2,139393374,19,1,3,295185,34048719,1899655,69561,14089,1846452636,1128705,23531612,7675
50231.21,8,262144,64,98164,6468617218,64,49,129,1,585,1276415,3,24030,6,67,49800,1308,126571674,1172,1,66,14867,2562339,2,230409,585,27877482,62081403,1948341892,585,811,2,1,2,2,804,1,1939775900,1894222739,580272732,146660949,146677333,2,1,6453081756,73389,73389,2,2,2,146660949,19,1,3,297608,37160215,1979027,72910,14801,1939775900,1203505,25898173,7675
55264.28,8,262144,64,103228,6802349686,64,49,130,1,585,1345268,3,25467,6,67,49800,1308,126837126,1172,1,66,15612,2785830,2,230409,585,29356585,67452736,2046448592,585,811,2,1,2,2,804,1,2037424540,1991753471,606570976,154248012,154264396,2,1,6786912528,73389,73389,2,2,2,154248012,19,1,3,299356,40560333,2057020,78846,15546,2037424540,1266422,27299409,7675
60298.38,8,262144,64,108098,7123368170,64,49,130,1,585,1411409,3,26794,6,67,49800,1308,126837126,1172,1,66,16327,2979121,2,230409,585,30765018,72230652,2140609274,585,811,2,1,2,2,804,1,2131141020,2085625857,630650565,161548355,161564739,2,1,7108127620,73389,73389,2,2,2,161548355,19,1,3,300961,43533401,2110685,82345,16261,2131141020,1329064,28655287,7675
65325.77,8,262144,64,113785,7497929566,64,49,131,1,585,1487395,3,28401,6,67,49800,1308,126837126,1172,1,66,17164,3097073,2,230409,585,32520903,76971793,2250830634,585,811,2,1,2,2,804,1,2240848284,2195130852,699924071,170052922,170069306,2,1,7482328568,73389,73389,2,2,2,170052922,19,1,3,304251,46204583,2200373,85829,17098,2240848284,1401566,30322012,7675
70358.73,8,262144,64,119859,7898118846,64,49,132,1,585,1564849,3,30113,6,67,49800,1308,127102578,1172,1,66,18055,3211050,2,230409,585,34359493,81765064,2368160861,585,811,2,1,2,2,804,1,2357633436,2312095850,800223277,179161538,179161538,2,1,7883107672,73389,73389,2,2,2,179161538,19,1,3,311636,48710627,2305397,89201,17989,2357633436,1475648,32054765,7675
75408.21,8,262144,64,126568,8340188938,64,49,134,1,585,1678189,3,32048,6,67,49800,1308,127102578,1172,1,66,19042,3339813,2,230409,585,36888399,86972573,2498248024,585,811,2,1,2,2,804,1,2487132572,2441273832,855992705,189201883,189218267,2,1,8324882852,73389,73389,2,2,2,189201883,19,1,3,315506,51387421,2393747,119780,18977,2487132572,1558409,34495391,7675
