timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.79,262144,64,47799,3149857908,115,585,584566,1,9801,67,58,125015160,1172,1,66,7470,116986,2,1352,585,8820931,4183405,974141620,585,253,2,1,2,2,255,1,970236316,924049850,36063257,71236561,71252945,2,1,3134408684,73389,73389,2,2,2,71236561,3,3,391851,3249726,1678958,17225,7404,970236316,567341,7141678,3756
10066.19,262144,64,61234,4035124270,118,585,745175,1,13623,67,58,125546064,1172,1,66,9443,232116,2,1352,585,13482438,8799993,1233848649,585,253,2,1,2,2,255,1,1228841372,1182920760,75392201,91350019,91366403,2,1,4019400836,73389,73389,2,2,2,91350019,3,3,405782,5353090,1876323,25596,9377,1228841372,719579,11605445,3756
15071.99,262144,64,68809,4533948538,119,585,842335,1,15750,67,58,125546064,1172,1,66,10553,377433,2,1352,585,16220140,14003351,1379999139,585,253,2,1,2,2,255,1,1374331292,1328775132,120661026,102684700,102701084,2,1,4518126800,73389,73389,2,2,2,102684700,3,3,412558,8005615,2013873,30196,10487,1374331292,812139,14205748,3756
20079.95,262144,64,74699,4922344646,120,585,918973,1,17409,67,58,125811516,1172,1,66,11419,563693,2,1352,585,18147936,18885660,1494042582,585,253,2,1,2,2,255,1,1487839644,1442308195,146056941,111520821,111520821,2,1,4906916124,73389,73389,2,2,2,111520821,3,3,420211,10608906,2127856,33858,11353,1487839644,885115,16019972,3756
25086.65,262144,64,81911,5397379346,121,585,1015028,1,19434,67,58,125811516,1172,1,66,12480,688995,2,1352,585,20844599,23973269,1633744055,585,253,2,1,2,2,255,1,1626907036,1581103193,211809204,122314830,122331214,2,1,5381852520,73389,73389,2,2,2,122314830,3,3,426403,13278918,2240790,39732,12414,1626907036,975296,18602742,3756
30094.37,262144,64,92886,6120594594,123,585,1146753,1,22536,67,58,126318288,1172,1,66,14093,808362,2,1352,585,24122766,28390484,1846080950,585,253,2,1,2,2,255,1,1838326172,1792498934,291451690,138748365,138764749,2,1,6104928060,73389,73389,2,2,2,138748365,3,3,433609,15424243,2413377,46447,14027,1838326172,1100306,21709464,3756
35101.92,262144,64,104288,6872348750,125,585,1282030,1,25755,67,58,126837126,1172,1,66,15767,908608,2,1352,585,27453752,33155044,2066444608,585,253,2,1,2,2,255,1,2057740700,2012230842,402834502,155832942,155849326,2,1,6856649448,73389,73389,2,2,2,155832942,3,3,441567,17644005,2555748,52154,15701,2057740700,1229876,24897580,3756
40106.84,262144,64,148621,9793417906,132,585,1630269,1,38197,67,58,127886868,1172,1,66,22282,924929,2,1352,585,36690085,34821198,2923675048,585,253,2,1,2,2,255,1,2911674780,2866180154,446615406,222232793,222232793,2,1,9777521996,73389,73389,2,2,2,222216409,3,3,481615,18728511,2826525,62590,22216,2911674780,1567679,33863471,3756
45111.47,262144,64,204366,13466365674,142,585,2033492,1,53928,67,58,129214128,1172,1,66,30470,925646,2,1352,585,48024253,34856832,4001000449,585,253,2,1,2,2,255,1,3984892316,3939808466,478652011,305696963,305713347,2,1,13450666372,73389,73389,2,2,2,305696963,3,3,511341,19516159,3066840,71752,30404,3984892316,1961740,44957474,3756
50115.91,262144,64,258174,17011911702,151,585,2430309,1,69096,67,58,130541388,1172,1,66,38374,926276,2,1352,585,58253662,34857508,5040968405,585,253,2,1,2,2,255,1,5020885404,4976276875,500388579,386273675,386290059,2,1,16996041700,73389,73389,2,2,2,386273675,3,3,539847,20282213,3255937,80686,38308,5020885404,2349623,54998332,3756
55123.18,262144,64,283624,18689093722,155,585,2687128,1,76311,67,58,131337744,1172,1,66,42114,951595,2,1352,585,64240579,37598654,5533141068,585,253,2,1,2,2,255,1,5511094684,5466604649,554942401,424413790,424413790,2,1,18673485864,73389,73389,2,2,2,424397406,3,3,553625,21922297,3469217,89240,42048,5511094684,2597888,60771908,3756
60127.45,262144,64,317994,20953776834,161,585,2983946,1,85963,67,58,132134100,1172,1,66,47164,1001429,2,1352,585,72046756,39927276,6197645983,585,253,2,1,2,2,255,1,6173008284,6128653167,606281477,475883116,475883116,2,1,20938136208,73389,73389,2,2,2,475866732,3,3,576156,23294521,3696225,97835,47098,6173008284,2886111,68351743,3756
65131.96,262144,64,371037,24448862040,170,585,3373434,1,100922,67,58,133461360,1172,1,66,54955,1002142,2,1352,585,82510072,40207139,7222720023,585,253,2,1,2,2,255,1,7194190236,7150328274,672363469,555298723,555315107,2,1,24433143812,73389,73389,2,2,2,555298723,3,3,612084,24067475,3898333,106494,54889,7194190236,3266940,78613542,3756
70138.07,262144,64,399221,26305762454,174,585,3616762,1,108873,67,58,133992264,1172,1,66,59091,1035648,2,1352,585,89448016,42786359,7766976329,585,253,2,1,2,2,255,1,7736304028,7693200304,732250510,597514136,597514136,2,1,26290621984,73389,73389,2,2,2,597514136,3,3,617613,25544227,4087528,115238,59025,7736304028,3501524,85362707,3756
