timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5006.57,262144,64,69131,4555316582,119,585,715890,4,15837,67,62,125546064,1172,1,66,10603,29188,2,1581,585,12431623,676330,1386222372,585,596,2,1,2,2,241,1,1380884892,1335011620,27967912,103165869,103182253,2,1,4539298236,73389,73389,2,2,2,103165869,3,3,408486,1728560,1612583,12187,10537,1380884892,703703,10817937,3593
10012.14,262144,64,88425,5826669918,122,585,896700,4,21264,67,62,126076968,1172,1,66,13436,151796,2,1581,585,16616404,3607235,1759043607,585,596,2,1,2,2,241,1,1752211868,1706634218,53388139,132068455,132084839,2,1,5811012020,73389,73389,2,2,2,132068455,3,3,414735,3622745,1714761,17880,13370,1752211868,878820,14900028,3593
15018.82,262144,64,97036,6394161706,124,585,1010419,4,23723,67,62,126318288,1172,1,66,14704,263646,2,1581,585,19475740,7995988,1925986400,585,596,2,1,2,2,241,1,1918411164,1872486756,105458295,144977715,144977715,2,1,6379019460,73389,73389,2,2,2,144977715,3,3,430224,6007615,1890130,23629,14638,1918411164,986790,17583975,3593
20024.96,262144,64,107600,7090465790,125,585,1145336,4,26660,67,62,126837126,1172,1,66,16255,401432,2,1581,585,22621153,12504125,2130161404,585,596,2,1,2,2,241,1,2121703836,2076016348,211815842,160805042,160805042,2,1,7075421848,73389,73389,2,2,2,160805042,3,3,441839,8245423,2078771,29291,16189,2121703836,1116045,20540290,3593
25028.30,262144,64,140881,9283249294,131,585,1451284,4,36009,67,62,127621416,1172,1,66,21145,435833,2,1581,585,30488718,15339953,2773620126,585,596,2,1,2,2,241,1,2762645916,2717020394,267294645,210623902,210640286,2,1,9267451688,73389,73389,2,2,2,210623902,3,3,474453,9711189,2317463,38175,21079,2762645916,1413109,28169996,3593
30031.62,262144,64,190291,12539168338,139,585,1863219,4,49980,67,62,128948676,1172,1,66,28403,435926,2,1581,585,39823401,15364275,3728586974,585,596,2,1,2,2,241,1,3713966492,3668756853,291414698,284633233,284649617,2,1,12523862252,73389,73389,2,2,2,284633233,3,3,504287,10412666,2487844,45616,28337,3713966492,1817603,37334513,3593
35035.17,262144,64,239526,15783425526,147,585,2251026,4,63846,67,62,130010484,1172,1,66,35635,436012,2,1581,585,49400737,15370624,4680152465,585,596,2,1,2,2,241,1,4661879196,4617235419,310645822,358358003,358374387,2,1,15767752132,73389,73389,2,2,2,358358003,3,3,522518,11089136,2641088,53167,35569,4661879196,2197859,46758880,3593
40040.50,262144,64,291206,19188642194,156,585,2676783,4,78437,67,62,131337744,1172,1,66,43228,438379,2,1581,585,58237016,15828179,5679242300,585,596,2,1,2,2,241,1,5657108892,5612601968,354361522,435770888,435770888,2,1,19173919072,73389,73389,2,2,2,435770888,3,3,545701,12105749,2821766,62156,43162,5657108892,2614627,55414000,3593
45043.39,262144,64,313530,20659365966,160,585,2927100,4,84687,67,62,131868648,1172,1,66,46508,487002,2,1581,585,65244776,20177985,6110894637,585,596,2,1,2,2,241,1,6087025052,6042654675,499284821,469188981,469188981,2,1,20644315164,73389,73389,2,2,2,469188981,3,3,569969,13894211,3129235,72644,46442,6087025052,2854456,62115718,3593
50051.32,262144,64,351361,23152461886,166,585,3242127,4,95388,67,62,132930456,1172,1,66,52064,522730,2,1581,585,71770338,22057779,6841996296,585,596,2,1,2,2,241,1,6815261084,6771381348,572613967,525839081,525855465,2,1,23136919564,73389,73389,2,2,2,525839081,3,3,584290,15386467,3313503,82107,51998,6815261084,3160020,68456831,3593
