timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5039.82,1,262144,64,26470,1744342456,112,585,373851,5,3819,60,67,1719,29302,124484256,1172,1,66,4335,1653851,2,113347,585,4485547,15687977,561784869,585,896,2,1,2,2,521,1,559325596,513206351,34877800,39284836,39301220,2,1,1728532784,73389,73389,2,2,2,39284836,8,3,95109,12502197,718524,18712,4269,559325596,355139,3767574,12828
10047.42,1,262144,64,37250,2454536864,114,585,499531,5,6850,60,67,1719,29302,124749708,1172,1,66,5917,1737151,2,113347,585,7872956,20200024,770170483,585,896,2,1,2,2,521,1,766812572,720765283,84716379,55433810,55450194,2,1,2439087640,73389,73389,2,2,2,55433810,8,3,99981,14619440,862699,24489,5852,766812572,475042,7010365,12828
15058.04,1,262144,64,46669,3075271324,115,585,619288,5,9486,60,67,1719,29302,125015160,1172,1,66,7301,1815702,2,113347,585,10120846,24665970,952237251,585,896,2,1,2,2,521,1,948085148,902277420,113964748,69536943,69553327,2,1,3059625492,73389,73389,2,2,2,69536943,8,3,102623,16982565,986617,33074,7235,948085148,586214,9132257,12828
20062.35,1,262144,64,84328,5556576214,121,585,943408,5,20094,60,67,1719,29302,125811516,1172,1,66,12834,1850276,2,113347,585,17307347,26852058,1680280271,585,896,2,1,2,2,521,1,1673306524,1627698372,182188909,125937409,125953793,2,1,5541245996,73389,73389,2,2,2,125937409,8,3,129643,18370499,1221492,42448,12768,1673306524,900960,16085135,12828
25067.29,1,262144,64,139286,9178188470,131,585,1346703,5,35574,60,67,1719,29302,127621416,1172,1,66,20910,1850881,2,113347,585,28540760,26853157,2742877504,585,896,2,1,2,2,521,1,2731843996,2686285992,208519496,208252540,208252540,2,1,9163111760,73389,73389,2,2,2,208252540,8,3,164178,19152178,1470781,51394,20844,2731843996,1295309,27069617,12828
30071.58,1,262144,64,195483,12881036028,140,585,1764555,5,51402,60,67,1719,29302,128948676,1172,1,66,29165,1851445,2,113347,585,39047096,26908941,3829010772,585,896,2,1,2,2,521,1,3813843356,3768682875,242526070,292394487,292410871,2,1,12865357428,73389,73389,2,2,2,292394487,8,3,201120,19954615,1701612,60428,29099,3813843356,1704127,37344904,12828
35078.41,1,262144,64,229340,15112099172,146,585,2049083,5,61011,60,67,1719,29302,130010484,1172,1,66,34137,1875716,2,113347,585,46716478,29362376,4483273566,585,896,2,1,2,2,521,1,4465533340,4420946852,304597382,343110149,343110149,2,1,15096125660,73389,73389,2,2,2,343093765,8,3,214279,21426765,1908660,68507,34071,4465533340,1980576,44807880,12828
40083.28,1,262144,64,257557,16971475990,150,585,2313175,5,68928,60,67,1719,29302,130541388,1172,1,66,38284,1924035,2,113347,585,53618363,32908784,5028975946,585,896,2,1,2,2,521,1,5009088924,4964468227,408307523,385364363,385380747,2,1,16956031972,73389,73389,2,2,2,385364363,8,3,234418,23086665,2163641,77056,38218,5009088924,2236119,51454998,12828
45087.89,1,262144,64,312627,20599921506,160,585,2737849,5,84477,60,67,1719,29302,131868648,1172,1,66,46375,1924900,2,113347,585,64984869,33431237,6093520709,585,896,2,1,2,2,521,1,6069592476,6025267386,479935397,467839460,467839460,2,1,20584215344,73389,73389,2,2,2,467823076,8,3,283378,23900430,2410474,86006,46309,6069592476,2651843,62574492,12828
50093.96,1,262144,64,346608,22839111114,165,585,3019514,5,94038,60,67,1719,29302,132665004,1172,1,66,51366,1961534,2,113347,585,72505214,34968112,6750246976,585,896,2,1,2,2,521,1,6723772828,6679727527,504141995,518718962,518735346,2,1,22823634328,73389,73389,2,2,2,518718962,8,3,294825,25167410,2572690,96237,51300,6723772828,2923277,69932255,12828
55097.47,1,262144,64,370830,24435284022,169,585,3261465,5,100863,60,67,1719,29302,133461360,1172,1,66,54925,2019339,2,113347,585,78618878,38386235,7218595778,585,896,2,1,2,2,521,1,7190258076,7146340793,557202491,554995619,555012003,2,1,24419807236,73389,73389,2,2,2,554995619,8,3,313107,26842760,2822134,107156,54859,7190258076,3154309,75795464,12828
