timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.59,262144,64,69419,4574190950,119,585,650545,2,15915,67,204,125546064,1172,1,66,10645,50414,2,5604,585,12313742,1487280,1391777880,585,303,2,1,2,2,234,1,1386389916,1340544740,25988458,103591853,103608237,2,1,4558041532,73389,73389,2,2,2,103591853,4,3,335694,2306381,1376482,12903,10579,1386389916,637642,10936700,4372
10012.62,262144,64,119706,7888091838,127,585,1059457,2,30069,67,204,127102578,1172,1,66,18033,50802,2,5604,585,22113375,1488547,2363838899,585,303,2,1,2,2,234,1,2354749852,2309174248,51217371,178932162,178932162,2,1,7872294232,73389,73389,2,2,2,178915778,4,3,366122,3033203,1538586,20518,17967,2354749852,1038939,20574326,4372
15019.16,262144,64,136437,8990414598,130,585,1251956,2,34797,67,204,127368030,1172,1,66,20492,113976,2,5604,585,26586157,5129756,2687480902,585,303,2,1,2,2,234,1,2677055900,2631423238,131217675,203984952,203984952,2,1,8975337888,73389,73389,2,2,2,203984952,4,3,389841,5031025,1763963,31139,20426,2677055900,1220817,24821839,4372
20027.70,262144,64,177276,11681439162,137,585,1598938,2,46320,67,204,128417772,1172,1,66,26491,139033,2,5604,585,34345717,7037694,3476982883,585,303,2,1,2,2,234,1,3463487900,3417996033,178744405,265134175,265150559,2,1,11665903700,73389,73389,2,2,2,265134175,4,3,414387,6349281,1978923,40396,26426,3463487900,1558542,32366366,4372
25037.06,262144,64,193791,12769606146,140,585,1796266,2,50984,67,204,128948676,1172,1,66,28914,188177,2,5604,585,39386457,11210942,3795760352,585,303,2,1,2,2,234,1,3780944284,3736093167,241177141,289859285,289875669,2,1,12753808540,73389,73389,2,2,2,289859285,4,3,427456,8392509,2222142,47645,28848,3780944284,1748621,37163915,4372
30041.40,262144,64,244695,16124039274,148,585,2186673,2,65298,67,204,130275936,1172,1,66,36396,189141,2,5604,585,49688509,11699721,4780219481,585,303,2,1,2,2,234,1,4761624988,4716728312,287749127,366100714,366117098,2,1,16108431416,73389,73389,2,2,2,366100714,4,3,466924,9133247,2434378,55424,36330,4761624988,2131249,47253286,4372
35045.34,262144,64,301902,19893331578,158,585,2641170,2,81462,67,204,131603196,1172,1,66,44803,189576,2,5604,585,60198615,11912884,5886279757,585,303,2,1,2,2,234,1,5863416220,5818670573,315836442,451772406,451788790,2,1,19877985864,73389,73389,2,2,2,451772406,4,3,495366,9961565,2640521,64641,44737,5863416220,2576529,57557440,4372
40051.50,262144,64,331140,21819825774,163,585,2910526,2,89711,67,204,132399552,1172,1,66,49094,245796,2,5604,585,66812160,14298907,6451074847,585,303,2,1,2,2,234,1,6425977244,6381844125,351205795,495564557,495564557,2,1,21804840508,73389,73389,2,2,2,495564557,4,3,515010,11494780,2862367,72393,49028,6425977244,2838133,63948990,4372
45065.58,262144,64,359231,23670884726,168,585,3164762,2,97600,67,204,132930456,1172,1,66,53220,274195,2,5604,585,73615269,17610827,6994012811,585,303,2,1,2,2,234,1,6966780316,6922888506,426544979,537622163,537638547,2,1,23655375172,73389,73389,2,2,2,537622163,4,3,543018,12984207,3121378,79905,53154,6966780316,3084857,70492140,4372
50071.99,262144,64,375651,24752837856,170,585,3340815,2,102234,67,204,133461360,1172,1,66,55632,336403,2,5604,585,78439134,22310734,7311344696,585,303,2,1,2,2,234,1,7282794908,7239145075,509877280,562216201,562232585,2,1,24737512844,73389,73389,2,2,2,562216201,4,3,556371,14923845,3365193,87111,55566,7282794908,3253704,75072528,4372
