timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.67,2,262144,64,45285,2984038596,115,585,569354,14,9114,67,13464,125015160,1172,1,66,7099,206600,2,193920,585,8837949,7728736,925409009,585,1518,2,1,2,2,854,1,921608604,875596332,35597863,67476877,67476877,2,1,2968261692,73389,73389,2,2,2,67460493,21,1,3,376356,5713859,1699089,26456,7033,921608604,542898,7137960,5877
10013.76,2,262144,64,100491,6621915846,124,585,971587,14,24609,67,13464,126571674,1172,1,66,15210,206848,2,193920,585,19407670,7788176,1992622659,585,1518,2,1,2,2,854,1,1984733596,1939067779,60332518,150152456,150152456,2,1,6605987168,73389,73389,2,2,2,150136072,21,1,3,401905,6464536,1889263,34938,15144,1984733596,936649,17517767,5877
15017.57,2,262144,64,153323,10103160890,133,585,1370653,14,39567,67,13464,127886868,1172,1,66,22973,208550,2,193920,585,29025159,7985941,3014053603,585,1518,2,1,2,2,854,1,3002245532,2956702533,99408219,229273151,229273151,2,1,10087297748,73389,73389,2,2,2,229256767,21,1,3,438939,7224850,2107858,43139,22907,3002245532,1327514,26917185,5877
20023.66,2,262144,64,184202,12137742632,138,585,1652447,14,48263,67,13464,128683224,1172,1,66,27508,270162,2,193920,585,35225057,10469542,3610822130,585,1518,2,1,2,2,854,1,3596657052,3551441853,153518543,275510392,275510392,2,1,12122457248,73389,73389,2,2,2,275510392,21,1,3,463485,8821138,2333878,51985,27442,3596657052,1600462,32890643,5877
25080.87,2,262144,64,197617,13021674142,140,585,1811107,14,52032,67,13464,128948676,1172,1,66,29480,374302,2,193920,585,39597779,15174889,3870394591,585,1518,2,1,2,2,854,1,3855131036,3809781334,225703998,295591082,295607466,2,1,13006007608,73389,73389,2,2,2,295591082,21,1,3,483805,10865729,2565418,58567,29414,3855131036,1752540,37030749,5877
30087.96,2,262144,64,204814,13495991254,142,585,1908798,14,54105,67,13464,129214128,1172,1,66,30535,599689,2,193920,585,42545511,20255016,4009308597,585,1518,2,1,2,2,854,1,3993411996,3948429076,309093022,306374740,306391124,2,1,13480488560,73389,73389,2,2,2,306374740,21,1,3,491455,13352717,2687634,68347,30469,3993411996,1840451,39856220,5877
35104.13,2,262144,64,210941,13899653942,143,585,1996146,14,55828,67,13464,129479580,1172,1,66,31435,815923,2,193920,585,44430888,24557923,4127694021,585,1518,2,1,2,2,854,1,4111376796,4066460362,335142935,315548892,315565276,2,1,13884151248,73389,73389,2,2,2,315548892,21,1,3,493269,15936117,2764513,79730,31369,4111376796,1916416,41663975,5877
40113.54,2,262144,64,218466,14395466862,144,585,2091791,14,57936,67,13464,129479580,1172,1,66,32541,1003024,2,193920,585,46893106,29387118,4273444800,585,1518,2,1,2,2,854,1,4256342428,4211476190,385357287,326807686,326824070,2,1,14379538184,73389,73389,2,2,2,326807686,21,1,3,495722,18539613,2876501,83966,32475,4256342428,2007825,44013841,5877
45120.87,2,262144,64,230180,15167668250,146,585,2231843,14,61242,67,13464,130010484,1172,1,66,34263,1107791,2,193920,585,50534349,33910791,4500249927,585,1518,2,1,2,2,854,1,4482179484,4437112719,517004144,344367399,344383783,2,1,15152165556,73389,73389,2,2,2,344367399,21,1,3,509520,20770621,3071004,90150,34198,4482179484,2141693,47460656,5877
50127.12,2,262144,64,241679,15925320890,148,585,2366876,14,64485,67,13464,130275936,1172,1,66,35950,1233157,2,193920,585,53555735,38388816,4722187639,585,1518,2,1,2,2,854,1,4703166876,4658703508,571565612,361570982,361587366,2,1,15909123208,73389,73389,2,2,2,361570982,21,1,3,523410,23090201,3255558,95738,35884,4703166876,2271138,50297349,5877
